element,rho,delta,scheme,raw_analytic,FE_FD,filtered_analytic,raw_subspace_FD,filtered_subspace_FD,abs_error,relative_error,error_over_raw_interior_RMS
3.996600000000000000e+04,2.278734691379354083e-03,1.000000000000000048e-04,0.000000000000000000e+00,1.821848214746533967e-03,1.947464625118300319e-03,1.819650172637942266e-03,1.821848214746540039e-03,1.819650172637948121e-03,1.256164103717663516e-04,6.894998680734927554e-02,3.792759573833948957e-05
4.101500000000000000e+04,6.506474301380753555e-01,1.000000000000000021e-03,0.000000000000000000e+00,-1.176056980769342841e+00,-1.176058016426395625e+00,-5.827302356927338556e-01,-1.176056827181235720e+00,-5.827302024447389428e-01,1.035657052783633958e-06,8.806180905504568149e-07,3.126978545660336168e-07
4.101500000000000000e+04,6.506474301380753555e-01,2.999999999999999737e-04,0.000000000000000000e+00,-1.176056980769342841e+00,-1.176007554022362456e+00,-5.827302356927338556e-01,-1.176056966946425142e+00,-5.827302327004187932e-01,4.942674698038551639e-05,4.202751039158999705e-05,1.492350937735918004e-05
4.101500000000000000e+04,6.506474301380753555e-01,1.000000000000000048e-04,0.000000000000000000e+00,-1.176056980769342841e+00,-1.176041969301877543e+00,-5.827302356927338556e-01,-1.176056979233463196e+00,-5.827302353602544782e-01,1.501146746529791187e-05,1.276423482089944164e-05,4.532440210463316825e-06
4.858300000000000000e+04,4.188888380286851509e-01,1.000000000000000021e-03,0.000000000000000000e+00,-1.695024728049081553e+00,-1.695016710073105060e+00,-1.592002321896599515e+00,-1.695018660846884018e+00,-1.591923534222131620e+00,8.017975976493119106e-06,4.730300298168244746e-06,2.420882355865338205e-06
4.858300000000000000e+04,4.188888380286851509e-01,2.999999999999999737e-04,0.000000000000000000e+00,-1.695024728049081553e+00,-1.695001355983549951e+00,-1.592002321896599515e+00,-1.695024182004718494e+00,-1.591995231327779203e+00,2.337206553160164901e-05,1.378862806237767330e-05,7.056771089295546291e-06
4.858300000000000000e+04,4.188888380286851509e-01,1.000000000000000048e-04,0.000000000000000000e+00,-1.695024728049081553e+00,-1.695072405709652230e+00,-1.592002321896599515e+00,-1.695024667377523109e+00,-1.592001534058763434e+00,4.767766057067746033e-05,2.812800296167531388e-05,1.439540447400698991e-05
5.375900000000000000e+04,2.278626275929411440e-03,1.000000000000000021e-03,0.000000000000000000e+00,5.279779260259719851e-05,7.042581273708492517e-05,5.396270282516260028e-05,5.279779260259807942e-05,5.396270282516354896e-05,1.762802013448772667e-05,3.338779760580479206e-01,5.322460810251205622e-06
5.375900000000000000e+04,2.278626275929411440e-03,2.999999999999999737e-04,0.000000000000000000e+00,5.279779260259719851e-05,6.354336316386859074e-05,5.396270282516260028e-05,5.279779260259727304e-05,5.396270282516270193e-05,1.074557056127139223e-05,2.035231026068086424e-01,3.244430047153339705e-06
5.375900000000000000e+04,2.278626275929411440e-03,1.000000000000000048e-04,0.000000000000000000e+00,5.279779260259719851e-05,1.597982191015034914e-04,5.396270282516260028e-05,5.279779260259721206e-05,5.396270282516261383e-05,1.070004264989062861e-04,2.026607955076568324e+00,3.230683720438939064e-05
