outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,moveDescent,maxAbs,rms,l2,r_rho,Neff,u_min,u_P50,u_P75,u_P90,u_P95,u_P975,u_P99,u_max,u_mean,u_RMS,nActive_1e4,nActive_epsRMS,nActive_1e3,nActive_1e2,beta,nInner,innerConv,multN,degen
301,164.914072906357,193.841408098315,0.175408530528404,0.499998901107039,22.8495398375666,0.2588,0.071,0.04,1,0,0.0129286841852406,0.00141090502604986,0.199532102306008,0.323217104631014,238.186368497427,5.25382343148289e-10,4.14089139752242e-05,0.00678201684099566,0.0578790183865544,0.0849458798842298,0.114084764963022,0.13396694915253,0.323217104631014,0.0143863635240454,0.0352726256512465,5720,3870,3726,24,27201.9102858011,18,1,2,1
302,164.924870145645,193.899295858404,0.175682574054311,0.499998873378979,22.7843459760079,0.258,0.0699,0.04,1,0,0.0122882614509439,0.00143011459775593,0.202248745989418,0.307206536273598,270.888637588682,1.06048822583133e-09,3.79446517380787e-05,0.00668356400583255,0.0583016166827256,0.0870475176601208,0.11680203803258,0.136136220497783,0.307206536273598,0.0145737783929791,0.0357528649438982,5722,3870,3716,22,27205.5978838794,18,1,2,1
303,164.936052629899,193.958045065136,0.175959057904461,0.499998842866196,22.7177458934856,0.2571,0.0682,0.04,1,0,0.0126216215774145,0.00145232695456848,0.205390047615076,0.315540539435364,264.806402460281,2.81400950515991e-09,3.90125277605561e-05,0.00666535174273526,0.0591933196869422,0.0888219620110977,0.11897864125674,0.142228028650818,0.315540539435364,0.0148001086094942,0.036308173864212,5732,3854,3722,20,27209.4294137743,18,1,2,1
304,164.947956108251,194.017999496524,0.176237669590736,0.499998782942216,22.648909280916,0.2566,0.0672,0.04,1,0,0.0156364629260395,0.00149222870786179,0.211033007682062,0.390911573150987,182.147719536447,2.42747959783958e-09,5.33852878930248e-05,0.00688740612015523,0.0601153504714288,0.0911130685516206,0.121733565548105,0.148347238873197,0.390911573150987,0.0151364759804855,0.0373057176965448,5780,3860,3730,18,27213.6928164918,18,1,2,1
305,164.961184911598,194.080746025815,0.176523714532135,0.499998699305774,22.5766110399764,0.2562,0.0662,0.04,1,0,0.0161613819031488,0.00154601683372237,0.218639797390728,0.404034547578721,183.021220180251,1.60173756483922e-09,7.5789335738472e-05,0.00707653084235354,0.0613348880626943,0.0931593641783187,0.124650523225117,0.154554542891442,0.404034547578721,0.0155819866209882,0.0386504208430593,5860,3854,3730,26,27218.462669673,18,1,2,1
306,164.975778818053,194.147308499331,0.176823106338842,0.499998657895684,22.50164428119,0.2561,0.0649,0.04,1,0,0.0144882802166394,0.0015749427481062,0.222730539433294,0.362207005415985,236.333813968732,2.67997602954893e-10,6.66860262559761e-05,0.0071204882056755,0.0627330569128075,0.0959641938741209,0.127487798296804,0.161581537418008,0.362207005415985,0.0158808547803837,0.0393735687026549,5870,3864,3738,30,27223.4733105944,18,1,2,1
307,164.991157005937,194.215512940481,0.177126801610906,0.499998614920266,22.4246932762099,0.256,0.0644,0.04,1,0,0.0132108891992302,0.00160225168646649,0.226592606533607,0.330272229980755,294.189636866857,4.19023671388108e-09,5.46531433649179e-05,0.00742929087695569,0.0635806303333019,0.0983003566653713,0.129674598959752,0.168857645248603,0.330272229980755,0.0161445411067387,0.0400562921616622,5888,3854,3728,30,27228.7330309659,18,1,2,1
308,165.006333541283,194.283908406064,0.177433036880707,0.499998557406282,22.3450405194119,0.2558,0.0636,0.04,1,0,0.0131620627897267,0.00163813921925813,0.231667870093013,0.329051569743167,309.801627683893,2.63620985854692e-10,6.21718893543403e-05,0.00730264916376091,0.0645638598978569,0.100952604662456,0.132095709217515,0.178227474011033,0.329051569743167,0.016456753410826,0.0409534804814533,5886,3856,3726,34,27234.0440477011,18,1,2,1
309,165.021975941604,194.353527562997,0.177743306332565,0.499998484168275,22.2625315910334,0.2555,0.0617,0.04,1,0,0.0126901812314264,0.00168189919302064,0.237856464931415,0.317254530785661,351.313040863734,1.51612799897108e-09,6.83094705842949e-05,0.0075945118564783,0.0660009666880861,0.103817199536197,0.134776537321246,0.188747632204128,0.317254530785661,0.0168496451412836,0.0420474798255159,5900,3858,3728,30,27239.591145073,18,1,2,1
310,165.03835459412,194.424945955415,0.178059163480911,0.499998399379217,22.1767120347407,0.2551,0.0612,0.04,1,0,0.0126154129127668,0.00173082454153993,0.244775554073397,0.315385322819171,376.472401886243,9.05198333490501e-10,7.85742818194795e-05,0.00756269497318751,0.0672321794500565,0.106555092981853,0.137389509632603,0.200309047825926,0.315385322819171,0.0172694602318343,0.0432706135384983,5910,3864,3736,36,27245.4243293816,18,1,2,1
311,165.055760187416,194.498806124943,0.178382420002153,0.499998293902327,22.086663751265,0.2551,0.0607,0.04,1,0,0.014047338794892,0.00179232522540882,0.253473064195656,0.351183469872301,325.593342498696,2.54523558601706e-09,9.5831553870285e-05,0.00787341348857817,0.0685688915355022,0.10956196297229,0.140852255312737,0.212432533786117,0.351183469872301,0.0178068701271992,0.0448081306352204,5958,3906,3764,42,27251.7333026656,18,1,2,1
312,165.074424469661,194.576096811556,0.178717402387901,0.499998179354924,21.9925505272729,0.2544,0.0598,0.04,1,0,0.013651482624771,0.00185574252696973,0.262441624991311,0.341287065619275,369.577731162257,1.24984653766635e-09,0.000102524923170749,0.00826349038420069,0.0698897412200999,0.113407194697179,0.143499712356709,0.224556224122104,0.341287065619275,0.0183360578607231,0.0463935631742433,5994,3936,3794,64,27258.4421178912,18,1,2,1
313,165.094647833765,194.657186667771,0.179064186646277,0.499998036385243,21.8925195237384,0.2537,0.0593,0.04,1,0,0.0150721840438023,0.00193357171481139,0.273448334290726,0.376804601095058,329.153280078632,1.60872988097579e-08,0.000133044523479638,0.0088918262245441,0.0714936031442737,0.116161139273525,0.147722902187607,0.237594005538122,0.376804601095058,0.0189812507512919,0.0483392928702847,6036,3984,3814,156,27265.8451852141,18,1,2,1
314,165.1169923251,194.743846985334,0.179429471449558,0.499997882022293,21.7864461424067,0.2532,0.0585,0.04,1,0,0.0158159275264512,0.0020158228227259,0.285080397524018,0.39539818816128,324.896758917877,4.85401984179393e-09,0.000139949197243288,0.00944965935557223,0.073376639180765,0.119159758099841,0.152606618210967,0.248991306865316,0.39539818816128,0.0196419307459715,0.0503955705681474,6040,4020,3874,196,27274.0433088868,18,1,2,1
315,165.141131684855,194.835682312459,0.179813171465192,0.499997718827568,21.6745108305172,0.2527,0.0576,0.04,1,0,0.0163518587060432,0.00209454445575397,0.296213317632063,0.408796467651079,328.151889345545,4.39281424821336e-08,0.000145335979699248,0.00983846676174376,0.0750362669202096,0.123024720289279,0.156191167729682,0.261410850595661,0.408796467651079,0.0202337331673522,0.0523636113938492,6044,4058,3866,218,27282.7212712599,18,1,2,1
316,165.167064591049,194.93244579125,0.180213780961113,0.499997521672399,21.5566638681628,0.2524,0.0566,0.04,1,0,0.016046202115645,0.00218181325357481,0.308554989377087,0.401155052891126,369.760597907899,6.07492125663417e-09,0.000148660207672905,0.0103649833704556,0.0763330843160617,0.125785792039726,0.159790945547966,0.275521741458906,0.401155052891126,0.0209087611670736,0.0545453313393703,6030,4084,3942,232,27292.2825102728,18,1,2,1
317,165.194496462652,195.033170139595,0.180627528857712,0.499997366512597,21.4320745217426,0.2518,0.0557,0.04,1,0,0.0172553715118328,0.00226104734621397,0.31976038221835,0.431384287795819,343.400308032861,5.137222014261e-09,0.000163238380933697,0.0112708262350344,0.077553095323465,0.128581565504577,0.16423586929575,0.283410445879002,0.431384287795819,0.0215500881869422,0.0565261836553493,6062,4142,4008,246,27302.0207246054,18,1,2,1
318,165.223625657945,195.139073729696,0.181060353521616,0.499997156569737,21.3002490120649,0.2513,0.0547,0.04,1,0,0.0185944947916963,0.0023490688829659,0.332208507323899,0.464862369792408,319.192540471403,7.6328479603348e-09,0.000178654481953313,0.0118126614605309,0.0788929556306553,0.132004635585979,0.169738258298524,0.296688367882876,0.464862369792408,0.0222037980068203,0.0587267220741474,6098,4186,4034,258,27312.6373956319,18,1,2,1
319,165.254866863638,195.249524775281,0.181505443566717,0.499996917449394,21.1684997837464,0.2506,0.0536,0.04,1,0,0.0221427994020959,0.00233431458829752,0.330121934961572,0.553569985052399,222.271465357243,1.24112304375719e-08,0.000202687808622471,0.0121096871650851,0.0768404085401957,0.128253412243358,0.166946720486036,0.290953470686424,0.553569985052399,0.0218833930159232,0.058357864707438,6106,4192,4062,242,27323.3177221384,17,1,2,1
320,165.286358820743,195.361147123136,0.181955658754697,0.499996552440356,21.0266566860376,0.2492,0.053,0.04,1,0,0.0300141099110364,0.00247604640640361,0.350165840900115,0.750352747775911,136.112063653602,2.53181236175352e-08,0.000225036657082479,0.0130772085855475,0.0792918512979324,0.130790563654858,0.173157139962392,0.304677707661388,0.750352747775911,0.0227586615050937,0.0619011601600903,6132,4264,4120,268,27335.663225964,17,1,2,1
321,165.322381971676,195.484053876441,0.182441551743025,0.499996275969285,20.8758398113015,0.2472,0.052,0.04,1,0,0.0262324565884811,0.00257841521864134,0.364642977163177,0.655811414712028,193.222537733544,1.26016163278606e-09,0.000223818100519213,0.014027673028243,0.0812344975458791,0.132171664060685,0.176449451219176,0.32086644468894,0.655811414712028,0.0234799766684058,0.0644603804660334,6148,4320,4186,288,27348.9162914826,17,1,2,1
