outer,Mnd_percent,gray_fraction,mid_fraction,broad_core_fraction
1.130000000000000000e+02,4.280553602043841721e+01,4.669444444444444398e-01,2.669444444444444287e-01,3.282638888888889106e-01
1.140000000000000000e+02,4.265744468389549127e+01,4.650694444444444242e-01,2.675694444444444708e-01,3.227083333333333193e-01
1.150000000000000000e+02,4.250559138692335637e+01,4.627083333333333326e-01,2.682638888888889128e-01,3.188194444444444331e-01
1.160000000000000000e+02,4.233217568951707932e+01,4.602777777777777857e-01,2.683333333333333126e-01,3.128472222222222210e-01
1.170000000000000000e+02,4.214281087830793382e+01,4.579166666666666941e-01,2.685416666666666785e-01,3.085416666666666585e-01
1.180000000000000000e+02,4.195080269094049896e+01,4.550694444444444708e-01,2.684722222222222232e-01,3.040972222222222410e-01
1.190000000000000000e+02,4.176063814676744101e+01,4.529166666666666896e-01,2.679861111111110916e-01,3.010416666666666519e-01
1.200000000000000000e+02,4.154899986448807425e+01,4.509027777777777635e-01,2.683333333333333126e-01,2.980555555555555736e-01
1.210000000000000000e+02,4.136420501951446482e+01,4.482638888888889062e-01,2.683333333333333126e-01,2.941666666666666874e-01
1.220000000000000000e+02,4.116201454866453702e+01,4.461111111111111249e-01,2.672916666666666496e-01,2.909027777777777879e-01
1.230000000000000000e+02,4.095437696771628566e+01,4.435416666666666674e-01,2.666666666666666630e-01,2.874305555555555780e-01
1.240000000000000000e+02,4.071987987216380844e+01,4.409027777777777546e-01,2.656250000000000000e-01,2.844444444444444442e-01
1.250000000000000000e+02,4.049757829130554398e+01,4.384027777777777524e-01,2.646527777777777923e-01,2.810416666666666896e-01
1.260000000000000000e+02,4.026258639212766610e+01,4.360416666666666607e-01,2.638888888888888951e-01,2.783333333333333215e-01
1.270000000000000000e+02,4.003934516382346231e+01,4.339583333333333348e-01,2.625694444444444664e-01,2.753472222222222432e-01
1.280000000000000000e+02,3.977892710846420954e+01,4.314583333333333326e-01,2.615972222222222032e-01,2.731944444444444620e-01
1.290000000000000000e+02,3.951204386858957207e+01,4.284027777777777990e-01,2.598611111111110983e-01,2.691666666666666652e-01
1.300000000000000000e+02,3.926618688867822016e+01,4.256249999999999756e-01,2.589583333333333459e-01,2.675694444444444708e-01
1.310000000000000000e+02,3.899277487611965398e+01,4.223611111111111316e-01,2.578472222222222276e-01,2.645833333333333370e-01
1.320000000000000000e+02,3.874167636723615971e+01,4.184027777777777901e-01,2.565972222222221988e-01,2.613888888888888928e-01
1.330000000000000000e+02,3.845667995712729947e+01,4.120138888888889017e-01,2.550000000000000044e-01,2.587499999999999800e-01
1.340000000000000000e+02,3.816899371561664367e+01,4.076388888888888840e-01,2.532638888888888995e-01,2.554861111111111360e-01
1.350000000000000000e+02,3.788995980563859689e+01,4.022222222222222032e-01,2.521527777777777812e-01,2.528472222222222232e-01
