outer,move,stage,omega1,omega2,omega3,lam1,beta,pred,act,nInner,vol,multJ,frac_lower_density,frac_lower_move,frac_upper_move,frac_upper_density,frac_interior,frac_any_bound,frac_pm_move,frac_density_limited,gray_n,gray_full_move_frac,max_abs_drho,norm2_drho,Mnd_percent,gray_fraction,mid_fraction,broad_core_fraction,exA,exB,exNA,exNB,exAmp,exCos,exNet,exMedcos,exMednet,exDecl,tEig,tGrad,tInner,tOuter,void_n,void_pm_move_frac,shell_n,shell_pm_move_frac,core_n,core_pm_move_frac,solid_n,solid_pm_move_frac,cos_prev,sum_norm,sum_norm_ratio,sign_reversal_frac,void_sign_reversal_frac,shell_sign_reversal_frac,core_sign_reversal_frac,solid_sign_reversal_frac,recurrence,eligible,r,model_err_abs,model_err_rel,sign_agree,cum_pred,cum_act_eligible,cum_act_all
11.0,0.04,1.0,118.33864396825841,254.2256848008226,492.1648102359848,14004.034656246222,14949.893643729203,945.8589874829813,1004.9369689701562,16.0,0.4997855771446338,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28800.0,0.0,0.03984903260424582,2.987070706317488,79.00644837583883,0.8969444444444444,0.3709722222222222,0.8245833333333333,0.0,0.0,0.0,0.0,2.9870707063174873,0.9948700053200302,0.9604530109426276,nan,nan,0.0,0.2597831666666667,0.012204166666666667,0.880363625,1.1553307916666666,0.0,nan,17956.0,0.0,10844.0,0.0,0.0,nan,0.9948700053200283,6.0427909778026025,0.9987168826864603,0.016944444444444446,nan,0.008465137001559367,0.03098487642936186,nan,2.0229822364172487,1.0,1.062459607900314,59.07798148717484,0.06245960790031381,1.0,9786.446247328495,10355.602502656986,10355.602502656986
12.0,0.04,1.0,122.51110817071397,229.74717323631168,503.019147225325,15008.971625216378,15981.44731603113,972.4756908147519,1086.2322969667148,16.0,0.4997909406983472,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25832.0,0.0,0.03984530540099689,2.9397299002524266,76.28207269318345,0.8504166666666667,0.3576388888888889,0.7644444444444445,0.0,0.0,0.0,0.0,2.939729900252421,0.9955334693187752,0.9597899610055546,nan,nan,0.0,0.32288520833333334,0.0119065,0.8453054583333334,1.1828139583333332,84.0,0.0,15148.0,0.0,10684.0,0.0,2884.0,0.0,0.995533469318773,5.920179270994127,0.9988828145207976,0.0775,0.0,0.10852917876947452,0.055035567203294646,0.0,2.0138514325706516,1.0,1.1169762979439168,113.75660615196284,0.11697629794391691,1.0,10758.921938143247,11441.8347996237,11441.8347996237
13.0,0.04,1.0,126.86687480261777,206.05972874044932,500.4006199944529,16095.203922183093,17077.05981215799,981.8558899748969,1000.4449681908154,15.0,0.4998248960034108,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24492.0,0.0,0.03977815233589663,2.7236098983544963,73.73789395689484,0.8216666666666667,0.34902777777777777,0.7291666666666666,0.0,0.0,0.0,0.0,2.7236098983544963,0.9728976765056976,0.9585902682821247,nan,nan,0.0,0.32258495833333334,0.013272083333333334,0.8765422916666666,1.2156289166666667,828.0,0.0,14192.0,0.0,10300.0,0.0,3480.0,0.0,0.972897676505696,5.6248927589328455,0.9932112426516355,0.15958333333333333,0.0,0.17474633596392333,0.2054368932038835,0.0,2.0652343649988927,1.0,1.0189325932712934,18.589078215918562,0.018932593271293437,1.0,11740.777828118144,12442.279767814516,12442.279767814516
14.0,0.04,1.0,130.75033036430122,186.68989211561353,494.32533628838536,17095.64889037391,17807.715655024134,712.0667646502261,708.6608020556669,15.0,0.4998494649342235,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23664.0,0.0,0.03975078006761344,2.4436018801883614,71.84421714096,0.7990277777777778,0.3497222222222222,0.7016666666666667,0.0,0.0,0.0,0.0,2.443601880188365,0.8900767093805818,0.9482855369950168,nan,nan,0.0,0.262448875,0.015647416666666667,1.0072049583333333,1.28840175,1372.0,0.0,13612.0,0.0,10052.0,0.0,3764.0,0.0,0.8900767093805831,5.023634800745744,0.972213839116615,0.06138888888888889,0.0,0.07522774022920953,0.07401512136888182,0.0,2.055831942787057,1.0,0.9952167931946209,-3.4059625945592416,-0.004783206805379103,1.0,12452.84459276837,13150.940569870183,13150.940569870183
15.0,0.04,1.0,133.43279091898503,174.61632845047419,488.6992296652238,17804.309692429575,18414.55343907423,610.2437466446536,596.3062623895021,15.0,0.49987093439059627,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23012.0,0.0,0.03972147072752215,2.2690212193391477,70.25914231399683,0.7808333333333334,0.3452777777777778,0.6797222222222222,0.0,0.0,0.0,0.0,2.269021219339149,0.9369676406786644,0.935429095845974,nan,nan,0.0,0.271481,0.015071791666666667,1.0746145833333334,1.3638376666666667,1828.0,0.0,12940.0,0.0,10072.0,0.0,3960.0,0.0,0.9369676406786664,4.63787019988462,0.984137730078524,0.01888888888888889,0.0,0.02349304482225657,0.015091342335186657,0.022222222222222223,2.043995957532473,1.0,0.9771607913529882,-13.937484255151503,-0.022839208647011885,1.0,13063.088339413023,13747.246832259685,13747.246832259685
16.0,0.04,1.0,135.64887008309017,166.43008894366147,472.87369300515286,18400.615954819077,18943.760484460967,543.1445296418897,523.6130900608659,15.0,0.4998876723975746,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22488.0,0.0,0.03969131137076537,2.1250281807206117,68.85172287032212,0.76,0.34430555555555553,0.6552777777777777,0.0,0.0,0.0,0.0,2.1250281807206126,0.9445981599296632,0.9219189444692707,nan,nan,0.0,0.27081041666666666,0.018519416666666667,1.1845208333333332,1.4764957916666666,2200.0,0.0,12544.0,0.0,9944.0,0.0,4112.0,0.0,0.944598159929664,4.332828666652616,0.9860673543164283,0.03681066814835394,0.0,0.016262755102040817,0.006838294448913918,0.19182083739045763,2.0389511564892864,1.0,0.9640400694196417,-19.531439581023733,-0.03595993058035833,1.0,13606.232869054913,14270.859922320551,14270.859922320551
17.0,0.04,1.0,137.56536280939306,160.3967730415971,449.6001836149551,18924.229044879943,19419.0505810181,494.82153613815535,468.30789183787783,15.0,0.4998992336958683,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21888.0,0.0,0.039711027694524774,2.000228281025432,67.57448485856318,0.7438888888888889,0.34555555555555556,0.6365277777777778,0.0,0.0,0.0,0.0,2.0002282810254317,0.9487713371894851,0.9086251704036958,nan,nan,0.0,0.26796475,0.013803416666666667,1.3003002083333333,1.5847447916666666,2536.0,0.0,11972.0,0.0,9916.0,0.0,4376.0,0.0,0.9487713371894854,4.072129880569484,0.9871216294867462,0.025698013613001804,0.050473186119873815,0.02639492148346141,0.00645421540943929,0.053064958828911254,2.0358325693114763,1.0,0.9464177640544836,-26.51364430027752,-0.05358223594551642,1.0,14101.054405193068,14739.167814158429,14739.167814158429
18.0,0.04,1.0,139.25708935891853,155.7246318431151,432.07920898247437,19392.53693671782,19818.189887209697,425.65295049187625,406.8760143224208,14.0,0.49990138929931616,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21424.0,0.0,0.03973134661054793,1.7936696678963315,66.46570731446134,0.7320833333333333,0.3466666666666667,0.6227777777777778,0.0,0.0,0.0,0.0,1.793669667896333,0.9481384419780265,0.8966027718021923,nan,nan,0.0,0.28473679166666666,0.013531208333333333,1.2971429166666666,1.5980396666666667,2836.0,0.0,11472.0,0.0,9952.0,0.0,4540.0,0.0,0.9481384419780271,3.7445332368764404,0.986988392226166,0.05430555555555556,0.05500705218617771,0.017433751743375175,0.003215434083601286,0.25903083700440527,2.0876381553957697,1.0,0.9558867472955205,-18.77693616945544,-0.0441132527044795,1.0,14526.707355684945,15146.04382848085,15146.04382848085
19.0,0.04,1.0,140.71038679159489,152.16741998350815,418.99171717176495,19799.41295104024,20204.56910270759,405.15615166735006,385.7346906736748,15.0,0.49991543401654964,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21084.0,0.0,0.0397047858481814,1.782740954157829,65.3906093770071,0.7191666666666666,0.34708333333333335,0.6077777777777778,0.0,0.0,0.0,0.0,1.7827409541578287,0.9489113616007621,0.8856886440036597,nan,nan,0.0,0.2652319166666667,0.014100666666666666,1.6501079583333333,1.932101875,3056.0,0.0,11100.0,0.0,9984.0,0.0,4660.0,0.0,0.9489113616007628,3.5304370741320263,0.9871453385026219,0.08722222222222223,0.07460732984293193,0.012252252252252252,0.004407051282051282,0.4515021459227468,1.9803421612647105,1.0,0.9520642574134698,-19.421460993675282,-0.0479357425865302,1.0,14931.863507352295,15531.778519154524,15531.778519154524
20.0,0.04,1.0,142.0744440133901,149.07332457696478,407.44802176694816,20185.147641713917,20574.015965633218,388.8683239193015,360.2091818406625,15.0,0.4999272016979317,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20712.0,0.0,0.03969699712745031,1.6964348130555167,64.388268076408,0.7098611111111112,0.34569444444444447,0.5970833333333333,0.0,0.0,0.0,0.0,1.6964348130555151,0.9561765599269226,0.8783936599511559,0.9932133279688762,0.935429095845974,0.0,0.2649270833333333,0.014161,1.831573375,2.11668375,3324.0,0.0,10716.0,0.0,9996.0,0.0,4764.0,0.0,0.9561765599269215,3.440870998012671,0.9889902747766736,0.07180555555555555,0.05415162454873646,0.010078387458006719,0.004801920768307323,0.3635600335852225,2.0282954414353127,1.0,0.9263011659324909,-28.65914207863898,-0.0736988340675091,1.0,15320.731831271596,15891.987700995187,15891.987700995187
