mesh,k,evaluator,selected_ordinal_double,selected_ordinal_single,selected_ordinal_identical,escalation_double,escalation_single,final_requested_double,final_requested_single,relevant_classifier_mismatch,all_examined_classifier_mismatch_count,omega_double,omega_single,lambda_double,lambda_single,selected_min_abs_margin_double,selected_min_abs_margin_single
96x12,32,E3,1,1,1,0,0,3,3,0,0,92.7377288196809,92.7377322328443,8600.28634663267,8600.28697969073,0.0563469153317232,0.0563469341959618
96x12,33,E1,1,1,1,0,0,3,3,0,0,93.4759672868505,93.4759699887813,8737.75646021234,8737.75696534354,0.0591446597065868,0.0591446758477944
96x12,33,E2,1,1,1,0,0,3,3,0,0,93.4758003144721,93.4758030149099,8737.72524443106,8737.72574928224,0.0591447507353473,0.0591447668765621
96x12,33,E3,1,1,1,0,0,3,3,0,0,93.4758001472826,93.4758028487063,8737.72521317471,8737.72571821021,0.0591447508264672,0.0591447669676812
96x12,34,E1,1,1,1,0,0,3,3,0,0,94.2103606597875,94.2103627368079,8875.59205564724,8875.59244700092,0.0620670856560139,0.0620670984857123
96x12,34,E2,1,1,1,0,0,3,3,0,0,94.2101903256183,94.2101924018141,8875.55996118923,8875.56035238683,0.0620671824927076,0.0620671953224075
96x12,34,E3,1,1,1,0,0,3,3,0,0,94.2101901550154,94.2101922317514,8875.55992904416,8875.56032034354,0.0620671825896419,0.0620671954193404
96x12,35,E1,1,1,1,0,0,3,3,0,0,94.9379792365877,94.9379808007879,9013.21990152675,9013.22019853078,0.0650433254881876,0.0650433338458274
96x12,35,E2,1,1,1,0,0,3,3,0,0,94.937805475385,94.9378070398807,9013.18690848204,9013.18720554162,0.0650434282823594,0.0650434366400112
96x12,35,E3,1,1,1,0,0,3,3,0,0,94.9378053017673,94.9378068662757,9013.18687551628,9013.18717257826,0.0650434283852551,0.0650434367429087
96x12,36,E1,1,1,1,0,0,3,3,0,0,95.6609858535713,95.6609867885696,9151.02421447716,9151.0243933629,0.0680974583512078,0.0680974631291098
96x12,36,E2,1,1,1,0,0,3,3,0,0,95.6608079465682,95.6608088811595,9150.99017699021,9150.99035579772,0.068097567419684,0.0680975721975939
96x12,36,E3,1,1,1,0,0,3,3,0,0,95.6608077680557,95.6608087027388,9150.99014283691,9150.99032166199,0.0680975675288628,0.0680975723067725
96x12,37,E1,1,1,1,0,0,3,3,0,0,96.3770295481517,96.3770299044481,9288.5318245253,9288.53189320288,0.0712321156039847,0.0712321174620182
96x12,37,E2,1,1,1,0,0,3,3,0,0,96.3768474721625,96.3768478278942,9288.49672867248,9288.49679724107,0.0712322310334411,0.0712322328914785
96x12,37,E3,1,1,1,0,0,3,3,0,0,96.37684728907,96.3768476448334,9288.49669338073,9288.49676195544,0.0712322311489872,0.0712322330070249
96x12,38,E1,1,1,1,0,0,3,3,0,0,97.0867709836116,97.0867706777965,9425.84110002425,9425.84104064305,0.0744552708886406,0.0744552691629204
96x12,38,E2,1,1,1,0,0,3,3,0,0,97.0865838909549,97.0865835851634,9425.80477161543,9425.80471223891,0.0744553929882397,0.0744553912625173
96x12,38,E3,1,1,1,0,0,3,3,0,0,97.0865837032952,97.0865833969052,9425.80473517695,9425.80467568422,0.0744553931104628,0.0744553913847422
96x12,39,E1,1,1,1,0,0,3,3,0,0,97.7926245333785,97.7926236280076,9563.39741312635,9563.39723604914,0.0777203915841019,0.0777203864217737
96x12,39,E2,1,1,1,0,0,3,3,0,0,97.7924323541011,97.7924314480868,9563.35982573145,9563.35964852875,0.0777205205936955,0.0777205154313588
96x12,39,E3,1,1,1,0,0,3,3,0,0,97.7924321617229,97.792431255947,9563.35978810517,9563.35961094912,0.077720520722833,0.0777205155604979
96x12,40,E1,1,1,1,0,0,3,3,0,0,98.4901160520981,98.490114510331,9700.30295995576,9700.30265625812,0.0810664126702263,0.0810664035958669
96x12,40,E2,1,1,1,0,0,3,3,0,0,98.4899183526289,98.489916810701,9700.26401710751,9700.2637133788,0.0810665488018865,0.081066539727514
96x12,40,E3,1,1,1,0,0,3,3,0,0,98.4899181542295,98.4899166122528,9700.26397802682,9700.2636742885,0.0810665489381552,0.0810665398637823
96x12,41,E1,1,1,1,0,0,3,3,0,0,99.1819670926228,99.1819651408933,9837.06259636211,9837.06220920937,0.0845008249018202,0.0845008123640354
96x12,41,E2,1,1,1,0,0,3,3,0,0,99.1817629270044,99.1817609743266,9837.02209730851,9837.02170996845,0.0845009685585323,0.0845009560207488
96x12,41,E3,1,1,1,0,0,3,3,0,0,99.1817627226796,99.181760771086,9837.02205677791,9837.02166965294,0.0845009687023325,0.0845009561645472
96x12,42,E1,1,1,1,0,0,3,3,0,0,99.8666720587114,99.8666696113575,9973.3521880822,9973.35169926404,0.0878596917129961,0.0878596753807135
96x12,42,E2,1,1,1,0,0,3,3,0,0,99.8664618916659,99.8664594449509,9973.31021075956,9973.30972207002,0.0878598429213212,0.08785982658903
96x12,42,E3,1,1,1,0,0,3,3,0,0,99.8664616805616,99.8664592340252,9973.31016859507,9973.30967994122,0.0878598430726856,0.0878598267403923
96x12,43,E1,1,1,1,0,0,3,3,0,0,100.545285192388,100.545282107387,10109.3543744187,10109.353754054,0.0911208410660186,0.0911208215217468
