=== run "FINAL_lp_240x30" ===
              a: 8
              b: 1
              t: 1
              E: 10000000
             nu: 0.3000
           rhom: 1
           nelx: 240
           nely: 30
             bc: 'a'
        support: 'mid'
          axial: 'both'
       elemType: 'Q4'
       massType: 'consistent'
              p: 3
     massInterp: '4'
         rhomin: 1.0000e-03
           rho0: 0.5000
        volfrac: 0.5000
              n: 1
           Nmax: 4
         rminEl: 3
       rminPhys: 0.0600
        tolMult: 0.0500
           move: 0.0050
        offDiag: 0
    innerSolver: 'lp'
     filterMode: 'diag'
       maxInner: 300
       tolInner: 0.0100
       minInner: 5
       maxOuter: 1600
       tolOuter: 1.0000e-03
         solver: 'eigs'
        threads: 1
        verbose: 1
           name: 'FINAL_lp_240x30'

  it    omega1    omega2    omega3    N sqrt(beta)  inner  cumIn  maxdrho       vol    conv
 701    167.50    168.18    237.88    2    167.91      1    701   0.0050     0.500     yes
 702    167.41    168.18    237.55    2    167.71      1    702   0.0050     0.500     yes
 703    167.51    168.18    237.55    2    167.87      1    703   0.0050     0.500     yes
 704    167.42    168.19    237.27    2    167.66      1    704   0.0050     0.500     yes
 705    167.53    168.23    237.28    2    167.78      1    705   0.0050     0.500     yes
 706    167.44    168.26    237.05    2    167.70      1    706   0.0050     0.500     yes
 707    167.53    168.26    237.03    2    167.78      1    707   0.0050     0.500     yes
 708    167.44    168.27    236.79    2    167.71      1    708   0.0050     0.500     yes
 709    167.54    168.27    236.78    2    167.82      1    709   0.0050     0.500     yes
 710    167.45    168.29    236.55    2    167.70      1    710   0.0050     0.500     yes
 711    167.56    168.31    236.58    2    167.73      1    711   0.0050     0.500     yes
 712    167.45    168.32    236.19    2    167.67      1    712   0.0050     0.500     yes
 713    167.55    168.31    236.18    2    167.79      1    713   0.0050     0.500     yes
 714    167.46    168.33    236.01    2    167.67      1    714   0.0050     0.500     yes
 715    167.57    168.34    236.09    2    167.71      1    715   0.0050     0.500     yes
 716    167.46    168.34    235.79    2    167.64      1    716   0.0050     0.500     yes
 717    167.56    168.34    235.85    2    167.81      1    717   0.0050     0.500     yes
 718    167.47    168.34    235.67    2    167.67      1    718   0.0050     0.500     yes
 719    167.57    168.35    235.71    2    167.80      1    719   0.0050     0.500     yes
 720    167.48    168.36    235.53    2    167.68      1    720   0.0050     0.500     yes
 721    167.58    168.37    235.66    2    167.78      1    721   0.0050     0.500     yes
 722    167.49    168.39    235.51    2    167.68      1    722   0.0050     0.500     yes
 723    167.58    168.39    235.57    2    167.79      1    723   0.0050     0.500     yes
 724    167.50    168.40    235.43    2    167.67      1    724   0.0050     0.500     yes
 725    167.60    168.41    235.53    2    167.76      1    725   0.0050     0.500     yes
 726    167.50    168.43    235.37    2    167.69      1    726   0.0050     0.500     yes
 727    167.60    168.42    235.46    2    167.78      1    727   0.0050     0.500     yes
 728    167.51    168.43    235.27    2    167.69      1    728   0.0050     0.500     yes
 729    167.60    168.43    235.38    2    167.83      1    729   0.0050     0.500     yes
 730    167.52    168.43    216.40    2    167.71      1    730   0.0050     0.500     yes
 731    167.62    168.47    235.43    2    167.92      1    731   0.0050     0.500     yes
 732    167.53    168.46    230.06    2    167.70      1    732   0.0050     0.500     yes
 733    167.63    168.50    235.43    2    168.00      1    733   0.0050     0.500     yes
 734    167.55    168.49    214.49    2    167.73      1    734   0.0050     0.500     yes
 735    167.65    168.55    235.42    2    168.04      1    735   0.0050     0.500     yes
 736    167.56    168.53    221.97    2    167.69      1    736   0.0050     0.500     yes
 737    167.67    168.63    235.39    2    168.00      1    737   0.0050     0.500     yes
 738    167.58    168.61    235.15    2    167.70      1    738   0.0050     0.500     yes
 739    167.69    168.70    235.52    2    167.95      1    739   0.0050     0.500     yes
 740    167.59    168.67    234.56    2    167.71      1    740   0.0050     0.500     yes
 741    167.70    168.73    235.54    2    167.84      1    741   0.0050     0.500     yes
 742    167.59    168.73    235.46    2    167.73      1    742   0.0050     0.500     yes
 743    167.70    168.74    235.62    2    167.85      1    743   0.0050     0.500     yes
 744    167.59    168.72    235.55    2    167.72      1    744   0.0050     0.500     yes
 745    167.70    168.74    235.68    2    167.88      1    745   0.0050     0.500     yes
 746    167.60    168.74    235.59    2    167.72      1    746   0.0050     0.500     yes
 747    167.71    168.76    235.75    2    167.90      1    747   0.0050     0.500     yes
 748    167.60    168.75    235.57    2    167.72      1    748   0.0050     0.500     yes
 749    167.72    168.79    235.72    2    167.86      1    749   0.0050     0.500     yes
 750    167.61    168.78    235.69    2    167.72      1    750   0.0050     0.500     yes
 751    167.72    168.81    235.84    2    167.83      1    751   0.0050     0.500     yes
 752    167.62    168.82    235.65    2    167.72      1    752   0.0050     0.500     yes
 753    167.72    168.84    235.80    2    167.83      1    753   0.0050     0.500     yes
 754    167.61    168.82    235.74    2    167.68      1    754   0.0050     0.500     yes
 755    167.72    168.89    235.87    2    167.81      1    755   0.0050     0.500     yes
 756    167.62    168.88    235.72    2    167.73      1    756   0.0050     0.500     yes
 757    167.72    168.89    235.89    2    167.82      1    757   0.0050     0.500     yes
 758    167.63    168.88    235.75    2    167.72      1    758   0.0050     0.500     yes
 759    167.72    168.90    235.93    2    167.84      1    759   0.0050     0.500     yes
 760    167.63    168.90    235.84    2    167.73      1    760   0.0050     0.500     yes
 761    167.73    168.92    235.98    2    167.85      1    761   0.0050     0.500     yes
 762    167.63    168.91    235.87    2    167.73      1    762   0.0050     0.500     yes
 763    167.73    168.93    236.03    2    167.86      1    763   0.0050     0.500     yes
 764    167.64    168.93    236.00    2    167.74      1    764   0.0050     0.500     yes
 765    167.73    168.95    236.12    2    167.85      1    765   0.0050     0.500     yes
 766    167.64    168.94    236.04    2    167.74      1    766   0.0050     0.500     yes
 767    167.73    168.97    236.17    2    167.84      1    767   0.0050     0.500     yes
 768    167.64    168.96    236.13    2    167.74      1    768   0.0050     0.500     yes
 769    167.74    168.99    236.21    2    167.82      1    769   0.0050     0.500     yes
 770    167.64    169.00    236.06    2    167.72      1    770   0.0050     0.500     yes
 771    167.73    169.04    236.14    2    167.88      1    771   0.0050     0.500     yes
 772    167.65    169.03    236.08    2    167.76      1    772   0.0050     0.500     yes
 773    167.74    169.05    236.16    2    167.88      1    773   0.0050     0.500     yes
 774    167.65    169.04    236.13    2    167.76      1    774   0.0050     0.500     yes
 775    167.74    169.06    236.22    2    167.90      1    775   0.0050     0.500     yes
 776    167.66    169.05    236.18    2    167.76      1    776   0.0050     0.500     yes
 777    167.75    169.08    236.24    2    167.88      1    777   0.0050     0.500     yes
 778    167.66    169.06    236.27    2    167.76      1    778   0.0050     0.500     yes
 779    167.75    169.09    236.39    2    167.89      1    779   0.0050     0.500     yes
 780    167.66    169.07    236.33    2    167.76      1    780   0.0050     0.500     yes
 781    167.75    169.09    236.45    2    167.90      1    781   0.0050     0.500     yes
 782    167.66    169.08    236.40    2    167.77      1    782   0.0050     0.500     yes
 783    167.76    169.11    236.50    2    167.92      1    783   0.0050     0.500     yes
 784    167.67    169.10    236.43    2    167.78      1    784   0.0050     0.500     yes
 785    167.76    169.13    236.52    2    167.92      1    785   0.0050     0.500     yes
 786    167.67    169.11    236.55    2    167.78      1    786   0.0050     0.500     yes
 787    167.76    169.14    236.60    2    167.93      1    787   0.0050     0.500     yes
 788    167.68    169.12    236.53    2    167.78      1    788   0.0050     0.500     yes
 789    167.77    169.15    236.65    2    167.93      1    789   0.0050     0.500     yes
 790    167.68    169.15    236.57    2    167.79      1    790   0.0050     0.500     yes
 791    167.77    169.16    236.65    2    167.93      1    791   0.0050     0.500     yes
 792    167.69    169.16    236.68    2    167.79      1    792   0.0050     0.500     yes
 793    167.77    169.18    236.78    2    167.93      1    793   0.0050     0.500     yes
 794    167.69    169.17    236.69    2    167.79      1    794   0.0050     0.500     yes
 795    167.77    169.20    236.82    2    167.91      1    795   0.0050     0.500     yes
 796    167.69    169.20    236.76    2    167.79      1    796   0.0050     0.500     yes
 797    167.77    169.21    236.86    2    167.95      1    797   0.0050     0.500     yes
 798    167.69    169.21    236.82    2    167.80      1    798   0.0050     0.500     yes
 799    167.78    169.22    236.90    2    167.94      1    799   0.0050     0.500     yes
 800    167.70    169.22    236.91    2    167.81      1    800   0.0050     0.500     yes
 801    167.78    169.23    236.99    2    167.96      1    801   0.0050     0.500     yes
 802    167.70    169.22    236.95    2    167.80      1    802   0.0050     0.500     yes
 803    167.78    169.25    237.06    2    167.95      1    803   0.0050     0.500     yes
 804    167.70    169.24    237.02    2    167.80      1    804   0.0050     0.500     yes
 805    167.79    169.25    237.10    2    167.95      1    805   0.0050     0.500     yes
 806    167.70    169.25    237.08    2    167.81      1    806   0.0050     0.500     yes
 807    167.79    169.28    237.15    2    167.93      1    807   0.0050     0.500     yes
 808    167.70    169.26    237.13    2    167.80      1    808   0.0050     0.500     yes
 809    167.79    169.28    237.21    2    167.94      1    809   0.0050     0.500     yes
 810    167.70    169.27    237.24    2    167.80      1    810   0.0050     0.500     yes
 811    167.80    169.31    237.35    2    167.91      1    811   0.0050     0.500     yes
 812    167.70    169.30    237.31    2    167.78      1    812   0.0050     0.500     yes
 813    167.80    169.33    237.39    2    167.91      1    813   0.0050     0.500     yes
 814    167.70    169.30    237.36    2    167.76      1    814   0.0050     0.500     yes
 815    167.78    169.37    237.48    2    167.85      1    815   0.0050     0.500     yes
 816    167.69    169.37    237.50    2    167.75      1    816   0.0050     0.500     yes
 817    167.78    169.40    237.57    2    167.86      1    817   0.0050     0.500     yes
 818    167.69    169.39    237.53    2    167.73      1    818   0.0050     0.500     yes
 819    167.77    169.49    237.69    2    167.81      1    819   0.0050     0.500     yes
 820    167.69    169.49    237.58    2    167.73      1    820   0.0050     0.500     yes
 821    167.76    169.51    237.69    2    167.81      1    821   0.0050     0.500     yes
 822    167.68    169.51    237.71    2    167.73      1    822   0.0050     0.500     yes
 823    167.76    169.52    237.79    2    167.82      1    823   0.0050     0.500     yes
 824    167.68    169.52    237.78    2    167.74      1    824   0.0050     0.500     yes
 825    167.76    169.53    237.86    2    167.83      1    825   0.0050     0.500     yes
 826    167.69    169.54    237.81    2    167.74      1    826   0.0050     0.500     yes
 827    167.77    169.56    237.92    2    167.84      1    827   0.0050     0.500     yes
 828    167.69    169.56    237.93    2    167.74      1    828   0.0050     0.500     yes
 829    167.77    169.56    238.07    2    167.85      1    829   0.0050     0.500     yes
 830    167.69    169.57    237.95    2    167.76      1    830   0.0050     0.500     yes
 831    167.78    169.57    238.09    2    167.86      1    831   0.0050     0.500     yes
 832    167.69    169.57    238.03    2    167.76      1    832   0.0050     0.500     yes
 833    167.78    169.59    238.19    2    167.88      1    833   0.0050     0.500     yes
 834    167.70    169.58    238.10    2    167.77      1    834   0.0050     0.500     yes
 835    167.78    169.59    238.20    2    167.89      1    835   0.0050     0.500     yes
 836    167.71    169.60    238.14    2    167.78      1    836   0.0050     0.500     yes
 837    167.78    169.60    238.25    2    167.89      1    837   0.0050     0.500     yes
 838    167.71    169.61    238.25    2    167.79      1    838   0.0050     0.500     yes
 839    167.78    169.61    238.32    2    167.91      1    839   0.0050     0.500     yes
 840    167.71    169.62    238.26    2    167.78      1    840   0.0050     0.500     yes
 841    167.78    169.62    238.34    2    167.92      1    841   0.0050     0.500     yes
 842    167.71    169.62    238.28    2    167.79      1    842   0.0050     0.500     yes
 843    167.79    169.64    238.35    2    167.90      1    843   0.0050     0.500     yes
 844    167.71    169.64    238.38    2    167.78      1    844   0.0050     0.500     yes
 845    167.78    169.68    238.46    2    167.89      1    845   0.0050     0.500     yes
 846    167.71    169.67    238.44    2    167.77      1    846   0.0050     0.500     yes
 847    167.78    169.70    238.51    2    167.89      1    847   0.0050     0.500     yes
 848    167.71    169.70    238.43    2    167.78      1    848   0.0050     0.500     yes
 849    167.78    169.70    238.56    2    167.90      1    849   0.0050     0.500     yes
 850    167.71    169.70    238.55    2    167.78      1    850   0.0050     0.500     yes
 851    167.78    169.72    238.61    2    167.90      1    851   0.0050     0.500     yes
 852    167.71    169.71    238.51    2    167.77      1    852   0.0050     0.500     yes
 853    167.78    169.75    238.62    2    167.89      1    853   0.0050     0.500     yes
 854    167.71    169.75    238.58    2    167.76      1    854   0.0050     0.500     yes
 855    167.76    169.80    238.64    2    167.84      1    855   0.0050     0.500     yes
 856    167.70    169.81    238.59    2    167.73      1    856   0.0050     0.500     yes
 857    167.74    169.90    238.67    2    167.79      1    857   0.0050     0.500     yes
 858    167.67    169.91    238.60    2    167.71      1    858   0.0050     0.500     yes
 859    167.74    169.92    238.63    2    167.80      1    859   0.0050     0.500     yes
 860    167.67    169.91    238.67    2    167.71      1    860   0.0050     0.500     yes
 861    167.74    169.94    238.74    2    167.79      1    861   0.0050     0.500     yes
 862    167.67    169.92    238.73    2    167.71      1    862   0.0050     0.500     yes
 863    167.73    169.94    238.82    2    167.78      1    863   0.0050     0.500     yes
 864    167.67    169.92    238.76    2    167.71      1    864   0.0050     0.500     yes
 865    167.73    169.94    238.84    2    167.79      1    865   0.0050     0.500     yes
 866    167.67    169.93    238.83    2    167.71      1    866   0.0050     0.500     yes
 867    167.74    169.96    238.93    2    167.79      1    867   0.0050     0.500     yes
 868    167.67    169.94    238.90    2    167.71      1    868   0.0050     0.500     yes
 869    167.74    169.98    239.02    2    167.79      1    869   0.0050     0.500     yes
 870    167.67    169.97    238.99    2    167.72      1    870   0.0050     0.500     yes
 871    167.73    169.99    239.10    2    167.79      1    871   0.0050     0.500     yes
 872    167.67    169.97    239.08    2    167.72      1    872   0.0050     0.500     yes
 873    167.73    169.99    239.16    2    167.80      1    873   0.0050     0.500     yes
 874    167.67    169.98    239.10    2    167.72      1    874   0.0050     0.500     yes
 875    167.73    170.00    239.18    2    167.80      1    875   0.0050     0.500     yes
 876    167.68    170.00    239.24    2    167.72      1    876   0.0050     0.500     yes
 877    167.73    170.02    239.30    2    167.79      1    877   0.0050     0.500     yes
 878    167.67    170.02    239.29    2    167.70      1    878   0.0050     0.500     yes
 879    167.73    170.06    239.37    2    167.79      1    879   0.0050     0.500     yes
 880    167.66    170.04    239.36    2    167.69      1    880   0.0050     0.500     yes
 881    167.73    170.10    239.41    2    167.78      1    881   0.0050     0.500     yes
 882    167.66    170.06    239.42    2    167.68      1    882   0.0050     0.500     yes
 883    167.73    170.13    239.53    2    167.77      1    883   0.0050     0.500     yes
 884    167.65    170.09    239.50    2    167.68      1    884   0.0050     0.500     yes
 885    167.72    170.14    239.62    2    167.76      1    885   0.0050     0.500     yes
 886    167.66    170.11    239.57    2    167.68      1    886   0.0050     0.500     yes
 887    167.72    170.15    239.66    2    167.76      1    887   0.0050     0.500     yes
 888    167.67    170.13    239.64    2    167.70      1    888   0.0050     0.500     yes
 889    167.72    170.14    239.78    2    167.77      1    889   0.0050     0.500     yes
 890    167.67    170.14    239.81    2    167.71      1    890   0.0050     0.500     yes
 891    167.72    170.14    239.89    2    167.78      1    891   0.0050     0.500     yes
 892    167.67    170.14    239.87    2    167.70      1    892   0.0050     0.500     yes
 893    167.72    170.15    239.92    2    167.78      1    893   0.0050     0.500     yes
 894    167.67    170.15    239.97    2    167.70      1    894   0.0050     0.500     yes
 895    167.73    170.17    240.02    2    167.78      1    895   0.0050     0.500     yes
 896    167.68    170.16    240.06    2    167.71      1    896   0.0050     0.500     yes
 897    167.72    170.16    240.11    2    167.79      1    897   0.0050     0.500     yes
 898    167.68    170.17    240.14    2    167.72      1    898   0.0050     0.500     yes
 899    167.72    170.17    240.16    2    167.79      1    899   0.0050     0.500     yes
 900    167.68    170.18    240.19    2    167.73      1    900   0.0050     0.500     yes
 901    167.72    170.18    240.23    2    167.80      1    901   0.0050     0.500     yes
 902    167.69    170.20    240.27    2    167.73      1    902   0.0050     0.500     yes
 903    167.74    170.21    240.36    2    167.79      1    903   0.0050     0.500     yes
 904    167.69    170.20    240.35    2    167.72      1    904   0.0050     0.500     yes
 905    167.73    170.21    240.44    2    167.78      1    905   0.0050     0.500     yes
 906    167.69    170.22    240.46    2    167.72      1    906   0.0050     0.500     yes
 907    167.74    170.22    240.50    2    167.79      1    907   0.0050     0.500     yes
 908    167.69    170.23    240.54    2    167.72      1    908   0.0050     0.500     yes
 909    167.74    170.24    240.61    2    167.79      1    909   0.0050     0.500     yes
 910    167.68    170.23    240.65    2    167.71      1    910   0.0050     0.500     yes
 911    167.74    170.25    240.73    2    167.79      1    911   0.0050     0.500     yes
 912    167.68    170.23    240.76    2    167.71      1    912   0.0050     0.500     yes
 913    167.74    170.26    240.89    2    167.79      1    913   0.0050     0.500     yes
 914    167.68    170.25    240.91    2    167.71      1    914   0.0050     0.500     yes
 915    167.74    170.27    240.92    2    167.79      1    915   0.0050     0.500     yes
 916    167.68    170.26    241.04    2    167.72      1    916   0.0050     0.500     yes
 917    167.74    170.27    241.11    2    167.79      1    917   0.0050     0.500     yes
 918    167.68    170.28    241.10    2    167.72      1    918   0.0050     0.500     yes
 919    167.74    170.29    241.14    2    167.79      1    919   0.0050     0.500     yes
 920    167.68    170.28    241.17    2    167.72      1    920   0.0050     0.500     yes
 921    167.74    170.29    241.20    2    167.79      1    921   0.0050     0.500     yes
 922    167.69    170.30    241.28    2    167.72      1    922   0.0050     0.500     yes
 923    167.73    170.31    241.33    2    167.80      1    923   0.0050     0.500     yes
 924    167.69    170.31    241.35    2    167.73      1    924   0.0050     0.500     yes
 925    167.74    170.32    241.42    2    167.82      1    925   0.0050     0.500     yes
 926    167.70    170.32    241.48    2    167.75      1    926   0.0050     0.500     yes
 927    167.74    170.32    241.52    2    167.82      1    927   0.0050     0.500     yes
 928    167.70    170.31    241.45    2    167.75      1    928   0.0050     0.500     yes
 929    167.75    170.32    241.51    2    167.82      1    929   0.0050     0.500     yes
 930    167.70    170.32    241.57    2    167.74      1    930   0.0050     0.500     yes
 931    167.75    170.33    241.61    2    167.83      1    931   0.0050     0.500     yes
 932    167.70    170.32    241.60    2    167.75      1    932   0.0050     0.500     yes
 933    167.75    170.32    241.68    2    167.85      1    933   0.0050     0.500     yes
 934    167.71    170.33    241.65    2    167.76      1    934   0.0050     0.500     yes
 935    167.76    170.34    241.67    2    167.85      1    935   0.0050     0.500     yes
 936    167.71    170.34    241.72    2    167.77      1    936   0.0050     0.500     yes
 937    167.76    170.35    241.77    2    167.83      1    937   0.0050     0.500     yes
 938    167.71    170.35    241.81    2    167.76      1    938   0.0050     0.500     yes
 939    167.76    170.35    241.83    2    167.83      1    939   0.0050     0.500     yes
 940    167.71    170.36    241.90    2    167.77      1    940   0.0050     0.500     yes
 941    167.76    170.35    241.92    2    167.83      1    941   0.0050     0.500     yes
 942    167.71    170.35    241.98    2    167.77      1    942   0.0050     0.500     yes
 943    167.76    170.35    242.01    2    167.84      1    943   0.0050     0.500     yes
 944    167.71    170.35    242.04    2    167.76      1    944   0.0050     0.500     yes
 945    167.76    170.35    242.07    2    167.83      1    945   0.0050     0.500     yes
 946    167.71    170.36    242.13    2    167.78      1    946   0.0050     0.500     yes
 947    167.76    170.36    242.18    2    167.83      1    947   0.0050     0.500     yes
 948    167.71    170.37    242.22    2    167.78      1    948   0.0050     0.500     yes
 949    167.76    170.37    242.23    2    167.83      1    949   0.0050     0.500     yes
 950    167.71    170.37    242.21    2    167.78      1    950   0.0050     0.500     yes
 951    167.76    170.37    242.30    2    167.83      1    951   0.0050     0.500     yes
 952    167.71    170.38    242.35    2    167.78      1    952   0.0050     0.500     yes
 953    167.77    170.38    242.37    2    167.83      1    953   0.0050     0.500     yes
 954    167.72    170.39    242.33    2    167.77      1    954   0.0050     0.500     yes
 955    167.77    170.39    242.35    2    167.83      1    955   0.0050     0.500     yes
 956    167.72    170.39    242.34    2    167.76      1    956   0.0050     0.500     yes
 957    167.77    170.40    242.41    2    167.82      1    957   0.0050     0.500     yes
 958    167.72    170.41    242.41    2    167.76      1    958   0.0050     0.500     yes
 959    167.77    170.42    242.44    2    167.82      1    959   0.0050     0.500     yes
 960    167.72    170.42    242.37    2    167.76      1    960   0.0050     0.500     yes
 961    167.77    170.42    242.38    2    167.81      1    961   0.0050     0.500     yes
 962    167.71    170.40    242.34    2    167.74      1    962   0.0050     0.500     yes
 963    167.76    170.42    242.35    2    167.81      1    963   0.0050     0.500     yes
 964    167.71    170.41    242.32    2    167.75      1    964   0.0050     0.500     yes
 965    167.76    170.42    242.38    2    167.82      1    965   0.0050     0.500     yes
 966    167.71    170.42    242.43    2    167.76      1    966   0.0050     0.500     yes
 967    167.76    170.43    242.47    2    167.82      1    967   0.0050     0.500     yes
 968    167.71    170.43    242.43    2    167.76      1    968   0.0050     0.500     yes
 969    167.76    170.43    242.45    2    167.83      1    969   0.0050     0.500     yes
 970    167.72    170.43    242.41    2    167.76      1    970   0.0050     0.500     yes
 971    167.77    170.44    242.42    2    167.83      1    971   0.0050     0.500     yes
 972    167.72    170.44    242.41    2    167.77      1    972   0.0050     0.500     yes
 973    167.77    170.45    242.49    2    167.83      1    973   0.0050     0.500     yes
 974    167.72    170.45    242.51    2    167.76      1    974   0.0050     0.500     yes
 975    167.77    170.45    242.49    2    167.82      1    975   0.0050     0.500     yes
 976    167.72    170.45    242.41    2    167.76      1    976   0.0050     0.500     yes
 977    167.77    170.47    242.46    2    167.82      1    977   0.0050     0.500     yes
 978    167.72    170.46    242.46    2    167.76      1    978   0.0050     0.500     yes
 979    167.77    170.48    242.47    2    167.82      1    979   0.0050     0.500     yes
 980    167.72    170.47    242.37    2    167.76      1    980   0.0050     0.500     yes
 981    167.77    170.49    242.46    2    167.81      1    981   0.0050     0.500     yes
 982    167.73    170.49    242.43    2    167.76      1    982   0.0050     0.500     yes
 983    167.76    170.51    242.43    2    167.80      1    983   0.0050     0.500     yes
 984    167.72    170.51    242.44    2    167.75      1    984   0.0050     0.500     yes
 985    167.76    170.53    242.47    2    167.80      1    985   0.0050     0.500     yes
 986    167.71    170.52    242.42    2    167.74      1    986   0.0050     0.500     yes
 987    167.76    170.57    242.52    2    167.79      1    987   0.0050     0.500     yes
 988    167.71    170.56    242.45    2    167.74      1    988   0.0050     0.500     yes
 989    167.76    170.61    242.51    2    167.79      1    989   0.0050     0.500     yes
 990    167.71    170.60    242.47    2    167.73      1    990   0.0050     0.500     yes
 991    167.76    170.65    242.51    2    167.78      1    991   0.0050     0.500     yes
 992    167.71    170.62    242.42    2    167.73      1    992   0.0050     0.500     yes
 993    167.74    170.66    242.39    2    167.76      1    993   0.0050     0.500     yes
 994    167.69    170.66    242.41    2    167.72      1    994   0.0050     0.500     yes
 995    167.74    170.70    242.35    2    167.77      1    995   0.0050     0.500     yes
 996    167.70    170.67    242.39    2    167.72      1    996   0.0050     0.500     yes
 997    167.73    170.71    242.31    2    167.76      1    997   0.0050     0.500     yes
 998    167.69    170.70    242.45    2    167.72      1    998   0.0050     0.500     yes
 999    167.74    170.72    242.34    2    167.77      1    999   0.0050     0.500     yes
1000    167.69    170.71    242.44    2    167.72      1   1000   0.0050     0.500     yes
1001    167.74    170.75    242.32    2    167.77      1   1001   0.0050     0.500     yes
1002    167.70    170.73    242.42    2    167.73      1   1002   0.0050     0.500     yes
1003    167.74    170.75    242.36    2    167.77      1   1003   0.0050     0.500     yes
1004    167.70    170.74    242.41    2    167.73      1   1004   0.0050     0.500     yes
1005    167.74    170.77    242.42    2    167.78      1   1005   0.0050     0.500     yes
1006    167.70    170.76    242.40    2    167.73      1   1006   0.0050     0.500     yes
1007    167.74    170.78    242.33    2    167.77      1   1007   0.0050     0.500     yes
1008    167.70    170.77    242.40    2    167.73      1   1008   0.0050     0.500     yes
1009    167.74    170.79    242.42    2    167.77      1   1009   0.0050     0.500     yes
1010    167.70    170.79    242.41    2    167.74      1   1010   0.0050     0.500     yes
1011    167.75    170.81    242.44    2    167.78      1   1011   0.0050     0.500     yes
1012    167.70    170.80    242.39    2    167.73      1   1012   0.0050     0.500     yes
1013    167.75    170.84    242.36    2    167.78      1   1013   0.0050     0.500     yes
1014    167.70    170.82    242.40    2    167.73      1   1014   0.0050     0.500     yes
1015    167.75    170.87    242.42    2    167.78      1   1015   0.0050     0.500     yes
1016    167.70    170.85    242.46    2    167.73      1   1016   0.0050     0.500     yes
1017    167.75    170.91    242.45    2    167.78      1   1017   0.0050     0.500     yes
1018    167.71    170.87    242.49    2    167.74      1   1018   0.0050     0.500     yes
1019    167.75    170.92    242.45    2    167.78      1   1019   0.0050     0.500     yes
1020    167.71    170.90    242.45    2    167.73      1   1020   0.0050     0.500     yes
1021    167.75    170.94    242.47    2    167.78      1   1021   0.0050     0.500     yes
1022    167.71    170.92    242.52    2    167.73      1   1022   0.0050     0.500     yes
1023    167.75    170.97    242.49    2    167.78      1   1023   0.0050     0.500     yes
1024    167.70    170.94    242.49    2    167.72      1   1024   0.0050     0.500     yes
1025    167.74    171.00    242.52    2    167.77      1   1025   0.0050     0.500     yes
1026    167.71    170.99    242.55    2    167.73      1   1026   0.0050     0.500     yes
1027    167.74    171.02    242.53    2    167.77      1   1027   0.0050     0.500     yes
1028    167.70    170.99    242.59    2    167.72      1   1028   0.0050     0.500     yes
1029    167.74    171.05    242.58    2    167.77      1   1029   0.0050     0.500     yes
1030    167.70    171.02    242.64    2    167.72      1   1030   0.0050     0.500     yes
1031    167.74    171.07    242.66    2    167.78      1   1031   0.0050     0.500     yes
1032    167.70    171.05    242.65    2    167.72      1   1032   0.0050     0.500     yes
1033    167.74    171.11    242.59    2    167.78      1   1033   0.0050     0.500     yes
1034    167.70    171.08    242.68    2    167.73      1   1034   0.0050     0.500     yes
1035    167.75    171.13    242.58    2    167.79      1   1035   0.0050     0.500     yes
1036    167.71    171.10    242.72    2    167.73      1   1036   0.0050     0.500     yes
1037    167.74    171.14    242.65    2    167.78      1   1037   0.0050     0.500     yes
1038    167.71    171.12    242.69    2    167.72      1   1038   0.0050     0.500     yes
1039    167.75    171.18    242.75    2    167.78      1   1039   0.0050     0.500     yes
1040    167.71    171.15    242.83    2    167.72      1   1040   0.0050     0.500     yes
1041    167.74    171.20    242.77    2    167.77      1   1041   0.0050     0.500     yes
1042    167.71    171.19    242.85    2    167.73      1   1042   0.0050     0.500     yes
1043    167.74    171.26    242.92    2    167.77      1   1043   0.0050     0.500     yes
1044    167.70    171.22    242.95    2    167.71      1   1044   0.0050     0.500     yes
1045    167.74    171.30    242.86    2    167.77      1   1045   0.0050     0.500     yes
1046    167.71    171.27    242.87    2    167.72      1   1046   0.0050     0.500     yes
1047    167.73    171.33    242.88    2    167.76      1   1047   0.0050     0.500     yes
1048    167.70    171.30    242.95    2    167.72      1   1048   0.0050     0.500     yes
1049    167.73    171.34    243.00    2    167.76      1   1049   0.0050     0.500     yes
1050    167.71    171.32    242.91    2    167.72      1   1050   0.0050     0.500     yes
1051    167.73    171.37    242.93    2    167.75      1   1051   0.0050     0.500     yes
1052    167.71    171.36    243.01    2    167.73      1   1052   0.0050     0.500     yes
1053    167.73    171.40    243.09    2    167.76      1   1053   0.0050     0.500     yes
1054    167.72    171.38    243.02    2    167.73      1   1054   0.0050     0.500     yes
1055    167.73    171.42    243.06    2    167.75      1   1055   0.0050     0.500     yes
1056    167.71    171.39    243.10    2    167.72      1   1056   0.0050     0.500     yes
1057    167.73    171.44    243.06    2    167.75      1   1057   0.0050     0.500     yes
1058    167.70    171.41    243.18    2    167.72      1   1058   0.0050     0.500     yes
1059    167.72    171.47    243.19    2    167.75      1   1059   0.0050     0.500     yes
1060    167.69    171.44    243.26    2    167.71      1   1060   0.0050     0.500     yes
1061    167.72    171.50    243.18    2    167.74      1   1061   0.0050     0.500     yes
1062    167.69    171.47    243.37    2    167.71      1   1062   0.0050     0.500     yes
1063    167.72    171.53    243.19    2    167.74      1   1063   0.0050     0.500     yes
1064    167.69    171.48    243.42    2    167.71      1   1064   0.0050     0.500     yes
1065    167.72    171.54    243.27    2    167.75      1   1065   0.0050     0.500     yes
