=== run "FINAL_lp_240x30" ===
              a: 8
              b: 1
              t: 1
              E: 10000000
             nu: 0.3000
           rhom: 1
           nelx: 240
           nely: 30
             bc: 'a'
        support: 'mid'
          axial: 'both'
       elemType: 'Q4'
       massType: 'consistent'
              p: 3
     massInterp: '4'
         rhomin: 1.0000e-03
           rho0: 0.5000
        volfrac: 0.5000
              n: 1
           Nmax: 4
         rminEl: 3
       rminPhys: 0.0600
        tolMult: 0.0500
           move: 0.0050
        offDiag: 0
    innerSolver: 'lp'
     filterMode: 'diag'
       maxInner: 300
       tolInner: 0.0100
       minInner: 5
       maxOuter: 1600
       tolOuter: 1.0000e-03
         solver: 'eigs'
        threads: 1
        verbose: 1
           name: 'FINAL_lp_240x30'

  it    omega1    omega2    omega3    N sqrt(beta)  inner  cumIn  maxdrho       vol    conv
 113    154.98    155.03    316.11    2    155.24      1    113   0.0050     0.500     yes
 114    155.17    155.25    316.39    2    155.47      1    114   0.0050     0.500     yes
 115    155.38    155.50    316.57    2    155.71      1    115   0.0050     0.500     yes
 116    155.58    155.71    316.83    2    155.92      1    116   0.0050     0.500     yes
 117    155.87    155.96    317.13    2    156.18      1    117   0.0050     0.500     yes
 118    156.13    156.15    317.41    2    156.41      1    118   0.0050     0.500     yes
 119    156.40    156.40    317.75    2    156.67      1    119   0.0050     0.500     yes
 120    156.47    156.64    317.88    2    156.84      1    120   0.0050     0.500     yes
 121    156.73    156.85    318.19    2    157.06      1    121   0.0050     0.500     yes
 122    156.91    157.02    318.37    2    157.23      1    122   0.0050     0.500     yes
 123    157.16    157.18    318.57    2    157.42      1    123   0.0050     0.500     yes
 124    157.27    157.39    318.69    2    157.58      1    124   0.0050     0.500     yes
 125    157.51    157.52    318.54    2    157.77      1    125   0.0050     0.500     yes
 126    157.56    157.87    318.35    2    157.91      1    126   0.0050     0.500     yes
 127    157.79    157.97    317.97    2    158.09      1    127   0.0050     0.500     yes
 128    157.94    158.11    317.57    2    158.25      1    128   0.0050     0.500     yes
 129    158.13    158.28    317.11    2    158.37      1    129   0.0050     0.500     yes
 130    158.27    158.42    316.60    2    158.51      1    130   0.0050     0.500     yes
 131    158.45    158.68    316.13    2    158.69      1    131   0.0050     0.500     yes
 132    158.60    158.83    315.55    2    158.83      1    132   0.0050     0.500     yes
 133    158.78    159.00    314.97    2    159.00      1    133   0.0050     0.500     yes
 134    158.93    159.06    314.29    2    159.12      1    134   0.0050     0.500     yes
 135    159.17    159.39    313.67    2    159.37      1    135   0.0050     0.500     yes
 136    159.29    159.54    312.92    2    159.47      1    136   0.0050     0.500     yes
 137    159.71    159.88    313.07    2    159.90      1    137   0.0050     0.500     yes
 138    159.80    159.94    312.23    2    160.00      1    138   0.0050     0.500     yes
 139    160.26    160.36    313.42    2    160.43      1    139   0.0050     0.500     yes
 140    160.36    160.48    312.57    2    160.52      1    140   0.0050     0.500     yes
 141    160.56    160.81    312.03    2    160.74      1    141   0.0050     0.500     yes
 142    160.66    160.96    311.25    2    160.84      1    142   0.0050     0.500     yes
 143    160.84    161.14    310.57    2    161.02      1    143   0.0050     0.500     yes
 144    160.95    161.23    309.86    2    161.12      1    144   0.0050     0.500     yes
 145    161.13    161.43    309.27    2    161.31      1    145   0.0050     0.500     yes
 146    161.24    161.52    308.59    2    161.41      1    146   0.0050     0.500     yes
 147    161.41    161.82    308.08    2    161.59      1    147   0.0050     0.500     yes
 148    161.51    161.85    307.48    2    161.69      1    148   0.0050     0.500     yes
 149    161.69    162.10    306.89    2    161.87      1    149   0.0050     0.500     yes
 150    161.79    162.13    306.35    2    161.97      1    150   0.0050     0.500     yes
 151    161.97    162.43    305.93    2    162.15      1    151   0.0050     0.500     yes
 152    162.06    162.45    305.34    2    162.26      1    152   0.0050     0.500     yes
 153    162.25    162.73    304.90    2    162.45      1    153   0.0050     0.500     yes
 154    162.34    162.81    304.43    2    162.56      1    154   0.0050     0.500     yes
 155    162.52    163.04    303.97    2    162.73      1    155   0.0050     0.500     yes
 156    162.60    163.10    303.50    2    162.84      1    156   0.0050     0.500     yes
 157    162.78    163.31    303.03    2    162.96      1    157   0.0050     0.500     yes
 158    162.87    163.33    302.58    2    163.07      1    158   0.0050     0.500     yes
 159    163.05    163.57    302.17    2    163.18      1    159   0.0050     0.500     yes
 160    163.13    163.58    301.78    2    163.27      1    160   0.0050     0.500     yes
 161    163.29    163.73    301.39    2    163.41      1    161   0.0050     0.500     yes
 162    163.36    163.78    301.10    2    163.49      1    162   0.0050     0.500     yes
 163    163.66    164.02    301.42    2    163.78      1    163   0.0050     0.500     yes
 164    163.74    164.11    301.07    2    163.85      1    164   0.0050     0.500     yes
 165    164.22    164.46    302.45    2    164.34      1    165   0.0050     0.500     yes
 166    164.25    164.38    301.94    2    164.41      1    166   0.0050     0.500     yes
 167    164.37    164.64    301.64    2    164.48      1    167   0.0050     0.500     yes
 168    164.41    164.81    301.34    2    164.51      1    168   0.0050     0.500     yes
 169    164.56    165.04    301.04    2    164.65      1    169   0.0050     0.500     yes
 170    164.61    165.07    300.68    2    164.70      1    170   0.0050     0.500     yes
 171    164.73    165.24    300.38    2    164.84      1    171   0.0050     0.500     yes
 172    164.77    165.24    300.10    2    164.87      1    172   0.0050     0.500     yes
 173    164.91    165.50    299.80    2    165.01      1    173   0.0050     0.500     yes
 174    164.94    165.42    299.54    2    165.05      1    174   0.0050     0.500     yes
 175    165.06    165.66    299.32    2    165.16      1    175   0.0050     0.500     yes
 176    165.09    165.62    299.05    2    165.19      1    176   0.0050     0.500     yes
 177    165.20    165.80    298.84    2    165.30      1    177   0.0050     0.500     yes
 178    165.24    165.87    298.60    2    165.35      1    178   0.0050     0.500     yes
 179    165.37    166.05    298.31    2    165.48      1    179   0.0050     0.500     yes
 180    165.41    166.14    298.04    2    165.52      1    180   0.0050     0.500     yes
 181    165.52    166.34    297.82    2    165.67      1    181   0.0050     0.500     yes
 182    165.55    166.40    297.59    2    165.71      1    182   0.0050     0.500     yes
 183    165.64    166.62    297.44    2    165.77      1    183   0.0050     0.500     yes
 184    165.67    166.77    297.25    2    165.84      1    184   0.0050     0.500     yes
 185    165.80    167.02    297.08    2    165.85      1    185   0.0050     0.500     yes
 186    165.80    167.16    296.87    2    165.86      1    186   0.0050     0.500     yes
 187    165.91    167.43    296.58    2    165.97      1    187   0.0050     0.500     yes
 188    165.90    167.53    296.33    2    165.95      1    188   0.0050     0.500     yes
 189    166.22    167.86    297.37    2    166.27      1    189   0.0050     0.500     yes
 190    165.97    167.89    295.44    2    166.04      1    190   0.0050     0.500     yes
 191    166.29    168.24    296.73    2    166.34      1    191   0.0050     0.500     yes
 192    166.03    168.31    294.94    2    166.11      1    192   0.0050     0.500     yes
 193    166.35    168.64    296.12    2    166.39      1    193   0.0050     0.500     yes
 194    166.11    168.73    294.47    2    166.17      1    194   0.0050     0.500     yes
 195    166.39    169.10    295.46    2    166.44      1    195   0.0050     0.500     yes
 196    166.14    169.15    293.91    2    166.20      1    196   0.0050     0.500     yes
 197    166.42    169.50    294.81    2    166.47      1    197   0.0050     0.500     yes
 198    166.20    169.55    293.54    2    166.26      1    198   0.0050     0.500     yes
 199    166.48    169.88    294.33    2    166.53      1    199   0.0050     0.500     yes
 200    166.24    169.93    293.13    2    166.30      1    200   0.0050     0.500     yes
 201    166.52    170.30    293.82    2    166.57      1    201   0.0050     0.500     yes
 202    166.28    170.35    292.62    2    166.33      1    202   0.0050     0.500     yes
 203    166.55    170.69    293.36    2    166.60      1    203   0.0050     0.500     yes
 204    166.30    170.72    292.05    2    166.35      1    204   0.0050     0.500     yes
 205    166.58    171.10    292.94    2    166.63      1    205   0.0050     0.500     yes
 206    166.35    171.10    291.59    2    166.39      1    206   0.0050     0.500     yes
 207    166.63    171.46    292.38    2    166.67      1    207   0.0050     0.500     yes
 208    166.38    171.47    291.14    2    166.42      1    208   0.0050     0.500     yes
 209    166.64    171.80    291.96    2    166.69      1    209   0.0050     0.500     yes
 210    166.40    171.79    290.76    2    166.44      1    210   0.0050     0.500     yes
 211    166.68    172.09    291.65    2    166.72      1    211   0.0050     0.500     yes
 212    166.43    172.10    290.51    2    166.47      1    212   0.0050     0.500     yes
 213    166.70    172.43    291.28    2    166.74      1    213   0.0050     0.500     yes
 214    166.45    172.43    289.94    2    166.49      1    214   0.0050     0.500     yes
 215    166.70    172.76    290.82    2    166.74      1    215   0.0050     0.500     yes
 216    166.46    172.76    289.72    2    166.50      1    216   0.0050     0.500     yes
 217    166.71    173.05    290.48    2    166.75      1    217   0.0050     0.500     yes
 218    166.49    173.02    289.38    2    166.53      1    218   0.0050     0.500     yes
 219    166.73    173.32    290.30    2    166.77      1    219   0.0050     0.500     yes
 220    166.51    173.28    289.10    2    166.54      1    220   0.0050     0.500     yes
 221    166.74    173.60    290.08    2    166.78      1    221   0.0050     0.500     yes
 222    166.51    173.54    288.98    2    166.55      1    222   0.0050     0.500     yes
 223    166.76    173.83    289.82    2    166.80      1    223   0.0050     0.500     yes
 224    166.52    173.77    288.80    2    166.56      1    224   0.0050     0.500     yes
 225    166.75    174.05    289.54    2    166.79      1    225   0.0050     0.500     yes
 226    166.53    173.99    288.50    2    166.56      1    226   0.0050     0.500     yes
 227    166.76    174.25    289.29    2    166.80      1    227   0.0050     0.500     yes
 228    166.54    174.19    288.29    2    166.58      1    228   0.0050     0.500     yes
 229    166.76    174.42    288.94    2    166.80      1    229   0.0050     0.500     yes
 230    166.57    174.38    288.11    2    166.62      1    230   0.0050     0.500     yes
 231    166.79    174.60    288.69    2    166.83      1    231   0.0050     0.500     yes
 232    166.60    174.56    287.75    2    166.64      1    232   0.0050     0.500     yes
 233    166.79    174.73    288.30    2    166.84      1    233   0.0050     0.500     yes
 234    166.62    174.67    287.41    2    166.66      1    234   0.0050     0.500     yes
 235    166.80    174.85    288.04    2    166.85      1    235   0.0050     0.500     yes
 236    166.64    174.80    287.24    2    166.68      1    236   0.0050     0.500     yes
 237    166.83    174.96    287.61    2    166.87      1    237   0.0050     0.500     yes
 238    166.66    174.88    286.95    2    166.70      1    238   0.0050     0.500     yes
 239    166.84    175.02    287.44    2    166.88      1    239   0.0050     0.500     yes
 240    166.67    174.93    286.70    2    166.70      1    240   0.0050     0.500     yes
 241    166.85    175.09    287.15    2    166.89      1    241   0.0050     0.500     yes
 242    166.67    174.96    286.32    2    166.71      1    242   0.0050     0.500     yes
 243    166.89    175.17    286.94    2    166.94      1    243   0.0050     0.500     yes
 244    166.71    175.05    286.22    1    166.76      1    244   0.0050     0.500     yes
 245    166.77    175.12    286.51    1    166.91      1    245   0.0050     0.500     yes
 246    166.70    175.06    286.38    1    166.78      1    246   0.0050     0.500     yes
 247    166.77    175.10    286.34    2    166.89      1    247   0.0050     0.500     yes
 248    166.73    175.06    285.95    2    166.77      1    248   0.0050     0.500     yes
 249    166.85    175.15    286.08    2    166.89      1    249   0.0050     0.500     yes
 250    166.76    175.07    285.70    2    166.79      1    250   0.0050     0.500     yes
 251    166.90    175.19    286.02    2    166.93      1    251   0.0050     0.500     yes
 252    166.76    175.08    285.46    2    166.79      1    252   0.0050     0.500     yes
 253    166.90    175.23    285.80    2    166.94      1    253   0.0050     0.500     yes
 254    166.77    175.09    285.29    2    166.80      1    254   0.0050     0.500     yes
 255    166.90    175.20    285.69    2    166.94      1    255   0.0050     0.500     yes
 256    166.78    175.08    285.08    2    166.81      1    256   0.0050     0.500     yes
 257    166.92    175.16    285.48    2    166.96      1    257   0.0050     0.500     yes
 258    166.78    175.00    284.83    2    166.81      1    258   0.0050     0.500     yes
 259    166.94    175.11    285.34    2    166.98      1    259   0.0050     0.500     yes
 260    166.81    174.97    284.68    2    166.84      1    260   0.0050     0.500     yes
 261    166.96    175.07    285.05    2    167.00      1    261   0.0050     0.500     yes
 262    166.81    174.93    284.45    2    166.85      1    262   0.0050     0.500     yes
 263    166.97    175.00    284.86    2    167.00      1    263   0.0050     0.500     yes
 264    166.81    174.82    284.11    2    166.84      1    264   0.0050     0.500     yes
 265    166.98    174.96    284.61    2    167.01      1    265   0.0050     0.500     yes
 266    166.82    174.78    283.94    2    166.85      1    266   0.0050     0.500     yes
 267    166.98    174.89    284.29    2    167.02      1    267   0.0050     0.500     yes
 268    166.82    174.71    283.70    2    166.85      1    268   0.0050     0.500     yes
 269    167.00    174.86    284.19    2    167.03      1    269   0.0050     0.500     yes
 270    166.83    174.65    283.48    2    166.86      1    270   0.0050     0.500     yes
 271    167.01    174.79    283.89    2    167.05      1    271   0.0050     0.500     yes
 272    166.85    174.59    283.03    2    166.88      1    272   0.0050     0.500     yes
 273    167.02    174.72    283.58    2    167.06      1    273   0.0050     0.500     yes
 274    166.87    174.56    282.95    2    166.91      1    274   0.0050     0.500     yes
 275    167.04    174.67    283.31    2    167.08      1    275   0.0050     0.500     yes
 276    166.88    174.46    282.66    2    166.91      1    276   0.0050     0.500     yes
 277    167.05    174.60    283.04    2    167.09      1    277   0.0050     0.500     yes
 278    166.89    174.40    282.19    2    166.93      1    278   0.0050     0.500     yes
 279    167.06    174.49    282.63    2    167.09      1    279   0.0050     0.500     yes
 280    166.90    174.31    281.89    2    166.94      1    280   0.0050     0.500     yes
 281    167.07    174.40    282.19    2    167.10      1    281   0.0050     0.500     yes
 282    166.91    174.20    281.45    2    166.94      1    282   0.0050     0.500     yes
 283    167.07    174.31    281.82    2    167.11      1    283   0.0050     0.500     yes
 284    166.91    174.09    281.04    2    166.93      1    284   0.0050     0.500     yes
 285    167.07    174.19    281.42    2    167.11      1    285   0.0050     0.500     yes
 286    166.91    173.99    280.55    2    166.94      1    286   0.0050     0.500     yes
 287    167.08    174.08    280.89    2    167.11      1    287   0.0050     0.500     yes
 288    166.92    173.87    280.07    2    166.95      1    288   0.0050     0.500     yes
 289    167.09    173.99    280.46    2    167.12      1    289   0.0050     0.500     yes
 290    166.93    173.80    279.60    2    166.96      1    290   0.0050     0.500     yes
 291    167.10    173.88    279.95    2    167.13      1    291   0.0050     0.500     yes
 292    166.94    173.68    279.03    2    166.97      1    292   0.0050     0.500     yes
 293    167.10    173.78    279.31    2    167.13      1    293   0.0050     0.500     yes
 294    166.96    173.62    278.55    2    166.99      1    294   0.0050     0.500     yes
 295    167.11    173.70    278.73    2    167.14      1    295   0.0050     0.500     yes
 296    166.97    173.56    278.01    2    166.99      1    296   0.0050     0.500     yes
 297    167.11    173.61    278.19    2    167.13      1    297   0.0050     0.500     yes
 298    166.98    173.47    277.63    2    167.00      1    298   0.0050     0.500     yes
 299    167.11    173.51    277.61    2    167.13      1    299   0.0050     0.500     yes
 300    166.99    173.43    277.14    2    167.02      1    300   0.0050     0.500     yes
 301    167.10    173.44    277.06    2    167.13      1    301   0.0050     0.500     yes
 302    167.00    173.35    276.55    2    167.03      1    302   0.0050     0.500     yes
 303    167.11    173.37    276.58    2    167.14      1    303   0.0050     0.500     yes
 304    167.01    173.29    276.00    2    167.03      1    304   0.0050     0.500     yes
 305    167.12    173.32    276.08    2    167.14      1    305   0.0050     0.500     yes
 306    167.01    173.17    223.61    2    167.05      1    306   0.0050     0.500     yes
 307    167.12    173.23    275.59    2    167.15      1    307   0.0050     0.500     yes
 308    167.03    173.13    246.40    2    167.05      1    308   0.0050     0.500     yes
 309    167.14    173.19    275.16    2    167.17      1    309   0.0050     0.500     yes
 310    167.05    173.09    207.74    2    167.09      1    310   0.0050     0.500     yes
 311    167.16    173.14    274.74    2    167.19      1    311   0.0050     0.500     yes
