outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,itersSinceMoveChange,moveDescent,maxAbs,rms,l2,r_rho,r_rho_below_thr,utilPersistCount,beta,betaStallRel,betaStallFires,objRelRange_W10,nInner,innerConv,multN,degen,multJ
24,149.591427243975,150.639883815029,0.00700880117510596,0.499978426639001,54.842470964076,0.59390625,0.29203125,0.04,1,23,0,0.0398607386030794,0.00664348114501619,0.751624090932147,0.996518465076986,0,0,22547.7710583526,0.592640067856532,0,0.0672440312772431,18,1,2,1,0
25,150.07295048149,151.013299345384,0.00626594506789234,0.499974980537002,54.3339277710172,0.5884375,0.29171875,0.04,1,24,0,0.0398964082616024,0.006183598666036,0.699594327822424,0.997410206540059,0,0,22676.2431601609,0.489651621885611,0,0.0561904941388749,17,1,2,1,0
26,150.530222843147,151.611161151684,0.00718087230670718,0.499990959151313,53.8657213171774,0.58515625,0.2896875,0.04,1,25,0,0.0398167967814524,0.00555596833870377,0.628586062136831,0.995419919536311,0,0,22784.5825529192,0.403469133642093,0,0.0467928337919329,17,1,2,1,0
27,150.837373531755,151.823264056923,0.00653611569920193,0.499984303723133,53.4052595053702,0.58015625,0.28796875,0.04,1,26,0,0.0399084588796963,0.00552239793313987,0.624788004309405,0.997711471992408,0,0,22872.1880267607,0.33112483282975,0,0.0397778133408082,20,1,2,1,0
28,151.137086222687,152.378454173503,0.00821352311230168,0.499976841906152,52.9946279272,0.5771875,0.28609375,0.04,1,27,0,0.0397393275364045,0.00505871855271669,0.572328670838427,0.993483188410112,0,0,22920.0305767818,0.269381277468981,0,0.0351549254841991,19,1,2,1,0
29,151.422691421094,152.049766273832,0.00414122115286883,0.499981493368474,52.5314634981544,0.57203125,0.28390625,0.04,1,28,0,0.0376157857328293,0.00580615546580979,0.65689150439959,0.940394643320733,0,0,23013.4707438494,0.217700467459165,0,0.0299061073477818,27,1,2,1,0
30,151.667969679681,152.768788900977,0.00725808635548164,0.499981193372543,52.1357603932718,0.56609375,0.28171875,0.04,1,29,0,0.0396445282322056,0.00502979898011138,0.56905679469471,0.99111320580514,0,0,23082.9424280126,0.175167864143131,0,0.02628373627877,20,1,2,1,0
31,151.931608319673,153.103878815137,0.00771577756879696,0.499987290360057,51.7382940135237,0.56140625,0.2809375,0.04,1,30,0,0.0398390551461137,0.00504373420341632,0.570633385238113,0.995976378652842,0,0,23155.7401825878,0.139899589956331,0,0.023514140141224,23,1,2,1,0
32,152.189596559421,153.173748313033,0.00646661648273835,0.49995943347263,51.3409181329931,0.55703125,0.28234375,0.04,1,31,0,0.0397473852785484,0.00508052806294379,0.574796135250577,0.993684631963709,0,0,23224.0374636658,0.111796836040241,0,0.0207247000317892,24,1,2,1,0
33,152.406211852538,153.516500764053,0.00728506337123119,0.499977173395466,50.931358156013,0.5540625,0.283125,0.04,1,32,0,0.0395492448309532,0.00546103765511818,0.617845881319863,0.98873112077383,0,0,23292.2282837766,0.0933583358286235,0,0.0186189215235521,25,1,2,1,0
