outer,omega1,omega2,omega3,omega4,omega5,gap12,N,nInner,cumInner,innerConv,dxNorm2,dxMax,moveMax,moveMean,vol,volErr,Mnd,beta,tOuter,tEig,tGrad,tInner
30,158.266073898976,160.823074115219,384.854828147557,499.229955800496,709.675888055112,0.016156338204704,2,18,687,1,3.2206997317427,0.0993367644612731,0.1,0.0513898134618653,0.499936654849066,-6.33451509344241e-05,0.345216222350748,25325.3536623988,3.604668625,0.170457208333333,0.00871716666666667,3.42472083333333
31,159.192953675392,162.154601468879,383.440749388512,504.509185713349,717.816751806012,0.0186041387203982,2,25,712,1,3.80019463574457,0.0995042502957989,0.1,0.0517526676396987,0.499967742612783,-3.22573872170162e-05,0.32064753526045,25743.0677906976,7.200951625,0.1740765,0.00881216666666667,7.01729366666667
32,160.405838600984,164.391191425815,380.141979677318,513.88722641444,726.48758293726,0.0248454349267476,2,31,743,1,3.75053139983473,0.0999610099170587,0.1,0.0524919517795497,0.499981554078591,-1.84459214089827e-05,0.299710232306947,26165.2208079235,9.32608741666667,0.176303375,0.00878704166666667,9.140243375
33,161.426140671412,166.393794524627,374.768295705343,521.177001709334,732.543836521408,0.030773540348256,2,25,768,1,2.87764170804862,0.0999710617153626,0.1,0.0510460927887102,0.499980386545606,-1.96134543943294e-05,0.285771007023804,26388.6972601348,6.40570020833333,0.204831875,0.00895083333333333,6.19116695833333
34,162.16789500871,167.987350988709,372.566345192292,527.224471118075,736.524727781583,0.0358853765702901,2,26,794,1,2.62286076397833,0.0999464818869002,0.1,0.0498503978534843,0.499977787995255,-2.2212004744504e-05,0.274255027064092,26572.4331465431,6.77770575,0.210507458333333,0.008910875,6.557522
35,162.709115261534,169.452772176557,370.847606074996,532.286611326952,737.474123616571,0.0414460917213133,2,30,824,1,2.58146433023866,0.099913569419979,0.1,0.0490312504254176,0.49998176971079,-1.82302892102748e-05,0.263628821294424,26695.4227021497,8.20944545833333,0.175170541666667,0.00893716666666667,8.02455375
36,163.130510932731,170.765408448583,368.01518632523,536.348897901517,737.066558214462,0.046802388297556,2,32,856,1,2.5710463946315,0.0994356327688666,0.1,0.0489477103120155,0.499984613595352,-1.53864046484875e-05,0.253435405226382,26800.2584378187,8.52893020833333,0.171328,0.00873191666666667,8.34808141666667
37,163.501465899398,172.338467189682,365.148926311236,540.898713108991,736.281954806931,0.0540484529705773,2,26,882,1,2.18131629277525,0.0995206092851888,0.1,0.0487244984793125,0.499980025011607,-1.99749883934563e-05,0.244867868812301,26894.6237463315,6.990898625,0.174303958333333,0.00902566666666667,6.80680333333333
38,163.841563567562,173.448311454044,362.386552740494,543.48671350897,735.836975317382,0.0586343762675386,2,27,909,1,2.08738622645046,0.0997158628612972,0.1,0.0479192885578177,0.499980459931015,-1.95400689848579e-05,0.236727010120976,26982.2008231063,7.23332691666667,0.178320833333333,0.00884820833333333,7.045359875
39,164.145518085947,173.798225486899,358.165796746817,543.139062739697,735.765014461088,0.0588057932589929,2,21,930,1,1.8637291054196,0.0999104974734524,0.1,0.0470501689922806,0.499976572965318,-2.34270346815002e-05,0.230758317862706,27068.9476733599,6.16352775,0.175288833333333,0.00899091666666667,5.97845875
40,164.408935348964,174.692155255123,355.970223399241,547.879774715011,733.895281683654,0.0625465999419845,2,29,959,1,2.48228168929697,0.0993209319262389,0.1,0.0457739218886101,0.499977411866943,-2.25881330572775e-05,0.220740739851271,27208.7282399361,8.28854745833333,0.169846666666667,0.008971,8.108950375
41,164.810406731183,175.1241516489,348.748149420246,547.459059484946,733.390282740867,0.0625794518821847,2,28,987,1,2.54875119990275,0.0994706850954223,0.1,0.0444591914872327,0.49997995514997,-2.00448500295436e-05,0.210830298866292,27360.8889409942,7.94999241666667,0.172177458333333,0.00897954166666667,7.7680645
42,165.318287659716,176.314799344483,343.865275181872,553.546526786657,732.20613241497,0.0665172125869165,2,27,1014,1,2.37009196919233,0.099703814671439,0.1,0.0437073861536444,0.499983017965108,-1.69820348915883e-05,0.20025132728413,27536.072531124,7.439835125,0.175439416666667,0.00901920833333333,7.25461470833333
43,165.802008445667,177.611218334053,340.573707842755,556.620823250662,731.734856220459,0.0712247698269334,2,23,1037,1,2.00327615446013,0.0995481936283624,0.1,0.0426088843625661,0.499982075058695,-1.79249413047589e-05,0.191388909905358,27647.6201563744,6.49292895833333,0.174215333333333,0.00900879166666667,6.308908
44,166.122461848455,179.228398500968,340.545222535324,561.831759843248,728.643502813856,0.0788932243519769,2,13,1050,1,1.08666463263189,0.0994000198027896,0.1,0.0414105989530453,0.49997760881843,-2.23911815696032e-05,0.186913567879021,27665.2128091216,3.82629391666667,0.205302125,0.00898804166666667,3.61119129166667
45,166.248886621018,179.805027459538,340.381616231359,563.065187943261,726.590725650833,0.0815412428560988,2,14,1064,1,1.48036578846819,0.0983788598265063,0.1,0.0407331260969577,0.49997839752259,-2.16024774097878e-05,0.180816691617684,27727.8930393433,4.40371883333333,0.202922,0.00881304166666667,4.19120179166667
46,166.371104135109,181.063565137135,340.591307440791,566.458783202621,722.92473878222,0.0883113752138981,2,19,1083,1,1.73285651785672,0.0922621350569459,0.1,0.0401952058011869,0.499977796343418,-2.22036565817874e-05,0.17308895261799,27777.5956681839,5.58051329166667,0.206252458333333,0.00880941666666667,5.36465554166667
47,166.531300909347,181.97559304905,340.747821242846,568.635109663972,720.390316382914,0.0927410766346573,2,19,1102,1,1.81897055367138,0.0988571574801883,0.1,0.0397844825139967,0.499977665281193,-2.23347188067491e-05,0.164685694920561,27828.6749325838,5.666976875,0.173105416666667,0.00882370833333333,5.48426254166667
48,166.682683768531,182.891336248181,341.379419975933,571.322788793241,718.703112848984,0.0972425696130427,2,21,1123,1,2.09692683524301,0.0934171609633649,0.1,0.0403168336878725,0.499974633598726,-2.53664012742072e-05,0.155060137032604,27897.2590223108,6.32219216666667,0.172325208333333,0.00918929166666667,6.13992275
49,166.824210347733,183.912280653133,342.185961299991,574.265180150923,718.741046178546,0.102431597127191,2,10,1133,1,1.10145366939172,0.0915422669638521,0.1,0.0407754575943302,0.499976614747776,-2.33852522236733e-05,0.150326644589144,27884.0806709767,3.30094454166667,0.178393916666667,0.00903670833333333,3.1127485
50,166.891815958745,184.442308388564,342.603463667315,575.714961559633,719.299109912564,0.105160893175003,2,16,1149,1,1.64608454520297,0.0962691171135677,0.1,0.0387888366146195,0.499978810520731,-2.11894792689349e-05,0.143782014761279,27948.7087282036,5.77411070833333,0.171603208333333,0.009014,5.59270370833333
51,166.944151539861,185.687886011647,343.19090805246,579.078285937502,719.333886027263,0.112275478349479,2,18,1167,1,1.46840643246689,0.0780150185205167,0.1,0.0384375422988173,0.499983671964316,-1.63280356842987e-05,0.138251869942507,27939.7714594229,6.13151791666667,0.171750625,0.00897016666666667,5.95002570833333
52,167.023040038421,186.409999391076,343.568672473181,580.6569586949,720.475966015064,0.116073562953921,2,16,1183,1,1.19417553977865,0.0852743234258874,0.1,0.0378560771149353,0.499986741616954,-1.32583830462218e-05,0.134667680933289,27951.4438001903,6.39593641666667,0.173954791666667,0.00907404166666667,6.21211341666667
53,167.047979071798,187.172127444262,343.824424707942,582.461709161234,720.571712289942,0.12046927166844,2,17,1200,1,1.05103706125329,0.0783730551545614,0.1,0.0366528442210503,0.499990657558519,-9.34244148065311e-06,0.132242569802855,27950.2768473718,7.409177125,0.17494575,0.0088875,7.224557375
54,167.047109869689,188.003400613063,343.825427576399,584.15950630486,719.935796604007,0.12545138170736,2,14,1214,1,0.798000724553123,0.0886234553362344,0.1,0.0364641839143055,0.499992321507225,-7.67849277472088e-06,0.130943773049987,27934.8731693133,6.157763625,0.166871,0.00908808333333333,5.98101675
55,167.028066233754,188.6535015826,343.747177341259,585.551661970406,719.037207498492,0.129471865635927,2,15,1229,1,0.800099323829146,0.0916459331835278,0.1,0.0371222398898051,0.49999334077724,-6.65922276010811e-06,0.12968477401503,27926.9702442493,6.481319125,0.169910458333333,0.008781625,6.30185295833333
56,167.005418442822,189.310377826233,343.709130985595,587.098754524206,718.079933396523,0.133558297637196,2,17,1246,1,0.728383068801685,0.0770061484216561,0.1,0.0378371424633727,0.499994797132342,-5.20286765814948e-06,0.12830731398609,27913.9551795952,6.688323125,0.173930458333333,0.008933375,6.504689625
57,167.00803856294,189.726824972405,343.800617857882,588.14907273696,717.579317018788,0.136034089166933,2,17,1263,1,0.749826681545292,0.078706926053636,0.1,0.0367937994992598,0.499994898047169,-5.10195283076609e-06,0.127339756061395,27915.0346386083,7.11913775,0.171470083333333,0.00877958333333333,6.93809625
58,166.970535783209,190.356140154683,343.722177168757,589.641929814689,716.473590676733,0.140058269932349,2,16,1279,1,0.628324086531494,0.0453447849684801,0.1,0.0356102936501926,0.499995922482225,-4.07751777481424e-06,0.12655895265429,27897.4361682079,7.04592620833333,0.173815458333333,0.009041125,6.862274875
59,166.939321633622,190.906483361384,343.63581639653,590.954100240075,715.483675679493,0.143568103028248,2,17,1296,1,0.604875330249778,0.0420133950107669,0.1,0.0353884142498064,0.4999965483252,-3.45167479953723e-06,0.125869758047198,27885.2402567557,6.932673625,0.176405125,0.00872070833333333,6.74673620833333
