run,nelx,nely,massModel,cutoff,move0,rminEl,status,outer,inner,w1_native,w2_native,w3_native,w1_eq4,w2_eq4,w3_eq4,gap_eq4_pct,w1_lin,w2_lin,w3_lin,Mnd,greyFrac,coalIter,wall_s,iter99
D1_240_d010_r13_eq4,240,30,eq4,0.1,0.1,1.3,CONVERGED,254,4223,170.737695173187,178.886741092712,299.942485993299,170.737695173187,178.886741092712,299.942485993299,4.77284521807512,13.619375389049,16.5826886195044,19.3876124559069,0.0846163801766285,0.103055555555556,8,1020.15741116667,50
D2_240_d010_r13_eq4a,240,30,eq4a,0.1,0.1,1.3,CONVERGED,296,4562,171.697793593153,178.476451492552,296.485640598637,171.921041647296,178.704938142846,296.886912415047,3.94593729222986,14.6202841721947,18.5971432615574,21.5452522011238,0.0748693577124466,0.0693055555555556,8,1324.67781358333,62
E1_800_d010_R0433_eq4_eps0246,800,100,eq4,0.1,0.1,4.33333333333333,CAP_HIT,400,6829,167.732343237876,221.89162735277,458.60789222583,167.732343237876,221.89162735277,458.60789222583,32.2891119681588,16.6767708684109,23.0870310148202,23.5939665439261,0.118983569782211,0.1339875,11,10885.822114125,212
E2_800_d010_R0433_eq4,800,100,eq4,0.1,0.1,4.33333333333333,CONVERGED,105,2034,120.023842856329,165.692453248534,176.360004803843,120.023842856329,165.692453248534,176.360004803843,38.0496152309263,15.5861396130127,21.4632303279101,24.7907834929696,0.286207008204136,0.2991375,11,2037.35500958333,82
F1_240_d010_r13_eq4_cut02,240,30,eq4,0.2,0.1,1.3,CONVERGED,337,4881,171.147951885976,178.06918089191,296.026702278394,169.816603516603,176.840181152137,293.064161338744,4.13597816119735,16.9199762885844,19.318629793093,21.9939568554136,0.0940303034387332,0.115833333333333,9,1215.92092445833,34
F2_240_d010_r13_eq4_cut03,240,30,eq4,0.3,0.1,1.3,CONVERGED,150,2038,171.410160787382,193.185109444596,572.329787981633,159.640919707151,175.63758890755,554.801349380187,10.0204065660259,15.0666685833134,18.9355847977267,18.935584994542,0.256627310700537,0.3025,47,364.41637825,50
G1_800_d010_R0433_eq4cut02_eps0246,800,100,eq4,0.2,0.1,4.33333333333333,CAP_HIT,400,7250,168.708463257015,182.032953452926,260.452812710394,168.330284704186,181.616168417023,259.905890781615,7.89274712876873,15.3949439496223,22.9594529880929,24.2941678425005,0.0960361677802148,0.1022625,15,8911.96781908333,79
H1_800_ped01_lin,800,100,eq2,0.1,0.1,4.33333333333333,CONVERGED,291,5367,167.767408034325,215.669693022991,407.394434917088,168.041967639127,215.771480593755,404.619479256918,28.4033290166704,14.3492374763899,17.7940510761883,21.6679375910138,0.105077573620087,0.1159,11,6380.651215875,96
N6_240_innerAsy_mv004,240,30,eq4b,0.1,0.04,1.8,CONVERGED,29,895,131.217953291079,319.672559473188,561.205121976483,131.218136377575,319.67370696909,561.208410691821,143.620063349507,23.7531957957269,23.7531959257124,23.904200200706,0.70287980145573,0.821944444444444,NaN,62.6057292083333,22
P1_240_ped01_lin,240,30,eq2,0.1,0.1,1.3,CONVERGED,191,3625,170.449571854303,178.690371683922,302.464422955258,170.959171233514,178.898859565541,299.675121229695,4.64420146327361,12.010988351893,14.249461772424,16.733886787355,0.0809913495597221,0.0927777777777778,8,893.345519333333,41
P2_240_ped01_eq4,240,30,eq4,0.1,0.1,1.3,CONVERGED,314,5010,170.747687516953,178.336996250321,298.986870647677,170.744925343919,177.999845866395,294.140064824881,4.24898163612327,14.412507329194,17.2791447742808,20.7020033464687,0.0853098097543651,0.105,8,1109.93824945833,29
P3_240_ped03_lin,240,30,eq2,0.1,0.1,1.3,CONVERGED,271,5924,168.768631266444,168.816810233372,360.718549692315,157.30559963627,169.33266784852,221.88866711513,7.64567074538979,18.3500866664377,18.3500868340726,18.4642221298986,0.112865267338878,0.135,23,1084.73002070833,33
