outer,omega1,omega2,omega3,omega4,omega5,gap23,tOuter,tEig,tGrad,tInner,tOther,multN,multJ,degen,nInner,dxOuter,dxNorm2,move,stage,vol
92,155.52126990228334,157.58977109088485,397.11717466994872,494.94123176953309,720.56370169301192,1.5199425820659649,7.2293364166666665,0.26742508333333331,0.016168624999999999,6.9446155833333334,0.0011271250000000066,2,0,1,26,0.022251320300646433,0.32699574558170574,0.040000000000000001,1,0.49999155566679843
93,155.5797637538173,157.77705138705309,397.0828520312084,495.50132794555628,720.61918209297562,1.5167338883593329,8.6956045,0.26984550000000002,0.016173916666666666,8.4084553750000008,0.0011297083333321467,2,0,1,29,0.028022495289675164,0.39531720752692318,0.040000000000000001,1,0.49999585753333553
94,155.65670198185342,157.78378690549823,396.47624137417517,495.29122620742794,720.82027879129623,1.5127818843113299,7.019549333333333,0.25977275,0.015781875000000001,6.7428764583333329,0.0011182500000002094,2,0,1,24,0.01866525379690635,0.3418598770919426,0.040000000000000001,1,0.49998411084355732
95,155.71278720729754,157.86980241994661,396.09767189816085,495.38562797702201,720.85651997180037,1.5090148073062675,10.318004708333333,0.26791679166666665,0.016267416666666666,10.032676916666667,0.0011435833333344192,2,0,1,35,0.030839663921142849,0.49889137385473775,0.040000000000000001,1,0.49999679912045863
96,155.8113338794858,158.09924373774172,395.86966173499582,496.02892864836258,720.82295124417396,1.5039314064757487,8.2695064583333338,0.266858125,0.015755999999999999,7.9857719999999999,0.0011203333333336118,2,0,1,27,0.031239976072173263,0.40190704472342537,0.040000000000000001,1,0.49999447400032876
97,155.88543080531704,158.11499550640278,395.31345178741407,495.93000550958965,720.8596845112686,1.5001642034098281,9.0695506666666663,0.26675025000000002,0.016293541666666668,8.7853552916666668,0.0011515833333337611,2,0,1,31,0.029987157251256027,0.4306159494923007,0.040000000000000001,1,0.49998140043094358
98,155.96687745937518,158.28159229980193,394.91984746302427,496.28127637718927,720.93405377177623,1.4950459603350759,7.9532935,0.26769591666666664,0.015785333333333332,7.6686653749999998,0.0011468749999998806,2,0,1,26,0.026363264644480754,0.36833470856352807,0.040000000000000001,1,0.49999524269046508
99,156.0363102122802,158.30133602245917,394.37505055058546,496.17379345307421,720.9651984388347,1.4912932541177863,10.401646625,0.26416058333333331,0.015819291666666666,10.120536833333333,0.0011299166666667304,2,0,1,34,0.029460247640717328,0.433502287320082,0.040000000000000001,1,0.49999059292471482
100,156.11839740817086,158.35524595021988,393.90557183858664,496.14633603269067,720.9661041237481,1.4874804082108761,6.577080416666667,0.26546458333333334,0.015729791666666666,6.294740916666667,0.0011451249999998581,2,0,1,22,0.019880234273893592,0.30880957653357122,0.040000000000000001,1,0.49998301947041934
101,156.16245680009442,158.48637007849294,393.66995138159314,496.39547636683739,720.95109292184497,1.4839356923035194,9.047352458333334,0.26645912500000002,0.016320749999999998,8.7634487083333337,0.0011238749999993303,2,0,1,32,0.027358978984010466,0.42548725789698649,0.040000000000000001,1,0.49997923251142939
102,156.23561537970809,158.7830942640241,393.83454438791523,497.3464670951916,720.77856666784032,1.4803304546581528,5.8669487499999997,0.26384045833333336,0.015908041666666668,5.58604725,0.0011529999999995155,2,0,1,20,0.016162125516915832,0.27398580140842405,0.040000000000000001,1,0.49997451919539138
103,156.28419985417878,158.87758403184552,393.60360448703142,497.52276257729721,720.72956549149194,1.4774017485571613,7.1577358333333336,0.26260083333333334,0.015855125000000001,6.8780777916666667,0.0012020833333341585,2,0,1,25,0.022603393772439018,0.3389913732480252,0.040000000000000001,1,0.49999175639863663
104,156.35136674953654,158.98571722258072,393.26406538461481,497.66905458987532,720.75101210669743,1.4735811005842956,5.3612178333333329,0.27090541666666668,0.016360208333333334,5.0728200833333332,0.0011321249999998173,2,0,1,18,0.018148864347724416,0.25783904538826424,0.040000000000000001,1,0.49999215228714561
105,156.38910805392661,159.09339859504578,393.17059345118565,497.973974163999,720.67384572216997,1.4713193440034356,8.4611822083333337,0.26868300000000001,0.016388458333333335,8.1749849583333329,0.0011257916666682632,2,0,1,29,0.027096537066107478,0.40655882184413789,0.040000000000000001,1,0.49999533283690084
106,156.46145468367061,159.29816535628598,392.96123717468231,498.43440888995821,720.6366944186276,1.4668283925039936,7.3268392083333334,0.26408354166666664,0.015916583333333335,7.0456785000000002,0.0011605833333332427,2,0,1,24,0.019305598389714056,0.34980682125530105,0.040000000000000001,1,0.49999330170335421
107,156.51699288770115,159.51853782105135,392.95247822157216,499.08867032956459,720.53848970782906,1.4633655974353783,8.2457934166666664,0.26610216666666664,0.015899375,7.9626610416666663,0.0011308333333337472,2,0,1,29,0.024580712645278554,0.43685961818799796,0.040000000000000001,1,0.49999552422852334
108,156.59166770430946,159.83566347826687,392.96219445856565,500.01105300471971,720.4064835265267,1.4585388886754764,7.424598333333333,0.26640249999999999,0.015939083333333333,7.141107166666667,0.0011495833333325933,2,0,1,24,0.026449704080393814,0.36970746551136802,0.040000000000000001,1,0.49999586094648663
109,156.6584251943203,159.9526225515406,392.47802417374544,500.10562345520606,720.41088569633223,1.453714218079041,7.8861667083333336,0.25905424999999999,0.015913333333333335,7.6100624166666666,0.0011367083333331252,2,0,1,26,0.023370323571324837,0.41622640014453471,0.040000000000000001,1,0.4999954983783903
110,156.73955363688722,160.11437534732838,391.93684706314167,500.3110800373114,720.4591095755261,1.4478554546581592,8.8735952916666658,0.25993870833333332,0.015919291666666668,8.5966066249999997,0.0011306666666666132,2,0,1,29,0.025604048928060064,0.50459645154054589,0.040000000000000001,1,0.49999573889435156
111,156.84020110601136,160.34653609771752,391.39803252388884,500.7600829150449,720.5279029439663,1.4409509681292096,3.9793747916666669,0.26984124999999998,0.016469625000000002,3.6919315833333335,0.0011323333333335128,2,0,1,14,0.013798179198013846,0.26104152828934324,0.040000000000000001,1,0.49998568584972669
112,156.87789334008863,160.59544471769149,391.43165644299899,501.51644122155943,720.41060613486877,1.4373770820902876,8.3003287500000003,0.26807962499999999,0.016449666666666668,8.0146518333333336,0.0011476249999997634,2,0,1,29,0.02976811687701493,0.52477041519561107,0.040000000000000001,1,0.49999484303630243
113,156.99129764520026,160.85272314892418,390.74783932834362,501.96754359853514,720.62813466335967,1.4292273806677982,7.8259939999999997,0.26423075000000001,0.015947041666666668,7.5446511666666662,0.0011650416666668661,2,0,1,26,0.025829489583804266,0.51833596820142824,0.040000000000000001,1,0.49999459500089194
114,157.10110027241242,161.09677247957237,390.00683483568969,502.39114862241837,720.78419818829411,1.4209475387543467,5.7689162083333336,0.26880045833333333,0.016508041666666667,5.4824683333333333,0.0011393750000001646,2,0,1,19,0.03569475476858542,0.42570503562276002,0.040000000000000001,1,0.49998926632327517
115,157.19143973358464,161.4140484210408,389.7529234940493,503.3050149106636,720.96936616025607,1.4146158733185199,4.4887781249999996,0.26409020833333335,0.016113875,4.2074286666666669,0.0011453749999992269,2,0,1,16,0.036454630181735476,0.45041641272545868,0.040000000000000001,1,0.49998291597049177
116,157.29573052212959,161.76680781534247,389.46340217360301,504.33023983190435,721.17720792624277,1.4075606574259487,4.3890417499999996,0.26284991666666668,0.016068124999999999,4.1089916249999998,0.0011320833333332558,2,0,1,16,0.037456785602628842,0.4930592837372566,0.040000000000000001,1,0.49998520502919419
117,157.4168076025783,162.14495590135962,389.28627094322911,505.49967226229796,721.52230210879111,1.4008534140281872,4.2578585000000002,0.26535816666666667,0.016182249999999999,3.9751872499999998,0.0011308333333337472,2,0,1,16,0.037308113214332722,0.49919379989687379,0.040000000000000001,1,0.49998940303077033
118,157.54039679868339,162.49238413032779,389.09808458636053,506.52671134482898,722.04540043521024,1.3945619769741489,4.4657162499999998,0.26131712499999998,0.016202291666666667,4.1870717916666669,0.0011250416666666041,2,0,1,16,0.036537528119872126,0.49344586210608965,0.040000000000000001,1,0.49999080125117157
119,157.6636748709895,162.75475314987591,388.80062377590252,507.22326892288191,722.53966690326354,1.3888741572903118,4.7543472083333329,0.26636595833333332,0.016157041666666667,4.4706732916666665,0.0011509166666670012,2,0,1,16,0.034653927029285526,0.49750935116927847,0.040000000000000001,1,0.49998769003638177
120,157.78721506393944,163.02719781893529,388.60280258375161,507.99210498278848,723.03760192100538,1.3836685398675002,4.5924329999999998,0.27289245833333331,0.016795000000000001,4.301625041666667,0.0011204999999989695,2,0,1,16,0.034100155175443361,0.51704069205394387,0.040000000000000001,1,0.49999151534615405
121,157.92252615402822,163.33656680452822,388.60374988731428,508.95858676788089,723.57095607385634,1.379159532307134,4.7662545416666671,0.26485116666666669,0.016866291666666668,4.4834168333333331,0.0011202500000004889,2,0,1,16,0.033286259047916794,0.48222757625976603,0.040000000000000001,1,0.49998885446523256
122,158.04001236473189,163.59005845121052,388.5396311612962,509.69713435188328,723.98943033161356,1.3750809483155431,5.0087986666666664,0.26955800000000002,0.016752791666666666,4.7213612916666667,0.0011265833333329311,2,0,1,17,0.032310391589234003,0.51667438037130919,0.040000000000000001,1,0.49998983983024292
123,158.16962868069936,163.86784039844844,388.57876675891288,510.53167151675297,724.45271975312642,1.3712936340289505,5.0614010416666666,0.26722695833333332,0.016384124999999999,4.776658583333333,0.0011313749999999345,2,0,1,17,0.032718958732130064,0.52510242129451756,0.040000000000000001,1,0.49999099055401947
124,158.30222647195873,164.16525415382688,388.7529888709401,511.45602576762565,724.92961418129482,1.3680588859970879,5.8073614999999998,0.27607545833333336,0.017252708333333332,5.512896041666667,0.0011372916666658739,2,0,1,19,0.033085147663746539,0.58854830905007915,0.040000000000000001,1,0.49999079294028137
125,158.45191416586977,164.48667972049307,388.99805645074628,512.43437736004375,725.48600168624762,1.3649213243999949,5.26642075,0.26792587499999998,0.016895833333333332,4.9804671666666662,0.0011318750000013367,2,0,1,17,0.028574566352356008,0.54183209937508436,0.040000000000000001,1,0.49999082963725439
126,158.59447663752539,164.80959838527309,389.33367757226955,513.44696025274959,726.0502216184143,1.3623240477907703,5.3193658333333333,0.26465904166666665,0.016589291666666665,5.0369701249999999,0.0011473750000003946,2,0,1,17,0.032495442775167027,0.58242582493464412,0.040000000000000001,1,0.49999039450371724
127,158.75015228722737,165.18192602280919,389.85198543485461,514.67122238978504,726.66126324101265,1.3601370611275097,5.6661460000000003,0.31395645833333335,0.018292083333333334,5.3326357916666662,0.0012616666666671605,2,0,1,17,0.031628712240967777,0.56686602361807259,0.040000000000000001,1,0.49998991841442503
128,158.89807743314867,165.48672377058776,390.21457996062685,515.61553526172042,727.27391361212506,1.3579811786084821,6.3081473749999999,0.54535487500000002,0.021841166666666665,5.7396465416666667,0.0013047916666666382,2,0,1,18,0.032656320513608839,0.62496541190494281,0.040000000000000001,1,0.49998953731251672
129,159.06879083185635,165.85477697507156,390.78464338487299,516.83540875139977,727.99470232075703,1.3561856372916472,5.1570914583333334,0.26689283333333336,0.016841791666666668,4.8722097499999997,0.0011470833333335761,2,0,1,17,0.031257596248664685,0.64823056174284754,0.040000000000000001,1,0.4999890944051622
130,159.24711702448195,166.27437781021797,391.62151924198974,518.37158633675551,728.71609847186744,1.3552727990898163,5.5646161666666663,0.26775629166666665,0.017351958333333334,5.2783335833333336,0.0011743333333331663,2,0,1,17,0.030067926415850099,0.62554145542845607,0.040000000000000001,1,0.49998837814588076
131,159.41696269537553,166.61600951935279,392.25465919271073,519.54165505286596,729.47744319909123,1.3542435107182755,5.5330402916666666,0.27445683333333332,0.017341541666666668,5.2400966666666671,0.0011452499999995425,2,0,1,17,0.0314081912721456,0.66171047001440431,0.040000000000000001,1,0.49998770214361316
132,159.60493719527267,167.0000595737433,393.00385657550561,520.89944907622601,730.32386123648735,1.3533156669442046,5.2451062083333335,0.26205637500000001,0.017373791666666666,4.9645274166666669,0.0011486249999999032,2,0,1,16,0.032300778714606855,0.63088450751791691,0.040000000000000001,1,0.49998652860862497
133,159.78581068821774,167.32809969326968,393.61962266915259,522.04455148291902,731.17667759289111,1.3523820768340733,5.3454847499999998,0.26656158333333335,0.016892500000000001,5.0608840833333337,0.0011465833333330622,2,0,1,17,0.0355238012124185,0.6997511084078879,0.040000000000000001,1,0.49998653102802693
134,160.0030871487576,167.71527718132779,394.39514878529104,523.45354708617003,732.23442507224172,1.3515755714900382,5.2729597083333335,0.31144304166666664,0.018860583333333333,4.9412962499999997,0.001359833333333782,2,0,1,16,0.036666405555396402,0.72503004857071562,0.040000000000000001,1,0.49998282546069944
135,160.21401551268261,168.07695368663406,395.08879524884145,524.8041356368791,733.34349207689343,1.3506422896350958,5.3233832083333334,0.31595837500000001,0.017321708333333335,4.9889147083333336,0.0011884166666664697,2,0,1,17,0.033975501026919271,0.68306729509479824,0.040000000000000001,1,0.49998685937464266
136,160.40396426578383,168.42426192108536,395.85753033603305,526.24046708739058,734.25687207950477,1.3503592999060361,5.1221387500000004,0.32056712500000001,0.017562708333333333,4.782806458333333,0.0012024583333340999,2,0,1,16,0.03707024258934024,0.64191055806196406,0.040000000000000001,1,0.49998745919160065
137,160.56220002019742,168.72264584999203,396.56678177032865,527.54876220198139,735.02715723916128,1.3504063711928056,5.6228254583333337,0.32530312500000003,0.017385291666666667,5.2789837500000001,0.001153291666666334,2,0,1,17,0.033232758455269698,0.53049359660329987,0.040000000000000001,1,0.49999057447448297
138,160.67341181603757,168.95758881974848,397.14626631464353,528.63744864715636,735.43129101698037,1.3505677909403462,5.7732351250000002,0.31717233333333333,0.017398958333333332,5.4375250416666665,0.0011387916666665276,2,0,1,18,0.028106640142239649,0.46752563728413693,0.040000000000000001,1,0.4999934541028267
139,160.76404282272742,169.16910304741512,397.71144698057725,529.63747019189304,735.62417171116022,1.3509697682153325,5.738166708333333,0.27012575,0.017416500000000001,5.4494843333333334,0.0011401249999991592,2,0,1,18,0.029731337829593734,0.43825326975540363,0.040000000000000001,1,0.49999463018541251
140,160.84638648707613,169.39219985190917,398.266372569434,530.62495720214952,735.71541167895464,1.3511494207975201,5.5791482916666668,0.33354375000000003,0.018176166666666667,5.2261236249999996,0.0013047500000009649,2,0,1,17,0.027578583781776456,0.40545426157199826,0.040000000000000001,1,0.49999505136413852
141,160.91724868265587,169.60218261351869,398.75955095117894,531.53501443186713,735.74712024713608,1.3511463402558506,5.7244035833333333,0.26347208333333333,0.017434916666666668,5.4423592916666665,0.0011372916666667621,2,0,1,17,0.026864257199068077,0.4347553673493938,0.040000000000000001,1,0.49999511018219744
142,160.98656816920706,169.94088551902661,399.45513316679461,532.88798391113176,735.65245143553955,1.3505534406672934,5.3277397500000001,0.27287820833333332,0.017933208333333332,5.0357933333333333,0.0011350000000005522,2,0,1,17,0.025284370003087211,0.4234346017282527,0.040000000000000001,1,0.49999540392990177
143,161.05010692661588,170.26607536728991,400.06707470243242,534.13768086586697,735.53647081393831,1.3496581678964918,7.4833041666666666,0.26436070833333336,0.017628541666666667,7.2001689999999998,0.0011459166666671905,2,0,1,22,0.030439024720375914,0.43723867695186786,0.040000000000000001,1,0.49999584997141672
144,161.12606089165772,170.49834473912011,400.4976625405663,534.98139840334784,735.52008130613001,1.3489827021685672,6.3014812083333336,0.26476520833333334,0.018043708333333332,6.0174972916666665,0.0011750000000008143,2,0,1,18,0.02365394732711883,0.34117027048170401,0.040000000000000001,1,0.49999608967305614
145,161.17632929536791,170.63227501888943,400.70320207053521,535.45895510906257,735.52330822290219,1.3483435477032486,5.8378617500000001,0.26893204166666668,0.017603208333333332,5.5501913333333333,0.0011351666666667981,2,0,1,17,0.025415446711455823,0.32709981180299519,0.040000000000000001,1,0.49999630525393873
146,161.22631987486361,170.77907995737789,400.95047930216975,535.99039614732078,735.51279833362867,1.3477728033330358,6.5772260833333336,0.27675316666666666,0.020412541666666666,6.2788934583333331,0.0011669166666674613,2,0,1,19,0.026188777208246531,0.3455823210573768,0.040000000000000001,1,0.49999648469829955
147,161.27530493521672,170.92220910759201,401.20448108058872,536.52820405626869,735.50450024708312,1.3472928601574461,5.8348641666666667,0.26375558333333332,0.017615833333333334,5.5523490833333335,0.001143666666666654,2,0,1,17,0.02476610829116406,0.30749945725153816,0.040000000000000001,1,0.49999660378856814
148,161.31678560591462,171.04972807447302,401.40489995546301,536.97991091984636,735.48937800011265,1.3467146336572724,6.195090041666667,0.28379066666666669,0.018111833333333334,5.8920214166666662,0.001166125000001017,2,0,1,18,0.022862430802920761,0.31355644518939213,0.040000000000000001,1,0.4999968181261944
149,161.35962863981314,171.1829483117302,401.6011720487478,537.43062000073189,735.47301859612071,1.3460349059850159,5.8711064999999998,0.27047149999999998,0.01809175,5.581385,0.0011582499999995832,2,0,1,17,0.024861535678794195,0.29784930355504291,0.040000000000000001,1,0.49999680571667443
150,161.40088935195959,171.3086575060087,401.77757092531442,537.853643720528,735.47190303791831,1.3453430595661633,6.1887030833333334,0.26601754166666669,0.01810525,5.9032965416666663,0.0012837500000006941,2,0,1,18,0.023078632884178135,0.31131703272103506,0.040000000000000001,1,0.49999688061074471
151,161.4451734442487,171.4456249785286,401.97272534351077,538.30435200179738,735.47971931833069,1.3446076585147786,6.3044190416666668,0.26825595833333332,0.018040291666666666,6.0169464166666664,0.0011763750000000073,2,0,1,18,0.027156385246429361,0.31021586819791136,0.040000000000000001,1,0.4999968498469804
152,161.48759280583917,171.57395896404711,402.14204550599794,538.70918552041587,735.48909455387559,1.3438408015651477,5.8407234166666671,0.25975520833333332,0.017692708333333335,5.5621207916666666,0.0011547083333338648,2,0,1,17,0.02086793623680246,0.29403208116874985,0.040000000000000001,1,0.49999696618834133
153,161.52687812680054,171.70094076280594,402.31652276975831,539.11767475619922,735.49596731294184,1.3431235786036448,6.229173958333333,0.25896762499999998,0.017593291666666667,5.951473375,0.0011396666666660948,2,0,1,18,0.023159879915562027,0.31005548318690618,0.040000000000000001,1,0.49999697180256275
154,161.56712451511007,171.83794335379324,402.49724575649674,539.54484924545625,735.50690092330899,1.34230716395275,5.8824683333333336,0.26451079166666669,0.018099833333333332,5.5986974583333335,0.0011602499999998628,2,0,1,17,0.020704727944162157,0.29155888176764722,0.040000000000000001,1,0.49999701713122696
155,161.60315988912825,171.96753846911585,402.65906647513845,539.93928477150303,735.50900543449654,1.3414829918464708,5.958515291666667,0.26805845833333336,0.017645999999999998,5.6716543333333336,0.0011565000000004488,2,0,1,17,0.02241151634611141,0.28425365523041884,0.040000000000000001,1,0.49999705364125413
156,161.63709755328492,172.08979213359748,402.798440606969,540.30342311390677,735.51626121397612,1.3406294796048495,6.2531849166666671,0.27071695833333331,0.018097624999999999,5.963242291666667,0.0011280416666670234,2,0,1,18,0.026330912155756565,0.29920784204114093,0.040000000000000001,1,0.49999715543396683
