outer,omega1,omega2,gap12,volume,volErr,Mnd,gray,mid,move,stage,moveChanged,descent,beta,betaStallRel,betaStallFires,prodStageShadow,prodMoveShadow,prodTol,prodStopRaw,prodSettled,prodStopAdmit,exA,exB,exE,exNA,exNB,exDecl,exAmp,exCos,exNet,exMedcos,exMednet,exTol,exStageStart,cosT,net_ratio,cosT_unsat,net_ratio_unsat,boundFrac,revFrac,maxAbs,ratio,l2,rms,stepNorm,path_W,net_W,nInner,cumInner,innerConv,multN,multJ,degen,tOuter
351,161.04814883671096,162.18566062847844,0.0070631783102382602,0.49984129241865766,-0.00015870758134234331,36.905918180555211,0.39529999999999998,0.210675,0.040000000000000001,1,0,0,25932.111766339473,0.0023785980387842753,1,3,0.01,0.25,1,1,1,0,1,1,0,5,0,0.24182683728364052,0.9395559200372261,0.96112540836674065,0.95889486913164101,0.96249045135331412,0.25,1,0.9395559200372261,0.96112540836674065,0.9395559200372261,0.96112540836674032,0,0.45607500000000001,0.017151737087107762,0.42879342717769403,0.24182683728364052,0.00085498698258079013,0.00085498698258079046,0.0087325762247923919,0.0083931008901472776,22,7596,1,2,0,1,15.884349041666667
352,161.04518740069679,162.28188040148191,0.0076791676966298031,0.49998014274641411,-1.9857253585886525e-05,36.872466118975588,0.39492500000000003,0.21004999999999999,0.040000000000000001,1,0,0,25950.837461364394,0.002343006665873558,1,3,0.01,0.25,1,1,1,0,1,1,0,6,0,0.24985637555513146,0.88883632163648085,0.95709784900417183,0.95333482662458313,0.96184010165410894,0.25,1,0.88883632163648085,0.95709784900417183,0.88883632163648085,0.95709784900417183,0,0.56382500000000002,0.016367313246673593,0.40918283116683979,0.24985637555513146,0.00088337568738863087,0.00088337568738863098,0.0087315017261125651,0.0083569015206385495,23,7619,1,2,0,1,16.444552874999999
353,161.06479467672128,162.44017227116362,0.0085392813321055593,0.49987920578279266,-0.00012079421720734285,36.829899965883449,0.394675,0.20897499999999999,0.040000000000000001,1,0,0,25940.69662435287,0.0024304175027240181,1,3,0.01,0.25,1,1,1,0,1,1,0,7,0,0.23981981239036926,0.8798902546172126,0.95261712466944093,0.95050770981768218,0.96133650825887362,0.25,1,0.8798902546172126,0.95261712466944093,0.8798902546172126,0.95261712466944104,0,0.57399999999999995,0.013082147697117996,0.3270536924279499,0.23981981239036926,0.00084789107802057853,0.00084789107802057831,0.0087013044615227887,0.0082890116370092169,22,7641,1,2,0,1,16.008960333333334
354,161.06793743944374,162.50777497994733,0.0089393181746362203,0.49999135179565518,-8.6482043448188328e-06,36.777727041588498,0.39419999999999999,0.20827499999999999,0.040000000000000001,1,0,0,25965.831599499037,0.0023517170028370467,1,3,0.01,0.25,0,1,0,0,0,0,0,0,0,0.2545278577286994,0.90111569335483976,0.94991064643070688,0.94886400111426172,0.95962729020769111,0.25,1,0.90111569335483976,0.94991064643070688,0.90111569335483976,0.94991064643070677,0,0.37077500000000002,0.012674980051631783,0.31687450129079459,0.2545278577286994,0.00089989187100424073,0.00089989187100424051,0.0087068834692919025,0.0082707613047119065,24,7665,1,2,0,1,17.075343666666665
355,161.09274780785231,162.60458815753677,0.0093849063366139261,0.49996440651060586,-3.5593489394136757e-05,36.748896188487699,0.39365,0.2074,0.040000000000000001,1,0,0,25951.290136319352,0.0023425995871840738,1,3,0.01,0.25,1,1,1,0,1,1,0,1,0,0.22403898367040265,0.92784604620412392,0.94993305627394065,0.94608497953110282,0.95775995973908623,0.25,1,0.92784604620412392,0.94993305627394065,0.92784604620412392,0.94993305627394065,0,0.50687499999999996,0.012722822575680186,0.31807056439200465,0.22403898367040265,0.00079209742301741945,0.00079209742301741934,0.0086315868331419878,0.0081994296609004726,20,7685,1,2,0,1,15.545868333333333
356,161.10088891942402,162.57921761422151,0.0091764155040564774,0.49998801047716351,-1.1989522836486355e-05,36.707756958505158,0.39345000000000002,0.206675,0.040000000000000001,1,0,0,25965.461515249928,0.0023834251036876169,1,3,0.01,0.25,1,1,1,0,1,1,0,2,0,0.23221579885390684,0.97393478137271383,0.95224087911635991,0.94608497953110282,0.95724429821685142,0.25,1,0.97393478137271383,0.95224087911635991,0.97393478137271383,0.95224087911635991,0,0.23064999999999999,0.012775009358995089,0.31937523397487722,0.23221579885390684,0.00082100683034124411,0.00082100683034124432,0.0084933929367365275,0.0080877559567586726,22,7707,1,2,0,1,16.927330166666668
357,161.1200051689363,162.60950509150405,0.0092446615862877262,0.49998776485443613,-1.2235145563865846e-05,36.662447596255781,0.39295000000000002,0.20557500000000001,0.040000000000000001,1,0,0,25967.474444893138,0.0022549660436497025,1,3,0.01,0.25,1,1,1,0,1,1,0,3,0,0.23829458905752862,0.95553698944059495,0.95268919865123336,0.94608497953110282,0.95637691268375735,0.25,1,0.95553698944059495,0.95268919865123336,0.95553698944059495,0.95268919865123336,0,0.249025,0.012175649875044351,0.3043912468761088,0.23829458905752862,0.00084249859921320077,0.00084249859921320088,0.0084724852843566234,0.0080716452161380785,22,7729,1,2,0,1,16.846053000000001
358,161.13887722200104,162.58721655486724,0.0089881433818781078,0.49996490072018207,-3.5099279817929485e-05,36.604773191584151,0.39272499999999999,0.20477500000000001,0.040000000000000001,1,0,0,25970.671761783906,0.0022137750485323542,1,3,0.01,0.25,1,1,1,0,1,1,0,4,0,0.24478460391953408,0.92788261117469939,0.95078435833605346,0.94608497953110282,0.95485576205847622,0.25,1,0.92788261117469939,0.95078435833605346,0.92788261117469939,0.95078435833605357,0,0.39529999999999998,0.013732925298020329,0.34332313245050822,0.24478460391953408,0.00086544426680782837,0.00086544426680782815,0.0084549006602076364,0.0080387872990105927,24,7753,1,2,0,1,17.169534333333335
359,161.16372382833771,162.5437868700044,0.0085631121500806921,0.49998852496656254,-1.1475033437458038e-05,36.569480588693949,0.39234999999999998,0.20397499999999999,0.040000000000000001,1,0,0,25981.133923792375,0.0020907046654079901,1,3,0.01,0.25,1,1,1,0,1,1,0,5,0,0.22495270376564841,0.91893002389097012,0.95196118317433076,0.94608497953110282,0.95346344203087796,0.25,1,0.91893002389097012,0.95196118317433076,0.91893002389097012,0.95196118317433087,0,0.54820000000000002,0.012113373237768371,0.30283433094420925,0.22495270376564841,0.00079532791139469297,0.00079532791139469319,0.0084684459404801692,0.0080616318171473599,21,7774,1,2,0,1,16.470114916666667
360,161.17672192065507,162.55629930641413,0.0085594083892474807,0.49998825124038887,-1.1748759611129866e-05,36.530470771564168,0.392125,0.20307500000000001,0.040000000000000001,1,0,0,25986.850000659997,0.0021467883674936923,1,3,0.01,0.25,1,1,1,0,1,1,0,6,0,0.23401360868888818,0.97704422850493333,0.95322964633018092,0.94608497953110282,0.95305049131916375,0.25,1,0.97704422850493333,0.95322964633018092,0.97704422850493333,0.95322964633018059,0,0.18002499999999999,0.011674937194405901,0.29187342986014753,0.23401360868888818,0.00082736304796924003,0.00082736304796923981,0.0084298836977378649,0.0080356150557992223,23,7797,1,2,0,1,18.071621166666667
