outer,omega1,omega2,omega3,omega4,omega5,gap12,N,nInner,cumInner,innerConv,dxNorm2,dxMax,moveMax,moveMean,vol,volErr,Mnd,beta,tOuter,tEig,tGrad,tInner
20,153.03448588815,154.483446825435,400.462487927848,487.81698770543,703.15134877266,0.0094681988107139,2,22,390,1,1.57602593844647,0.0550927863580618,0.1,0.0643921926912143,0.499985336946063,-1.46630539365478e-05,0.492023360998891,23498.5880859461,5.946978875,0.362568833333333,0.0178242083333333,5.56541129166667
21,153.313714560592,154.460687047222,399.609238827209,487.38614747996,705.41275101523,0.00748121255764419,2,21,411,1,1.45064099054777,0.0509976806944066,0.1,0.0642941691618145,0.499976871711706,-2.31282882938721e-05,0.486796508902525,23560.0023775533,6.32045945833333,0.357616666666667,0.0177711666666667,5.94390566666667
22,153.532189376003,154.922341617243,400.255360690479,488.952675228903,706.861125382281,0.00905446764544755,2,23,434,1,1.4691713186283,0.0537255958003279,0.1,0.0634563720987879,0.499980207258075,-1.97927419253174e-05,0.481599829936656,23630.1227986519,6.87652233333333,0.368798083333333,0.017974875,6.48856929166667
23,153.777245501599,155.339244410641,400.61250773717,490.278006259969,707.998529488078,0.0101575425151237,2,19,453,1,1.44054185307104,0.0466512428261698,0.1,0.0621183661877672,0.499979341092661,-2.06589073387664e-05,0.477095249120487,23719.7075919354,5.64638633333333,0.358989708333333,0.0178985,5.268290875
24,153.986823493179,156.690818760702,403.408650390275,495.791468137,707.651169867069,0.0175599132846779,2,28,481,1,1.8861248370991,0.0862600542571454,0.1,0.0606834792532198,0.499987005507511,-1.29944924890379e-05,0.470514005271896,23809.8237051468,9.95762170833333,0.36581975,0.0177432916666667,9.57287091666667
25,154.316833782709,156.431196685024,400.28216821046,493.95832514855,709.248158627449,0.0137014404098793,2,22,503,1,1.48026196355723,0.0955175606251952,0.1,0.0586612593476696,0.499959767446522,-4.0232553477515e-05,0.465687920310367,23867.9434767766,7.93831729166667,0.360777875,0.0179679166666667,7.55841145833333
26,154.552916484227,156.497789846115,398.895338490497,493.855918535638,709.711204031238,0.0125838671060316,2,20,523,1,1.51141923617786,0.0973973427568372,0.1,0.0581789433522632,0.49997802867171,-2.19713282904044e-05,0.461025303384134,23956.3749440233,7.23645116666667,0.365321458333333,0.0176372916666667,6.852326
27,154.789268993237,157.216695081316,399.00479336752,496.427556029869,709.541508739874,0.0156821341935859,2,22,545,1,1.48085329800342,0.0887637207511759,0.1,0.0568280475116245,0.499989051863049,-1.09481369510167e-05,0.45613959352291,24020.7831598814,8.16880058333333,0.368156333333333,0.0182328333333333,7.78122845833333
28,155.04285051601,157.422492637939,397.687564773061,496.734243799503,709.83198687702,0.0153482867091832,2,13,558,1,0.806260162034356,0.0405870492604468,0.1,0.056353535249969,0.499981392875029,-1.86071249712594e-05,0.453603175234097,24047.4144480798,4.26769425,0.359216375,0.0177114166666667,3.88959845833333
29,155.158727380508,157.794264536582,397.308610127318,497.794313318648,709.965157878924,0.0169860709775669,2,22,580,1,1.51417281696885,0.0823911738511816,0.1,0.0557193479370385,0.499922741893466,-7.72581065336952e-05,0.44908735662811,24147.8532972215,8.25207025,0.36222275,0.0181179166666667,7.87055570833333
30,155.402530011913,158.61820485416,397.28990175053,500.822052593169,709.196813320465,0.0206925514147069,2,23,603,1,1.36203536707945,0.090625971659553,0.1,0.0544747275043803,0.499910586042087,-8.94139579130093e-05,0.44469061278246,24215.4610584892,8.54226816666667,0.376396541666667,0.0181539583333333,8.146542375
31,155.617422034794,158.959327273452,395.987183408674,501.515484695341,709.024086988033,0.0214751355918908,2,21,624,1,1.43612761908538,0.0974805116523818,0.1,0.0544777912227468,0.499986439207439,-1.35607925612624e-05,0.440570593457855,24294.2575301177,8.80176825,0.359553791666667,0.0181220833333333,8.422945625
32,155.832534592379,159.683744827522,395.881615959106,504.156695947236,708.201061420212,0.0247137752409469,2,27,651,1,1.63135516542175,0.0917773939647691,0.1,0.0539875444595919,0.499989514365927,-1.04856340732429e-05,0.435741754950163,24346.3602011727,11.6460045833333,0.363049,0.0176903333333333,11.2640675
33,156.073801149775,160.187098610861,394.207620762007,505.384768155834,707.524653713559,0.0263548233642238,2,19,670,1,1.09268289080676,0.0928139058204637,0.1,0.0537626017245555,0.4999913000928,-8.69990720014924e-06,0.432510310177741,24401.2939006434,8.23050395833333,0.371260416666667,0.0178504166666667,7.840201625
34,156.244057573167,160.32021017386,392.685031124966,505.44929127455,706.895782607374,0.0260883688250565,2,19,689,1,1.08000200823395,0.0828539950003158,0.1,0.052991457810494,0.499990602141657,-9.39785834280782e-06,0.429208610138646,24450.5914415395,8.71996408333333,0.355875875,0.017739,8.34517204166667
35,156.403358470592,160.587725550965,391.118503938001,505.918588951476,706.416144429234,0.026753690721797,2,17,706,1,0.988964504753032,0.0900683579371395,0.1,0.0528139075820142,0.499984919818247,-1.50801817532242e-05,0.426161650730585,24488.6756466191,7.696210125,0.357026833333333,0.0178337083333333,7.32014883333333
36,156.543636637443,160.994541934396,389.755383223744,506.949300098905,706.361865625886,0.0284323616887779,2,21,727,1,1.16256899311415,0.0985025755759713,0.1,0.0522995329133157,0.499989037501508,-1.09624984916401e-05,0.422505679847389,24550.3708409948,8.98860270833333,0.366857833333333,0.018277875,8.60228179166667
