iter,track_id,track_mac,mode1_tracking_loss,omega_1,omega_2,omega_3,omega_4,ld_strain_frac_1,ld_strain_frac_2,ld_strain_frac_3,ld_strain_frac_4,mac_best_1,mac_best_2,mac_best_3,mac_best_4
45,1,0.7445252529,0.2554747471,202.6810806,269.4576886,492.1625362,854.4565063,0.02908762545,0.1292029452,0.05170966643,0.1020512982,0.7445252529,0.6305175399,0.9769859921,0.9489011437
46,1,0.7604293566,0.2395706434,204.6432651,267.7786193,505.4921886,853.3472284,0.02899212904,0.1412668245,0.06449423745,0.1260254884,0.7604293566,0.6756270108,0.9789223074,0.9381623735
47,1,0.7755630415,0.2244369585,204.9690868,268.9916308,493.6138076,862.2447841,0.02990144268,0.1345984021,0.05744087901,0.06845227346,0.7755630415,0.6843433658,0.9768389392,0.9599455894
48,1,0.7600871303,0.2399128697,204.3961474,268.1807683,505.4873573,853.4116386,0.03150994,0.1356893781,0.0608386604,0.09872012495,0.7600871303,0.6762735844,0.9781682861,0.9633558638
49,1,0.7694797542,0.2305202458,204.4505295,272.9637564,495.5656692,863.0860831,0.02830947468,0.1170441647,0.05375296429,0.06949803127,0.7694797542,0.6651651515,0.9773472097,0.9562507401
50,1,0.7732005978,0.2267994022,204.8905106,267.4436912,504.5445925,853.6410788,0.02621631191,0.1328689871,0.06419171928,0.106742522,0.7732005978,0.6915910155,0.9767245625,0.9475207525
51,1,0.7777524422,0.2222475578,205.1226378,267.8597494,492.7011952,861.1126048,0.03013669848,0.1495600055,0.06027116584,0.0755470988,0.7777524422,0.6914699318,0.9754853861,0.9581338844
52,1,0.7508262405,0.2491737595,203.855263,266.7266675,504.8365975,850.2439376,0.03148739283,0.1146862387,0.05752561056,0.0768049561,0.7508262405,0.6655998037,0.976784803,0.9632398056
53,1,0.7505382543,0.2494617457,202.3760663,270.3495852,492.5937948,854.0684982,0.03095404021,0.121282363,0.05364103079,0.1133783261,0.7505382543,0.6346567682,0.9772568101,0.9453481438
54,1,0.7654079688,0.2345920312,204.4853029,267.1864133,504.8441533,852.3340485,0.02672517198,0.1413216259,0.0652117039,0.1567269539,0.7654079688,0.6820313898,0.97816831,0.9242285444
55,1,0.7804006921,0.2195993079,204.9489979,267.586721,493.1733846,861.0577379,0.02934570357,0.1471368809,0.05763073533,0.08155012177,0.7804006921,0.6947477235,0.9756036617,0.9566218012
56,1,0.755613865,0.244386135,204.5945228,266.891781,505.3340461,853.4578869,0.03022016487,0.1262422843,0.06469097056,0.07125247294,0.755613865,0.6743952587,0.9762457647,0.9593752195
57,1,0.7646823621,0.2353176379,204.0098923,271.8745523,494.7794029,859.5798585,0.02887232043,0.1066740821,0.0608761794,0.06347107889,0.7646823621,0.6604759054,0.9754509805,0.9533595863
