outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,beta,l2,rms,maxAbs,tolOuter,epsRMS,stopRaw,settledMove,stopAdmitted,moveDescent,nActive_epsRMS,nActive_1e4,nActive_1e3,nActive_1e2,nInner,innerConv,multN,degen
227,169.868608375733,171.256516692185,0.00817048146637147,0.499980884507839,12.6099384571201,0.1384375,0.0225,0.04,1,29092.2306665183,0.528000695111968,0.00933382179962208,0.0399877547731258,0.05,0.000883883476483184,0,1,0,0,635,1093,608,238,40,1,2,1
228,169.669701442745,171.072469251152,0.00826763880927968,0.499994741194571,12.5075748677442,0.13875,0.021875,0.04,1,29004.6331454545,0.571084575758873,0.0100954444037535,0.0399811917792121,0.05,0.000883883476483184,0,1,0,0,747,1148,741,237,34,1,2,1
229,169.908999933929,170.985690847136,0.00633686805069713,0.499990917933316,12.5872290296247,0.13875,0.0225,0.04,1,29091.9508337357,0.502858070281024,0.00888935878675233,0.0399811763621336,0.05,0.000883883476483184,0,1,0,0,661,1005,638,209,22,1,2,1
230,169.666021141981,171.164901757819,0.00883430050253568,0.49999031906539,12.5856226437752,0.14,0.0221875,0.04,1,28969.2593961692,0.490497145075076,0.0086708464358807,0.039981038532992,0.05,0.000883883476483184,0,1,0,0,613,1746,597,207,36,1,2,1
231,169.757346679838,171.210234157457,0.00855861325612753,0.499994420420115,12.6398015421513,0.13875,0.0225,0.04,1,29080.8798416046,0.51361635869155,0.00907954025397843,0.0399768756566337,0.05,0.000883883476483184,0,1,0,0,779,980,765,207,34,1,2,1
232,169.569887332275,171.36378687283,0.0105791161908352,0.499988411129146,12.5832938616747,0.139375,0.021875,0.04,1,28979.8349195888,0.546099153854953,0.00965376037227682,0.039973989183963,0.05,0.000883883476483184,0,1,0,0,705,1002,675,226,40,1,2,1
233,169.911794298702,171.374892638221,0.00861092866188572,0.499988695301275,12.6185429956749,0.139375,0.0225,0.04,1,29079.078333619,0.493643297798235,0.00872646308401056,0.0399731203807354,0.05,0.000883883476483184,0,1,0,0,609,1712,584,218,21,1,2,1
234,169.757575102399,171.521814041956,0.0103926963995153,0.499981423400345,12.5957771922306,0.1390625,0.0225,0.04,1,28960.7081615288,0.474905964174749,0.00839523069234751,0.0399752350902848,0.05,0.000883883476483184,0,1,0,0,574,937,537,207,28,1,2,1
235,169.919055942697,171.839769332208,0.0113036962149689,0.499981934761137,12.5790338326194,0.139375,0.0225,0.04,1,29073.126954419,0.476393667710745,0.00842152982381496,0.0399734343945834,0.05,0.000883883476483184,0,1,0,0,657,963,627,194,23,1,2,1
236,169.751800707172,171.7921198135,0.0120194254071431,0.499980986850144,12.5849336519918,0.140625,0.021875,0.04,1,28961.8698125468,0.463242058802403,0.00818904002774991,0.0399667253722533,0.05,0.000883883476483184,0,1,0,0,595,973,574,190,25,1,2,1
237,169.938720947135,171.703789301743,0.0103864989966407,0.499988852533309,12.5990888615483,0.1403125,0.021875,0.04,1,29067.1531402104,0.471221893353683,0.00833010490584884,0.0399721635040731,0.05,0.000883883476483184,0,1,0,0,549,912,520,179,25,1,2,1
238,169.710520634435,171.720650569167,0.0118444627193244,0.499992560375556,12.5804848198348,0.1396875,0.021875,0.04,1,28955.791334417,0.468893040275018,0.00828893621074105,0.039982921222268,0.05,0.000883883476483184,0,1,0,0,626,925,609,172,22,1,2,1
