iter,track_id,track_mac,mode1_tracking_loss,omega_1,omega_2,omega_3,omega_4,ld_strain_frac_1,ld_strain_frac_2,ld_strain_frac_3,ld_strain_frac_4,mac_best_1,mac_best_2,mac_best_3,mac_best_4
69,1,0.8583914713,0.1416085287,157.8181449,183.7259423,346.2151411,552.4099784,0.04560341502,0.2245379161,0.6914680439,0.08618630818,0.8583914713,0.8225899996,0.9794999242,0.9671364155
70,1,0.8415617371,0.1584382629,159.7980558,181.8517488,337.8605722,550.6819093,0.00829403198,0.2621206215,0.719074116,0.091531964,0.8415617371,0.8107739807,0.9776711259,0.9665579033
71,1,0.8360336222,0.1639663778,157.1061089,184.0879244,346.9194977,552.3367911,0.04890278534,0.2209222901,0.6901974716,0.08590269399,0.8360336222,0.7927050955,0.9758183228,0.9669200633
72,1,0.846797941,0.153202059,159.6652823,182.156102,337.9208856,551.6756995,0.006560792494,0.2593702601,0.7160597183,0.09026272926,0.846797941,0.8155323943,0.9765989263,0.9669056211
73,1,0.8611804446,0.1388195554,157.8833157,183.7797636,345.5871841,552.750958,0.04501785932,0.2251907071,0.6927102823,0.08609978849,0.8611804446,0.8260902873,0.9794192503,0.9667574742
74,1,0.8421318645,0.1578681355,159.8270304,181.9456748,337.0855254,550.7905627,0.008537166267,0.2633970597,0.7223051511,0.09174006938,0.8421318645,0.8113200754,0.97754912,0.96616733
75,1,0.8354710115,0.1645289885,157.1433943,184.2249035,346.3239829,552.7833085,0.04883835556,0.2217294663,0.691240288,0.08565853067,0.8354710115,0.7920594568,0.9755900493,0.9664607753
76,1,0.850012164,0.149987836,159.6873094,182.3665429,337.2099419,552.1212697,0.00629760842,0.2596425199,0.7178594489,0.08985031226,0.850012164,0.8191414266,0.9765787125,0.9666813669
77,1,0.8667009721,0.1332990279,158.0110004,183.8599248,344.9025226,553.1332243,0.04395215609,0.2263786394,0.6944555153,0.08604281188,0.8667009721,0.832804163,0.9795303445,0.9666120883
78,1,0.8466771555,0.1533228445,159.8821566,182.2090748,336.3749234,551.2592039,0.008395789229,0.2630746942,0.7232023569,0.09118078718,0.8466771555,0.8163384855,0.9775208232,0.9658367848
79,1,0.8391098301,0.1608901699,157.2336419,184.3722133,345.5410248,553.3228676,0.04782111513,0.2212465209,0.6913050977,0.08520468836,0.8391098301,0.7962171099,0.9758059321,0.9659794197
80,1,0.849765984,0.150234016,159.7231601,182.4605493,336.3838924,552.1737538,0.006665573063,0.2624953623,0.7223089846,0.09079143955,0.849765984,0.8185914169,0.97649521,0.9660275941
