outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,moveDescent,maxAbs,rms,l2,r_rho,Neff,u_min,u_P50,u_P75,u_P90,u_P95,u_P975,u_P99,u_max,u_mean,u_RMS,nActive_1e4,nActive_epsRMS,nActive_1e3,nActive_1e2,beta,nInner,innerConv,multN,degen
25,148.478263698388,149.453943935915,0.00657119913193824,0.499979247764893,57.479397190512,0.6256,0.3012,0.04,1,0,0.0397964732179098,0.00533570476745508,0.754582604695375,0.994911830447746,359.521118069763,2.41533013978839e-08,0.017893500036162,0.0650871878867717,0.188767434713978,0.267950431758782,0.350374612384981,0.568500312337724,0.994911830447746,0.0620267528864412,0.133392619186377,13790,9096,8582,1134,22191.7456494023,17,1,2,1
26,148.9123750784,149.58088750539,0.00448930068195224,0.499989273466573,56.9946334959442,0.6208,0.2999,0.04,1,0,0.0398034949685661,0.00547317444266592,0.774023752605195,0.995087374214152,378.151791204483,3.98447860819029e-07,0.0194353992039098,0.0767354449577206,0.196801243874778,0.269780511490504,0.373362759088017,0.528797005047061,0.995087374214152,0.0660752116695066,0.136829361066648,13680,9476,8964,1216,22308.4951138133,18,1,2,1
27,149.249916586299,150.084636388674,0.00559276562068868,0.499976986955003,56.5176206612762,0.6139,0.2982,0.04,1,0,0.0397912055902014,0.00533591588399802,0.754612461083203,0.994780139755036,359.644770675457,3.94021391099501e-08,0.0231526730811512,0.0721128219741267,0.206117080541845,0.289964169964974,0.397778101102077,0.490535333750547,0.994780139755036,0.0669130745957652,0.133397897099951,13506,10190,9684,1398,22407.0285847964,21,1,2,1
28,149.608190692374,150.590780771107,0.00656775591086545,0.499978042437395,56.1777894484616,0.6103,0.2983,0.04,1,0,0.0397646405798178,0.00401084240767978,0.567218772948191,0.994116014495445,203.473131653599,8.18283958146513e-08,0.0148253710322622,0.0517849390578242,0.13817533922426,0.214870916231763,0.289412106385135,0.377014289576228,0.994116014495445,0.0474962116713789,0.100271060191994,13396,8500,8146,680,22467.7000810346,15,1,2,1
29,149.850367560031,150.660509937591,0.00540634227831111,0.49998781864709,55.7143049613657,0.6063,0.2942,0.04,1,0,0.0397284130586029,0.00517772052368767,0.732240258677663,0.993210326465073,339.707214546801,8.83048288994087e-08,0.0208970095069143,0.06453310098446,0.207763053326356,0.30198007837248,0.403460945964668,0.524765748609626,0.993210326465073,0.0643648717176907,0.129443013092192,16396,9808,9336,1384,22567.6180501122,24,1,2,1
30,150.145047647499,151.125674100559,0.00653119412477713,0.499961837327889,55.3905797047339,0.6031,0.2931,0.04,1,0,0.0368040781265641,0.00382466235472065,0.540888937354376,0.920101953164103,215.985357787589,1.50240705535985e-07,0.0138186999076587,0.0447404876964123,0.148777601082311,0.212259796223958,0.302809463832452,0.407559486869145,0.920101953164103,0.0462833194642141,0.0956165588680162,13564,8292,7812,730,22623.9454450824,19,1,2,1
31,150.348829462177,151.153643259729,0.00535297681019761,0.499977522725209,55.0271070470704,0.5989,0.2911,0.04,1,0,0.0397380124472218,0.00442784585629709,0.626191966207286,0.993450311180545,248.31485432341,4.90281999893603e-07,0.0181108924904525,0.0533119706432577,0.174555167296279,0.248724513246569,0.340048082079063,0.451771546236118,0.993450311180545,0.0545948961880845,0.110696146407427,13158,9160,8678,992,22693.7223839053,21,1,2,1
32,150.572286571704,151.659150187808,0.00721821817846242,0.499983972791888,54.7425167151306,0.5962,0.291,0.04,1,0,0.039584871801,0.00345946785842756,0.489242636398206,0.989621795024999,152.753127221184,4.92939669668937e-07,0.0136145265393516,0.0488631860828725,0.127813492030237,0.195447448768209,0.273122600157813,0.352975924156454,0.989621795024999,0.0429910848444439,0.0864866964606889,12726,8558,8108,554,22724.832256915,17,1,2,1
33,150.761295480941,151.427552255642,0.00441928263202803,0.49998245541468,54.4160698309053,0.5925,0.2894,0.04,1,0,0.0396654384707267,0.00414240726549101,0.585824853573023,0.991635961768168,218.127823731409,5.1942234904115e-07,0.0206964239170139,0.0523554804923056,0.167864278925777,0.237634239728904,0.314901139993815,0.416771066056322,0.991635961768168,0.0529842744914986,0.103560181637275,12804,9820,9402,906,22802.7601296216,20,1,2,1
34,150.949420808849,152.009684281764,0.00702396516153235,0.499982513837671,54.1326201022595,0.5902,0.2883,0.04,1,0,0.0331995855023165,0.00339097862814341,0.479556796563772,0.829989637557913,208.648265030333,4.57815881482896e-08,0.0155487372386509,0.0446137634245581,0.130108555417717,0.196277728540898,0.271322795164614,0.34438869922455,0.829989637557913,0.0421777975064596,0.0847744657035852,12482,8800,8254,604,22830.5441473476,18,1,2,1
35,151.135659231486,151.962498576464,0.00547084221673855,0.499970655771216,53.8154800364167,0.587,0.288,0.04,1,0,0.0364384637639748,0.00386737718278666,0.546929726270915,0.910961594099371,225.29053117221,2.11394135659137e-07,0.0185371622742275,0.0540932478399749,0.158234895535104,0.229431964994421,0.302918520231684,0.403508527991744,0.910961594099371,0.0493063796666869,0.0966844295696665,12496,9382,8882,760,22886.7993655253,23,1,2,1
36,151.307554431597,152.16550105749,0.00567021672589631,0.499985504115992,53.5162104931837,0.5837,0.287,0.04,1,0,0.0385167473935395,0.00380767945626697,0.538487192822216,0.962918684838487,195.457143120313,8.13749741014306e-08,0.0134741438417306,0.0471435478886225,0.146675928632863,0.216464605024999,0.300084299273826,0.396610789741036,0.962918684838487,0.0459170498029526,0.0951919864066742,12638,8258,7676,738,22955.0177136451,21,1,2,1
37,151.477587744575,152.597510519625,0.00739332327458499,0.499981642761108,53.274214510573,0.5816,0.2869,0.04,1,0,0.0393822718120164,0.00312741895092989,0.442283829562769,0.984556795300411,126.124829466346,6.00679639838303e-07,0.0128524995679045,0.0427925931945179,0.116882621549035,0.17102653145134,0.235366081763766,0.330673242651581,0.984556795300411,0.0386913786878382,0.0781854737732472,12652,8498,8008,460,22975.1700412651,16,1,2,1
