k,max_abs_density_error,mean_abs_density_error,rms_density_error,max_relative_density_error,n_changed,n_single_equal_single_0p1,n_cross_rho_eff_0p1
1956,2.95840852926332e-08,3.37287557415045e-09,7.49161904854224e-09,5.6136496441001e-08,776,0,0
1957,2.97929491077653e-08,3.3577985384977e-09,7.42924973854073e-09,5.76304995448045e-08,773,7,7
1958,2.9723208450072e-08,3.33351347258255e-09,7.45804593925279e-09,5.73817410329701e-08,770,0,0
1959,2.97929491077653e-08,3.336227676713e-09,7.43244179189383e-09,5.76304995448045e-08,772,7,7
1960,2.95840852926332e-08,3.32877380288284e-09,7.44480414491689e-09,5.73817410329701e-08,770,0,0
1961,2.97929491077653e-08,3.3603624345235e-09,7.46586118946154e-09,5.76304995448045e-08,772,8,8
1962,2.94352374696771e-08,3.32045373417899e-09,7.40163988958931e-09,5.73817410329701e-08,771,0,0
1963,2.94385305021905e-08,3.31336874246175e-09,7.39999223089647e-09,5.459467866586e-08,774,8,8
1964,2.9723208450072e-08,3.29816937328052e-09,7.37891889590523e-09,5.83053698170148e-08,771,0,0
1965,2.94385305021905e-08,3.3460680264214e-09,7.44588878255753e-09,5.459467866586e-08,772,8,8
1966,2.95864253097022e-08,3.31050090912866e-09,7.37108934549772e-09,5.83053698170148e-08,771,0,0
1967,2.94385305021905e-08,3.32663823332698e-09,7.40577271850009e-09,5.459467866586e-08,772,8,8
1968,2.95864253097022e-08,3.29701746947293e-09,7.35282651652953e-09,5.83053698170148e-08,772,0,0
1969,2.94385305021905e-08,3.31793125572349e-09,7.40776249893613e-09,5.64383638744303e-08,772,8,8
1970,2.9723208450072e-08,3.34209010869023e-09,7.45929184902307e-09,5.56619673692781e-08,773,0,0
1971,2.94385305021905e-08,3.36663672193312e-09,7.49680784972353e-09,5.64383638744303e-08,773,7,7
1972,2.9723208450072e-08,3.3443219364281e-09,7.49866554569184e-09,5.5649828907911e-08,770,0,0
1973,2.94385305021905e-08,3.34719900403646e-09,7.44540730183593e-09,5.64383638744303e-08,772,8,8
1974,2.9723208450072e-08,3.32440843740919e-09,7.47361194311667e-09,5.5649828907911e-08,769,0,0
1975,2.94385305021905e-08,3.34183302451536e-09,7.42885934374529e-09,5.459467866586e-08,773,8,8
1976,2.95864253097022e-08,3.25737564064025e-09,7.33021388242157e-09,5.70409176310789e-08,768,0,0
1977,2.94385305021905e-08,3.3399248761437e-09,7.43426270228159e-09,5.459467866586e-08,772,8,8
1978,2.9723208450072e-08,3.27889726728999e-09,7.38496482061477e-09,5.62410747206847e-08,769,0,0
1979,2.95684513540451e-08,3.30739638887353e-09,7.41720690556665e-09,5.459467866586e-08,770,8,8
1980,2.9723208450072e-08,3.30539710698175e-09,7.42635711624493e-09,5.5649828907911e-08,771,0,0
1981,2.95251290083343e-08,3.32369879934829e-09,7.50642557395899e-09,5.459467866586e-08,772,7,7
1982,2.95295912167148e-08,3.30666583721227e-09,7.4343729467824e-09,5.73817410329701e-08,769,0,0
1983,2.94588389238015e-08,3.31326305597596e-09,7.43201373619838e-09,5.459467866586e-08,778,7,7
1984,2.96326059245899e-08,3.32266821556039e-09,7.42685116524263e-09,5.81475540796108e-08,785,0,0
1985,2.97960475181824e-08,3.3189233047991e-09,7.36430846313592e-09,5.45818182595486e-08,788,6,6
1986,2.96816118350307e-08,3.25931616476337e-09,7.18997891640942e-09,5.67568272432603e-08,783,0,0
1987,2.93894104608228e-08,3.1839453300944e-09,7.07388553306142e-09,5.64383638744303e-08,781,8,8
1988,2.96056443804815e-08,3.11250141004234e-09,7.0586942653568e-09,5.59350718922066e-08,782,0,0
1989,2.97302841234526e-08,3.05275827551512e-09,6.96995472726045e-09,5.45193144918349e-08,772,7,7
1990,2.9309914606479e-08,3.04064237763544e-09,7.0209222750647e-09,5.81475540796108e-08,768,0,0
1991,2.91569631771793e-08,3.05525124644702e-09,7.00650983205256e-09,5.39824223057925e-08,765,8,8
1992,2.97107399793717e-08,3.08451159056265e-09,7.02471632785885e-09,5.70409176310789e-08,766,0,0
1993,2.91569631771793e-08,3.04055333197662e-09,6.86535266433752e-09,5.52250113521295e-08,765,7,7
1994,2.96816118350307e-08,3.02674186151264e-09,6.87519769675016e-09,5.5284299617477e-08,761,0,0
1995,2.93869862888485e-08,3.06583996610904e-09,6.87481013675389e-09,5.76304995448045e-08,766,7,7
1996,2.96514149900062e-08,3.02873378033938e-09,6.85689526734195e-09,5.55088129306923e-08,760,0,0
1997,2.95491291435468e-08,3.05808464322046e-09,6.9240892262601e-09,5.64641702720936e-08,766,7,7
1998,2.97672001492444e-08,3.02317218755385e-09,6.85706715952199e-09,5.43454115451033e-08,758,0,0
1999,2.93350476132659e-08,3.03819815445029e-09,6.82048515328336e-09,5.43454113410182e-08,765,7,7
2000,2.94772801723298e-08,2.99826399361073e-09,6.7915654724237e-09,5.47690643841755e-08,758,0,0
2001,2.95743968203865e-08,2.90666312464485e-09,6.64651514728619e-09,5.43454113410182e-08,766,7,7
2002,2.94998855343565e-08,2.92705870607191e-09,6.72329636995918e-09,5.64322567485901e-08,763,0,0
2003,2.91281750941508e-08,2.87112242678859e-09,6.66410908132928e-09,5.37540388204529e-08,761,7,7
2004,2.94923770960409e-08,2.93167986031378e-09,6.80358155549678e-09,5.43454113410182e-08,759,0,0
2005,2.97232097823397e-08,2.97269612787511e-09,6.8065525739119e-09,5.43454113410182e-08,760,8,8
2006,2.94682985790828e-08,3.02330837257523e-09,6.95705211303628e-09,5.63962024687312e-08,758,0,0
2007,2.95195564659068e-08,3.09324167238681e-09,6.98737083016955e-09,5.43454113410182e-08,760,8,8
2008,2.97528860437879e-08,3.12884255966381e-09,7.1142994676191e-09,5.5635731529607e-08,755,0,0
2009,2.93254680538979e-08,3.09062180339989e-09,7.02736428094427e-09,5.63005222612056e-08,756,8,8
2010,2.97960488504501e-08,3.09499532599281e-09,7.05145500422621e-09,5.43454115451033e-08,753,0,0
2011,2.8780809957496e-08,3.05962022805151e-09,6.97147224435425e-09,5.60478274879542e-08,763,8,8
2012,2.97740763155474e-08,3.06387114241864e-09,7.00396839953403e-09,5.5284299617477e-08,759,0,0
2013,2.94385305021905e-08,3.0077258913459e-09,6.87207043180461e-09,5.43454113410182e-08,762,9,9
2014,2.94506119491444e-08,3.02296342256884e-09,6.92634873144115e-09,5.43454115451033e-08,759,0,0
2015,2.96957665124609e-08,2.93841273446609e-09,6.82716191558292e-09,5.69860487592166e-08,761,8,8
2016,2.95569453356848e-08,2.95815487634582e-09,6.90747857082127e-09,5.43454115451033e-08,757,0,0
2017,2.96957665124609e-08,2.94934466046071e-09,6.87718962539129e-09,5.43454113410182e-08,774,8,8
2018,2.94109319121105e-08,2.97444167669341e-09,6.83106565159859e-09,5.39815626161609e-08,784,0,0
2019,2.93842729037763e-08,3.02961361028151e-09,6.89100316994593e-09,5.54162392789045e-08,774,9,9
2020,2.96132972588126e-08,3.00248728566086e-09,6.8561362056493e-09,5.43454113410182e-08,783,0,0
2021,2.97302841234526e-08,3.0385995598441e-09,6.89316248199102e-09,5.54162392789045e-08,770,9,9
2022,2.97960488504501e-08,3.01413262760079e-09,6.81867565915395e-09,5.48996225583738e-08,779,0,0
2023,2.95195564659068e-08,3.03971798833909e-09,6.77898139592903e-09,5.63005222612056e-08,781,5,5
2024,2.97107399793717e-08,3.03250175209914e-09,6.79671515412368e-09,5.43454113410182e-08,777,0,0
2025,2.95195564659068e-08,3.08129172552553e-09,6.85152951998026e-09,5.43454113410182e-08,777,5,5
2026,2.97107399793717e-08,3.01682069057934e-09,6.73892748441215e-09,5.63962024687312e-08,779,0,0
2027,2.95195564659068e-08,3.05041357901712e-09,6.76196004156425e-09,5.69860487592166e-08,775,5,5
2028,2.97107399793717e-08,3.00066647546889e-09,6.72218832692613e-09,5.43454113410182e-08,778,0,0
2029,2.95743968203865e-08,3.03706871735438e-09,6.80056029336025e-09,5.69860487592166e-08,775,5,5
2030,2.95295912167148e-08,3.0410597725549e-09,6.81004094251468e-09,5.43454113410182e-08,776,0,0
2031,2.97302841234526e-08,3.10065167172333e-09,6.8901695417583e-09,5.69860487592166e-08,774,5,5
2032,2.95295912167148e-08,3.08010618920487e-09,6.8489682763992e-09,5.43454113410182e-08,777,0,0
2033,2.95743968203865e-08,3.08277994285116e-09,6.84547972454176e-09,5.69860487592166e-08,774,5,5
2034,2.94923770960409e-08,3.07973399380135e-09,6.89591084613973e-09,5.43454113410182e-08,775,0,0
2035,2.97232097823397e-08,3.13588196058219e-09,6.94260615593907e-09,5.69860487592166e-08,774,6,6
2036,2.97929477754977e-08,3.09634652473419e-09,6.92039014141145e-09,5.38439201504382e-08,777,0,0
2037,2.97232097823397e-08,3.13104926234919e-09,6.91155843167915e-09,5.69860487592166e-08,775,6,6
2038,2.93826049047041e-08,3.13132103598608e-09,6.94544551405771e-09,5.3981562825637e-08,780,0,0
2039,2.97232097823397e-08,3.08274052268845e-09,6.89493894280568e-09,5.69860487592166e-08,770,7,7
2040,2.97621972622508e-08,3.13482212432059e-09,6.9955811815933e-09,5.30649873221322e-08,772,0,0
2041,2.97232097823397e-08,3.07959650408496e-09,6.93563173124892e-09,5.69860487592166e-08,776,6,6
2042,2.97621972622508e-08,3.08656204474828e-09,6.93670117449e-09,5.30649873221322e-08,772,0,0
2043,2.97232097823397e-08,3.06439365141861e-09,6.94416378306206e-09,5.69860487592166e-08,774,6,6
2044,2.97621972622508e-08,3.08733890040788e-09,6.98015513903343e-09,5.45536715034892e-08,772,0,0
2045,2.97232097823397e-08,3.0814847250059e-09,6.97884051058496e-09,5.69860487592166e-08,775,6,6
2046,2.97621972622508e-08,3.10271845542423e-09,6.99542005114879e-09,5.45536715034892e-08,774,0,0
2047,2.97232097823397e-08,3.10723036186679e-09,7.04157672444695e-09,5.69860487592166e-08,774,6,6
2048,2.97621972622508e-08,3.10325381954131e-09,6.98394799295256e-09,5.25964627033232e-08,774,0,0
2049,2.97232097823397e-08,3.07396036587829e-09,6.98966205201814e-09,5.69860487592166e-08,776,6,6
2050,2.97621972622508e-08,3.07325547894113e-09,6.97235753733989e-09,5.43454113410182e-08,775,0,0
2051,2.97232097823397e-08,2.99569875640125e-09,6.87560060627935e-09,5.69860487592166e-08,765,10,10
2052,2.97621972622508e-08,3.11915829727966e-09,7.07878769166521e-09,5.43774112852982e-08,771,0,0
2053,2.97232097823397e-08,3.05364240174614e-09,6.96200056470404e-09,5.69860487592166e-08,776,7,7
2054,2.97621972622508e-08,3.07914781597259e-09,7.00633222202332e-09,5.46578656037841e-08,767,0,0
2055,2.92086699271721e-08,3.07221139336862e-09,6.97099415372998e-09,5.69860487592166e-08,775,7,7
2056,2.95569453356848e-08,3.11998499757145e-09,7.09305402417952e-09,5.43774112852982e-08,766,0,0
2057,2.91009624175942e-08,3.11660281079272e-09,7.01084544437493e-09,5.43454113410182e-08,774,6,6
2058,2.95569453356848e-08,3.18324493827395e-09,7.17632308754243e-09,5.43774112852982e-08,772,0,0
2059,2.91009624175942e-08,3.11754775324736e-09,6.9984551975684e-09,5.43454113410182e-08,774,8,8
2060,2.95569453356848e-08,3.23147688572911e-09,7.25998891967479e-09,5.50163682788664e-08,769,0,0
2061,2.93236104287331e-08,3.14603693593961e-09,7.06967052018248e-09,5.43454119532736e-08,775,8,8
2062,2.95569453356848e-08,3.1945701503411e-09,7.22891478104051e-09,5.50163682788664e-08,768,0,0
2063,2.95068545153043e-08,3.17480077192308e-09,7.14709102852099e-09,5.43454113410182e-08,777,9,9
2064,2.95295912167148e-08,3.10802258966591e-09,7.05559906411618e-09,5.43454113410182e-08,774,0,0
2065,2.9346493346516e-08,3.15051490560584e-09,7.1169082267034e-09,5.64641702720936e-08,778,8,8
2066,2.95569453356848e-08,3.1582730221303e-09,7.18723290914764e-09,5.50163682788664e-08,775,0,0
2067,2.9346493346516e-08,3.13952500953877e-09,7.11004443997094e-09,5.64641702720936e-08,775,8,8
2068,2.95422774021503e-08,3.1262695215301e-09,7.03155523315652e-09,5.50163682788664e-08,774,0,0
2069,2.9346493346516e-08,3.14659041921855e-09,7.09695495068295e-09,5.56576786925735e-08,774,6,6
2070,2.93514829108332e-08,3.11416921678008e-09,7.07909152277524e-09,5.48065836100855e-08,777,0,0
2071,2.93236104287331e-08,3.16060089330551e-09,7.04871641501852e-09,5.56576786925735e-08,773,8,8
