k,role,representation,evaluator,python_selected_ordinal,matlab_selected_ordinal,ordinal_identical,python_selected_omega,matlab_selected_omega,relative_omega_difference,voidKE,voidSE,densityParticipation,IPR
80,representative,double,E3,1,1,True,127.42039109612877,127.42039109635306,1.7602356894386639e-12,0.04494340515155175,0.009654928368780196,0.7181850610458447,0.00197394721966959
80,representative,single,E1,1,1,True,127.42127156482196,127.42127156524289,3.303416387967522e-12,0.0,0.0,0.7181845232979025,0.0019739038672015345
80,representative,single,E2,1,1,True,127.42038945672559,127.42038945626228,3.636013729059011e-12,0.0,0.0,0.7181850450849412,0.001973947150045249
80,representative,single,E3,1,1,True,127.42038857373734,127.42038857307355,5.2094412140833586e-12,0.0,0.0,0.7181850456072095,0.0019739471933798666
99,representative,double,E1,1,1,True,145.18768618224416,145.18768618223896,3.582378755754426e-14,0.00915686972244183,0.0006460582445630219,0.8240599295794577,0.0022719426712636717
99,representative,double,E2,1,1,True,145.70154705276465,145.70154705234842,2.8567708650253334e-12,0.0016130046129132186,0.00013403722210477434,0.8301192987331864,0.0023051235614493576
99,representative,double,E3,1,1,True,145.7015446749974,145.70154467537208,2.571581490476461e-12,0.0016130039452600326,0.00013400628276863063,0.8301193025248486,0.002305123742563195
99,representative,single,E1,1,1,True,145.18768676648938,145.18768676626524,1.5437507515977868e-12,0.00915686961155775,0.0006460582325253033,0.8240599332484962,0.002271942669618369
99,representative,single,E2,1,1,True,145.70154764085163,145.70154764074576,7.266282983438119e-13,0.0016130044901221242,0.00013403721478449704,0.8301193024324627,0.0023051235598447834
99,representative,single,E3,1,1,True,145.7015452633661,145.70154526325615,7.547181025949239e-13,0.0016130038224687815,0.00013400627544835525,0.8301193062241229,0.0023051237409584774
230,representative,double,E1,1,1,True,159.42913786833526,159.42913786811712,1.3682355860118719e-12,0.006423435245311517,0.00017904969298043123,0.8891412375416152,0.00245772043599024
230,representative,double,E2,1,1,True,159.7638814629853,159.7638814629515,2.1152097835446555e-13,0.0021939777516520554,0.00013373098397542033,0.8927398227178158,0.0024851972805565873
230,representative,double,E3,1,1,True,159.7638809048242,159.76388090458585,1.4918544412783265e-12,0.002193974992098021,0.00013372447391584818,0.8927398315178972,0.0024852008035222014
230,representative,single,E1,1,1,True,159.4291379266857,159.42913792657674,6.834938416737429e-13,0.006423435432206918,0.00017904963506744823,0.8891412370526659,0.0024577202301718825
230,representative,single,E2,1,1,True,159.76388153881592,159.76388153888382,4.2499883687859444e-13,0.002193977723041815,0.00013373093468401422,0.892739822566607,0.002485197038832995
230,representative,single,E3,1,1,True,159.76388098077527,159.76388098043375,2.137624965166938e-12,0.0021939749633267517,0.00013372442469324438,0.8927398313673001,0.002485200562064792
252,representative,double,E1,1,1,True,160.07728366987615,160.0772836697976,4.907479878761739e-13,0.007614856455752131,0.00017454681579428665,0.8934689167388562,0.002509222588170411
252,representative,double,E2,1,1,True,160.43447482077707,160.4344748206327,8.999455015380776e-13,0.003128958761580407,0.00012481875262251846,0.8973491066420642,0.0025011769177816223
252,representative,double,E3,1,1,True,160.43447427697973,160.4344742770482,4.267654961714067e-13,0.0031289575568683066,0.00012481187285595901,0.8973491025673276,0.002501180581773416
252,representative,single,E1,1,1,True,160.07728366282495,160.0772836627383,5.413497160276555e-13,0.007614856463741971,0.00017454681808538546,0.8934689165738386,0.0025092226053695615
252,representative,single,E2,1,1,True,160.4344748464683,160.43447484647695,5.385500638257958e-14,0.003128958355783935,0.00012481874948493365,0.8973491068564995,0.0025011769180744415
252,representative,single,E3,1,1,True,160.43447430277322,160.43447430267608,6.055145146039257e-13,0.0031289571510816597,0.0001248118697178892,0.8973491027818263,0.0025011805820407216
307,representative,double,E1,1,1,True,161.03190641178492,161.03190641154825,1.4696936756255267e-12,0.012158965383896922,0.00018163357805504044,0.8996574820079172,0.0028105369771876565
307,representative,double,E2,1,1,True,161.38203626973888,161.38203626955934,1.1125150148184604e-12,0.00797624959921342,0.00011161812110686789,0.9039316475578212,0.002586775301259554
307,representative,double,E3,1,1,True,161.38203553785405,161.3820355378526,8.981837266581128e-15,0.0079762344175213,0.00011160927474836753,0.9039316303933977,0.002586789129552668
307,representative,single,E1,1,1,True,161.03190638583933,161.03190638548216,2.2180425632971848e-12,0.006209608723811828,0.0001393302366851054,0.8996574811824636,0.002810537264926295
307,representative,single,E2,1,1,True,161.38203625478698,161.38203625467554,6.905447797222564e-13,0.0016931125890850272,7.666782794579248e-05,0.9039316472768207,0.0025867754509810476
307,representative,single,E3,1,1,True,161.38203552308389,161.38203552287396,1.300781373669128e-12,0.0016931167306284544,7.665858715718441e-05,0.9039316301118944,0.0025867892796288235
376,representative,double,E1,1,1,True,161.72118452075256,161.72118452061264,8.651932394673068e-13,0.0077969221612197446,0.0001851965587921807,0.9046342490455871,0.0025292855443797045
376,representative,double,E2,4,4,True,162.04658189655842,162.046581896258,1.85389574506235e-12,0.003408834899409012,0.00010432253269269026,0.9075399177828808,0.002687430967708639
376,representative,double,E3,4,4,True,162.0465461598879,162.04654615983395,3.328945033218972e-13,0.0034085801919677672,0.00010323703118225639,0.9075415323235034,0.0026871749302960807
376,representative,single,E1,1,1,True,161.72118456151534,161.72118456136945,9.02099715024672e-13,0.0077969219614215015,0.00018519656611727076,0.9046342490756208,0.002529285594873905
376,representative,single,E2,4,4,True,162.04658195854336,162.0465819584689,4.595276111824635e-13,0.0034088343081845225,0.00010432255389021319,0.9075399175621476,0.002687431159253132
376,representative,single,E3,4,4,True,162.04654622204907,162.04654622176005,1.7835638582648663e-12,0.003408579600628218,0.00010323705264150227,0.9075415321022494,0.0026871751218777236
438,representative,double,E1,1,1,True,161.8553660237403,161.85536602351064,1.418843365157918e-12,0.007693461217678149,0.0001232652838162747,0.9059702719905968,0.002492410889815369
438,representative,double,E2,1,1,True,162.1881726010653,162.18817260109174,1.6297236319005055e-13,0.003523537365252044,8.517197548931736e-05,0.9095351587244216,0.002513895234787315
438,representative,double,E3,1,1,True,162.18817186032877,162.18817186025018,4.845361142783021e-13,0.0035235385160606726,8.51735229632705e-05,0.9095351514584666,0.002513895096527128
438,representative,single,E1,1,1,True,161.8553660807785,161.85536608078144,1.8086740910836035e-14,0.007693461535814035,0.00012326527734254707,0.9059702722984545,0.0024924108879812914
438,representative,single,E2,1,1,True,162.18817267753977,162.1881726776732,8.227475750709665e-13,0.0035235374218850327,8.517196556249507e-05,0.9095351592698668,0.002513895217180429
438,representative,single,E3,1,1,True,162.18817193680957,162.1881719368304,1.2845026097587615e-13,0.003523538572929509,8.517351303383157e-05,0.9095351520039627,0.002513895078906725
