mesh,k,representation,evaluator,batch_schedule,final_requested,escalation,mode,lambda,omega,residual,eigenpair_valid,diagnostic_finite,voidKE,voidSE,densityParticipation,IPR,pass_KE,pass_SE,pass_P,valid_structural,selected
96x12,6,single,E1,3,3,0,2,71726.452267903529,267.81794612740856,6.1062712264134431e-12,1,1,0,0,0.5043286972792147,0.0012367928013359438,1,1,1,1,0
96x12,6,single,E1,3,3,0,3,196653.09085835589,443.45584995392255,7.0416264854107011e-13,1,1,0,0,0.50585547895782046,0.0010142560328827684,1,1,1,1,0
96x12,6,double,E2,3,3,0,1,5340.2436241886799,73.076970546052877,2.5923148579531691e-11,1,1,0,0,0.50886659117495991,0.0012867918318744051,1,1,1,1,1
96x12,6,double,E2,3,3,0,2,71726.080003568131,267.81725113137901,6.0219897206636039e-12,1,1,0,0,0.5043287169655819,0.0012367928327897905,1,1,1,1,0
96x12,6,double,E2,3,3,0,3,196651.91904637616,443.45452872462153,7.4130917681856196e-13,1,1,0,0,0.50585550075925045,0.0010142560865905523,1,1,1,1,0
96x12,6,single,E2,3,3,0,1,5340.243026557775,73.076966457001859,2.4408821484286781e-11,1,1,0,0,0.50886657172705896,0.0012867918263411002,1,1,1,1,1
96x12,6,single,E2,3,3,0,2,71726.072906774905,267.81723788205812,5.7576620811638881e-12,1,1,0,0,0.50432869976779304,0.0012367928280807821,1,1,1,1,0
96x12,6,single,E2,3,3,0,3,196651.90732827917,443.45451551233435,6.8051174802925026e-13,1,1,0,0,0.50585548266996461,0.0010142560779424288,1,1,1,1,0
96x12,6,double,E3,3,3,0,1,5340.243597460043,73.076970363172848,2.5448155104942603e-11,1,1,0,0,0.50886659117800992,0.0012867918318797619,1,1,1,1,1
96x12,6,double,E3,3,3,0,2,71726.07962382093,267.81725042241197,5.6561640136043102e-12,1,1,0,0,0.50432871696807247,0.0012367928328165551,1,1,1,1,0
96x12,6,double,E3,3,3,0,3,196651.9178616424,443.45452738882079,7.2881658856010594e-13,1,1,0,0,0.50585550076296659,0.0010142560866356579,1,1,1,1,0
96x12,6,single,E3,3,3,0,1,5340.2429999057103,73.076966274645741,2.7209320709794424e-11,1,1,0,0,0.5088665717301093,0.0012867918263465266,1,1,1,1,1
96x12,6,single,E3,3,3,0,2,71726.072527117416,267.81723717325855,5.7505384800876602e-12,1,1,0,0,0.50432869977028438,0.0012367928281075489,1,1,1,1,0
96x12,6,single,E3,3,3,0,3,196651.9061436326,443.4545141766319,7.2707522502397384e-13,1,1,0,0,0.50585548267368063,0.0010142560779875542,1,1,1,1,0
96x12,7,double,E1,3,3,0,1,5450.7225705722167,73.829009004402977,2.3164330065490612e-11,1,1,0,0,0.51051275755952574,0.0012891215664296105,1,1,1,1,1
96x12,7,double,E1,3,3,0,2,72879.126468319198,269.96134254429688,5.5507781320056475e-12,1,1,0,0,0.50521107359378925,0.0012385094655024444,1,1,1,1,0
96x12,7,double,E1,3,3,0,3,196765.91310750938,443.58303969776546,7.4395714527928425e-13,1,1,0,0,0.50707855514829903,0.0010173026908821595,1,1,1,1,0
96x12,7,single,E1,3,3,0,1,5450.7231160111714,73.829012698336768,2.389366838176741e-11,1,1,0,0,0.51051277574772957,0.0012891215717582506,1,1,1,1,1
96x12,7,single,E1,3,3,0,2,72879.132936363312,269.96135452387125,6.009308505589805e-12,1,1,0,0,0.50521108947276994,0.0012385094690339285,1,1,1,1,0
96x12,7,single,E1,3,3,0,3,196765.92437771321,443.58305240136622,6.9875283617703583e-13,1,1,0,0,0.50707857213590624,0.0010173026990253286,1,1,1,1,0
96x12,7,double,E2,3,3,0,1,5450.6960646039415,73.828829495014631,2.4921658173253955e-11,1,1,0,0,0.51051276168741344,0.0012891215767053708,1,1,1,1,1
96x12,7,double,E2,3,3,0,2,72878.7469997015,269.96063972309275,5.7837718408232829e-12,1,1,0,0,0.50521107702406365,0.001238509500670856,1,1,1,1,0
96x12,7,double,E2,3,3,0,3,196764.71903503052,443.58169375553643,6.5925412424494324e-13,1,1,0,0,0.50707855994895568,0.001017302733501265,1,1,1,1,0
96x12,7,single,E2,3,3,0,1,5450.6966100130603,73.828833188755326,2.616352039489089e-11,1,1,0,0,0.51051277987562083,0.0012891215820341354,1,1,1,1,1
96x12,7,single,E2,3,3,0,2,72878.753467756222,269.960651702718,5.8306506536079857e-12,1,1,0,0,0.50521109290304655,0.0012385095042023436,1,1,1,1,0
96x12,7,single,E2,3,3,0,3,196764.73030534384,443.58170645929914,7.4592004023753024e-13,1,1,0,0,0.50707857693656511,0.0010173027416444278,1,1,1,1,0
96x12,7,double,E3,3,3,0,1,5450.6960380101273,73.828829314910095,2.5096150190843679e-11,1,1,0,0,0.51051276169154636,0.0012891215767157579,1,1,1,1,1
96x12,7,double,E3,3,3,0,2,72878.746619811151,269.96063901948958,6.025159002186784e-12,1,1,0,0,0.50521107702749712,0.001238509500706045,1,1,1,1,0
96x12,7,double,E3,3,3,0,3,196764.71783976615,443.58169240824867,6.987698496757475e-13,1,1,0,0,0.50707855995376117,0.0010173027335439178,1,1,1,1,0
96x12,7,single,E3,3,3,0,1,5450.6965835302963,73.828833009402885,2.4153723314981956e-11,1,1,0,0,0.51051277987975252,0.0012891215820443986,1,1,1,1,1
96x12,7,single,E3,3,3,0,2,72878.753087950419,269.96065099927142,5.8145879966904821e-12,1,1,0,0,0.5052110929064797,0.0012385095042375381,1,1,1,1,0
96x12,7,single,E3,3,3,0,3,196764.72911005758,443.58170511198676,6.3186253675371097e-13,1,1,0,0,0.5070785769413706,0.0010173027416870972,1,1,1,1,0
96x12,8,double,E1,3,3,0,1,5562.1174115627391,74.579604528066113,2.4953411531734481e-11,1,1,0,0,0.51219456803637053,0.001291719202339181,1,1,1,1,1
96x12,8,double,E1,3,3,0,2,74034.654613279024,272.09309916511853,5.7152858537006227e-12,1,1,0,0,0.50612432448595035,0.0012405440679519302,1,1,1,1,0
96x12,8,double,E1,3,3,0,3,196927.75280744748,443.76542543042655,7.3258135436546241e-13,1,1,0,0,0.50835706260686264,0.0010204831531579082,1,1,1,1,0
96x12,8,single,E1,3,3,0,1,5562.1178538066097,74.579607492977658,2.3693280520834458e-11,1,1,0,0,0.512194584354148,0.0012917192057108745,1,1,1,1,1
96x12,8,single,E1,3,3,0,2,74034.659991654815,272.09310904845574,5.719346126598077e-12,1,1,0,0,0.50612433910754018,0.0012405440695048831,1,1,1,1,0
96x12,8,single,E1,3,3,0,3,196927.76379820873,443.76543781395225,7.0399479443605762e-13,1,1,0,0,0.50835707814326758,0.0010204831584582339,1,1,1,1,0
96x12,8,double,E2,3,3,0,1,5562.0910774829526,74.579427977713479,2.503105631696451e-11,1,1,0,0,0.51219457340908325,0.0012917192189725703,1,1,1,1,1
96x12,8,double,E2,3,3,0,2,74034.274533920761,272.0924007279894,5.5934880093014415e-12,1,1,0,0,0.50612432904642013,0.0012405441141541641,1,1,1,1,0
96x12,8,double,E2,3,3,0,3,196926.54710921607,443.7640669423518,7.0093181781060339e-13,1,1,0,0,0.50835706860919527,0.0010204831930445356,1,1,1,1,0
96x12,8,single,E2,3,3,0,1,5562.0915196282313,74.579430941971069,2.5531315868634305e-11,1,1,0,0,0.51219458972686283,0.0012917192223444783,1,1,1,1,1
96x12,8,single,E2,3,3,0,2,74034.279912252532,272.09241061127108,5.3570215787504048e-12,1,1,0,0,0.50612434366801262,0.0012405441157071144,1,1,1,1,0
96x12,8,single,E2,3,3,0,3,196926.55810001897,443.76407932596231,7.1992142549561411e-13,1,1,0,0,0.50835708414560177,0.0010204831983448824,1,1,1,1,0
96x12,8,double,E3,3,3,0,1,5562.0910511547218,74.579427801202129,2.3638451354494675e-11,1,1,0,0,0.51219457341446128,0.0012917192189892631,1,1,1,1,1
96x12,8,double,E3,3,3,0,2,74034.27415350244,272.09240002892847,5.7913214649584899e-12,1,1,0,0,0.50612432905098559,0.0012405441142004084,1,1,1,1,0
96x12,8,double,E3,3,3,0,3,196926.54590240063,443.76406558260283,6.8858659214388228e-13,1,1,0,0,0.50835706861520347,0.0010204831930844627,1,1,1,1,0
96x12,8,single,E3,3,3,0,1,5562.0914932639698,74.579430765218163,2.5153565442388646e-11,1,1,0,0,0.51219458973224075,0.001291719222361136,1,1,1,1,1
96x12,8,single,E3,3,3,0,2,74034.279531789318,272.09240991212766,5.9531043095416291e-12,1,1,0,0,0.50612434367257764,0.0012405441157533584,1,1,1,1,0
96x12,8,single,E3,3,3,0,3,196926.55689307844,443.76407796607248,7.7396980754060368e-13,1,1,0,0,0.50835708415161063,0.0010204831983848179,1,1,1,1,0
96x12,9,double,E1,3,3,0,1,5674.4078066491884,75.328665238733578,2.3196962351102823e-11,1,1,0,0,0.51390685071854947,0.0012945607357690968,1,1,1,1,1
96x12,9,double,E1,3,3,0,2,75189.769736884453,274.20753041607821,5.530137175074103e-12,1,1,0,0,0.50706567862154706,0.0012427751797482701,1,1,1,1,0
96x12,9,double,E1,3,3,0,3,197078.92369833231,443.93572023248174,7.1889941464718433e-13,1,1,0,0,0.50968069135792771,0.0010236239421496365,1,1,1,1,0
96x12,9,single,E1,3,3,0,1,5674.4081474898157,75.32866750109028,2.5750123876747354e-11,1,1,0,0,0.51390686551171683,0.0012945607365859525,1,1,1,1,1
96x12,9,single,E1,3,3,0,2,75189.774129150726,274.2075384250964,5.5625442332091576e-12,1,1,0,0,0.50706569256977962,0.0012427751795565127,1,1,1,1,0
96x12,9,single,E1,3,3,0,3,197078.93459058262,443.93573250030528,7.140601607403357e-13,1,1,0,0,0.50968070581209879,0.0010236239439630913,1,1,1,1,0
96x12,9,double,E2,3,3,0,1,5674.3816257109183,75.328491460475419,2.4908847630034299e-11,1,1,0,0,0.51390685749194631,0.0012945607602476128,1,1,1,1,1
96x12,9,double,E2,3,3,0,2,75189.388553752244,274.20683535198799,5.2761217351012353e-12,1,1,0,0,0.50706568446766997,0.0012427752385069761,1,1,1,1,0
96x12,9,double,E2,3,3,0,3,197077.70501999141,443.93434764612596,7.1377044419518226e-13,1,1,0,0,0.50968069859827625,0.0010236239770652072,1,1,1,1,0
96x12,9,single,E2,3,3,0,1,5674.3819666878344,75.328493723741971,2.4743325766725342e-11,1,1,0,0,0.51390687228511478,0.0012945607610646114,1,1,1,1,1
96x12,9,single,E2,3,3,0,2,75189.392946195134,274.20684336134855,5.6405415049237815e-12,1,1,0,0,0.50706569841590388,0.001242775238315217,1,1,1,1,0
96x12,9,single,E2,3,3,0,3,197077.715912443,443.9343599142141,8.0523022068649769e-13,1,1,0,0,0.50968071305244855,0.0010236239788786927,1,1,1,1,0
96x12,9,double,E3,3,3,0,1,5674.3815995410278,75.328491286770287,2.3500504721459208e-11,1,1,0,0,0.51390685749872689,0.0012945607602721353,1,1,1,1,1
96x12,9,double,E3,3,3,0,2,75189.388172228282,274.20683465630151,5.4735593114439133e-12,1,1,0,0,0.5070656844735224,0.0012427752385657971,1,1,1,1,0
96x12,9,double,E3,3,3,0,3,197077.70380016771,443.93434627224747,7.1026570088773161e-13,1,1,0,0,0.50968069860552367,0.001023623977100159,1,1,1,1,0
96x12,9,single,E3,3,3,0,1,5674.3819405228396,75.328493550069354,2.4035638581516864e-11,1,1,0,0,0.5139068722918948,0.0012945607610890854,1,1,1,1,1
