outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,beta,l2,rms,maxAbs,tolOuter,epsRMS,stopRaw,settledMove,stopAdmitted,moveDescent,nActive_epsRMS,nActive_1e4,nActive_1e3,nActive_1e2,nInner,innerConv,multN,degen
124,165.769701606167,182.527936777802,0.101093474918892,0.499996794813138,24.1164897720491,0.26921875,0.10796875,0.04,1,27492.2933680848,0.278484389097149,0.00246147749981484,0.0303581865444215,0.1,0.000883883476483184,0,1,0,0,3400,4326,3270,122,17,1,2,1
125,165.801514296029,182.689165557765,0.10185462619831,0.499996704882837,23.9803359972598,0.2684375,0.1065625,0.04,1,27503.6386154302,0.282968229567317,0.00250110942484252,0.0322366089677113,0.1,0.000883883476483184,0,1,0,0,3402,4332,3244,128,17,1,2,1
126,165.834670455292,182.862635932238,0.102680370939305,0.499996847213307,23.8478552993216,0.26625,0.105,0.04,1,27513.5985108193,0.274164112995325,0.00242329129321237,0.0291456573773561,0.1,0.000883883476483184,0,1,0,0,3374,4338,3232,118,17,1,2,1
127,165.863473258108,183.036368899687,0.103536332046151,0.49999683174363,23.7078169365354,0.2653125,0.10234375,0.04,1,27523.2741959501,0.282539195622839,0.00249731726469877,0.0290251564762963,0.1,0.000883883476483184,0,1,0,0,3412,4320,3306,124,18,1,2,1
128,165.893427936447,183.206168387278,0.104360616729575,0.499997158477976,23.5799723861935,0.26484375,0.09984375,0.04,1,27532.6419612659,0.261887546386011,0.00231478074947318,0.0308199900292399,0.1,0.000883883476483184,0,1,0,0,3370,4332,3248,110,17,1,2,1
129,165.918844506453,183.378245790503,0.105228561204037,0.49999715071745,23.4506347127922,0.26421875,0.096875,0.04,1,27540.8342417608,0.269047330929577,0.00237806490200557,0.0258826766747165,0.1,0.000883883476483184,0,1,0,0,3400,4326,3274,106,18,1,2,1
130,165.943303705874,183.550731780978,0.106105083374217,0.499997153402733,23.3223989034503,0.26328125,0.095,0.04,1,27548.6504895758,0.26661932618719,0.00235660416927938,0.0268826626577023,0.1,0.000883883476483184,0,1,0,0,3398,4276,3250,106,18,1,2,1
131,165.967069636127,183.718771062106,0.106959178497873,0.499997226493403,23.1961796338584,0.261875,0.0928125,0.04,1,27556.3142334298,0.263339720728179,0.00232761627853334,0.0244848172474056,0.1,0.000883883476483184,0,1,0,0,3374,4280,3254,112,18,1,2,1
132,165.990055692982,183.889284417024,0.10783313885471,0.499997247330496,23.071308834869,0.25953125,0.0903125,0.04,1,27563.9694393999,0.263948067856202,0.00233299335827759,0.0271728507440281,0.1,0.000883883476483184,0,1,0,0,3340,4278,3224,108,18,1,2,1
133,166.013057613617,184.062133951592,0.108720823514876,0.499997188930908,22.9524588885526,0.25859375,0.08765625,0.04,1,27571.1428752422,0.256616382733838,0.00226818980493324,0.0283216672859468,0.1,0.000883883476483184,0,1,0,0,3280,4238,3168,100,17,1,2,1
134,166.035540809065,184.225958586104,0.109557373610492,0.499997239830901,22.8251359706356,0.25765625,0.0846875,0.04,1,27579.4174651807,0.267667926370565,0.0023658725730346,0.0287091337125504,0.1,0.000883883476483184,0,1,0,0,3296,4270,3200,106,18,1,2,1
135,166.056562279129,184.417319322122,0.110569295130472,0.499997266133257,22.7003716401449,0.25671875,0.081875,0.04,1,27585.9990937237,0.266314152529534,0.00235390678974478,0.0268051530154904,0.1,0.000883883476483184,0,1,0,0,3284,4282,3184,98,18,1,2,1
136,166.077467021506,184.593911392372,0.11149281538879,0.499997245508271,22.5690033910566,0.25546875,0.0796875,0.04,1,27594.0489987347,0.276949974628024,0.00244791506386148,0.027216641174316,0.1,0.000883883476483184,0,1,0,0,3312,4244,3192,102,18,1,2,1
137,166.097547493587,184.79915728327,0.11259413562627,0.499997389661388,22.4429898765337,0.25390625,0.07625,0.04,1,27599.6077657927,0.266734337903714,0.00235762073883775,0.0234370043969139,0.1,0.000883883476483184,0,1,0,0,3314,4202,3186,104,18,1,2,1
138,166.114544010814,184.999462662682,0.113686124019577,0.499997376391476,22.3124830332733,0.2525,0.074375,0.04,1,27605.7316544387,0.271901324080033,0.0024032908758824,0.0243734565506068,0.1,0.000883883476483184,0,1,0,0,3306,4194,3176,104,18,1,2,1
139,166.132190537158,185.210283059083,0.114836820367201,0.499997269411145,22.184939066146,0.2503125,0.07171875,0.04,1,27611.4247605433,0.268134461301799,0.0023699961982038,0.0250921467720812,0.1,0.000883883476483184,0,1,0,0,3258,4174,3166,94,17,1,2,1
140,166.144207111341,185.450884205201,0.116204334954159,0.499997162869806,22.0554195960164,0.24890625,0.06921875,0.04,1,27615.8440042048,0.273631504643449,0.00241858365599576,0.0267581541698242,0.1,0.000883883476483184,0,1,0,0,3224,4170,3134,96,17,1,2,1
141,166.159428368126,185.680505584866,0.117484017659781,0.499997091559769,21.93635069914,0.24671875,0.06703125,0.04,1,27621.3538551097,0.292028361904573,0.00258119043751903,0.0265139045129233,0.1,0.000883883476483184,0,1,0,0,3454,4172,3370,102,17,1,2,1
142,166.158920552261,186.004980790216,0.119440233313948,0.499997305487318,21.793184750049,0.245625,0.06453125,0.04,1,27621.5726185297,0.298460827021958,0.00263804593382214,0.0239376422147582,0.1,0.000883883476483184,0,1,0,0,3392,4114,3332,108,18,1,2,1
143,166.172363730307,186.351500623946,0.121434975351194,0.499997466988843,21.6552508900355,0.24515625,0.0621875,0.04,1,27625.1972073285,0.272185477242448,0.0024058024587329,0.0244041868692256,0.1,0.000883883476483184,0,1,0,0,3194,4230,3060,80,18,1,2,1
144,166.190369994369,186.566997768207,0.122610159508811,0.49999733945073,21.5165614505833,0.24421875,0.0596875,0.04,1,27631.7988040863,0.291394729384386,0.00257558986437148,0.0228885057549399,0.1,0.000883883476483184,0,1,0,0,3332,4124,3252,92,18,1,2,1
145,166.195037515514,186.870164183728,0.124402791908176,0.499997293559076,21.3927645470553,0.24359375,0.0575,0.04,1,27631.3518126085,0.266063785397338,0.00235169383603275,0.0253201259760592,0.1,0.000883883476483184,0,1,0,0,3152,4136,3034,84,18,1,2,1
146,166.212393182911,187.043026248898,0.125325390406138,0.499997278687123,21.2572878806515,0.24265625,0.055625,0.04,1,27638.4797932758,0.276454999581419,0.00244354006121182,0.025224182942963,0.1,0.000883883476483184,0,1,0,0,3174,4102,3074,86,18,1,2,1
147,166.230359121539,187.225145269124,0.126299349039092,0.499997172084491,21.122247431118,0.24109375,0.0546875,0.04,1,27644.1261887403,0.276126017765828,0.00244063224530317,0.0271609641431027,0.1,0.000883883476483184,0,1,0,0,3144,4062,3050,86,18,1,2,1
148,166.248560387675,187.386150887428,0.12714450248749,0.499997156271266,20.9740324019759,0.24,0.05296875,0.04,1,27651.7273482918,0.290488428408839,0.00256757921980141,0.0265223293138956,0.1,0.000883883476483184,0,1,0,0,3206,4056,3106,98,18,1,2,1
149,166.265918840403,187.58411136765,0.128217452355409,0.49999712039677,20.8329278949911,0.23921875,0.05125,0.04,1,27656.6579316941,0.282483657648592,0.00249682637372124,0.0248988939613054,0.1,0.000883883476483184,0,1,0,0,3134,4024,3032,96,18,1,2,1
150,166.283961765093,187.758316844406,0.129142671676596,0.499996935954553,20.6865599377529,0.2384375,0.05078125,0.04,1,27663.835891243,0.289223005058847,0.00255639435190328,0.0229497511197637,0.1,0.000883883476483184,0,1,0,0,3194,4014,3084,82,17,1,2,1
151,166.296358178436,187.993111621714,0.130470406453502,0.499996689044568,20.5415588183531,0.23671875,0.0503125,0.04,1,27669.3283301161,0.327974184412709,0.00289890962315442,0.0258784304903546,0.1,0.000883883476483184,0,1,0,0,3338,4016,3252,182,18,1,2,1
152,166.298399222484,188.325684774963,0.132456389571195,0.499996603500037,20.3682666084422,0.23484375,0.04984375,0.04,1,27671.5695523067,0.326896247356009,0.00288938191562336,0.028185566236423,0.1,0.000883883476483184,0,1,0,0,3148,3928,3078,174,18,1,2,1
153,166.316785734923,188.633374225622,0.13418121563669,0.499996498697271,20.21238378492,0.23375,0.04796875,0.04,1,27675.6098589596,0.309045316839112,0.00273160049038601,0.0269615773967657,0.1,0.000883883476483184,0,1,0,0,3084,3996,2964,150,17,1,2,1
154,166.334140667909,188.855845148003,0.135400371743641,0.49999632795219,20.0469642472878,0.23140625,0.04640625,0.04,1,27682.3828616753,0.317267635765117,0.00280427620875673,0.0260778555605042,0.1,0.000883883476483184,0,1,0,0,3088,3960,2958,160,17,1,2,1
155,166.350738043787,189.088075352537,0.136683116505109,0.49999620591405,19.8772987157314,0.23078125,0.04609375,0.04,1,27688.5896671864,0.322809497963297,0.00285325981301591,0.0248080394237719,0.1,0.000883883476483184,0,1,0,0,3088,3958,2956,184,17,1,2,1
156,166.368878036468,189.320503899137,0.137956245985132,0.499995942153818,19.7092980903171,0.22984375,0.0453125,0.04,1,27697.2278055348,0.367076808510758,0.00324453125642841,0.0258869703783054,0.1,0.000883883476483184,0,1,0,0,3326,3972,3242,330,18,1,2,1
157,166.365801310957,189.651818948649,0.139968776360278,0.499995773400429,19.5171353322204,0.2284375,0.044375,0.04,1,27697.4790680684,0.372880240912046,0.00329582683649226,0.0255133160866914,0.1,0.000883883476483184,0,1,0,0,3258,3904,3170,362,18,1,2,1
158,166.38737378847,190.008605441643,0.14196528928453,0.499995313409205,19.331916868806,0.22703125,0.0440625,0.04,1,27707.2781638897,0.390682724053493,0.00345318004338322,0.0269298092008322,0.1,0.000883883476483184,0,1,0,0,3262,3908,3182,420,18,1,2,1
159,166.382158906374,190.338468108566,0.143983641994165,0.499995269608397,19.118949921883,0.22453125,0.04375,0.04,1,27703.561271865,0.381449066371668,0.00337156526885855,0.0250051967939193,0.1,0.000883883476483184,0,1,0,0,3182,3982,3086,388,17,1,2,1
160,166.423001339206,190.691910060858,0.145826649720051,0.499994643340991,18.9393528581746,0.2225,0.04359375,0.04,1,27719.2645370497,0.385492609083369,0.00340730547475181,0.0362282172015961,0.1,0.000883883476483184,0,1,0,0,3108,3874,3034,380,16,1,2,1
161,166.400999054094,190.986282121879,0.147747208295261,0.4999943810484,18.6309302490076,0.21984375,0.043125,0.04,1,27719.9165916338,0.502707925103133,0.00444335228495805,0.0360525709035414,0.1,0.000883883476483184,0,1,0,0,3162,5372,3086,710,23,1,2,1
162,166.48379323105,191.301470839488,0.149069630903927,0.499993902356857,18.3675819959987,0.21640625,0.04171875,0.04,1,27748.8067095321,0.504028732378663,0.00445502668222266,0.0387375833448812,0.1,0.000883883476483184,0,1,0,0,3152,4142,3064,660,22,1,2,1
163,166.485283955928,191.571701791572,0.15068249420943,0.499993653316293,18.1079686201137,0.21375,0.04078125,0.04,1,27745.5585613975,0.440730112321969,0.00389554063869966,0.0364713305677894,0.1,0.000883883476483184,0,1,0,0,3058,3906,2990,470,17,1,2,1
164,166.542498391863,191.917794938956,0.152365292895913,0.499993328171906,17.9227647267931,0.21234375,0.03921875,0.04,1,27765.4811261629,0.422559767597365,0.00373493596405886,0.0396976578025865,0.1,0.000883883476483184,0,1,0,0,3006,3824,2942,378,15,1,2,1
165,166.505073712482,192.21004397066,0.154379501387234,0.49999323108798,17.661466425453,0.20953125,0.03921875,0.04,1,27753.2631695813,0.437514281469221,0.00386711644116058,0.0368410858672624,0.1,0.000883883476483184,0,1,0,0,3060,3866,2980,466,16,1,2,1
166,166.577729932696,192.582512445545,0.156111999625377,0.499993237191086,17.4621900508927,0.20671875,0.03875,0.04,1,27779.1691916973,0.429500988120505,0.00379628826532915,0.0397004721634428,0.1,0.000883883476483184,0,1,0,0,2928,3758,2852,380,15,1,2,1
167,166.544389900346,192.878026017145,0.158117821516267,0.499993167884078,17.1415351240213,0.2034375,0.0378125,0.04,1,27771.7122492377,0.503232082694493,0.00444798522729882,0.039279647225966,0.1,0.000883883476483184,0,1,0,0,3024,5114,2918,584,20,1,2,1
168,166.642826473348,193.175061628643,0.159216185399606,0.499993037464892,16.9425239488311,0.19921875,0.038125,0.04,1,27800.1327508494,0.421700390801044,0.00372734007455544,0.039748852505342,0.1,0.000883883476483184,0,1,0,0,2800,3836,2682,360,15,1,2,1
169,166.616535665041,193.412612721478,0.160824836199371,0.499993047522207,16.6883685119912,0.19546875,0.0365625,0.04,1,27791.9440418728,0.445336743851865,0.00393625789361488,0.0383690254130649,0.1,0.000883883476483184,0,1,0,0,2966,3726,2892,460,16,1,2,1
170,166.687072925916,193.762574501301,0.162433121537976,0.499993049366597,16.5240004865274,0.19296875,0.03609375,0.04,1,27816.7946517887,0.417783857086677,0.00369272248020326,0.0397336237042048,0.1,0.000883883476483184,0,1,0,0,2730,3736,2618,356,14,1,2,1
