iter,beta,beta_omega,volume,N_pre,N_trial,drho_norm,drho_max,step_alpha,inner_iters,inner_cpu_time,inner_converged,omega_pre_1,omega_pre_2,omega_pre_3,omega_pre_4,omega_post_1,omega_post_2,omega_post_3,omega_post_4
37,2.066793721,1.437634766,0.4994170772,1,1,0.987613221,0.9989994038,1,30,0.238187,0,0.02769044332,0.09736656445,0.1260105897,1012.168476,0.02326017388,0.06198979814,0.07143439721,1470.377274
38,1.476504073,1.215114839,0.4967135085,1,1,0.9844584801,0.9989902532,1,30,0.206799,0,0.02326017388,0.06198979814,0.07143439721,1470.377274,0.02922838494,0.1126020604,0.1476575579,1119.744345
39,2.226454855,1.492130978,0.498919904,1,1,0.9914797827,0.998998478,1,30,0.249565,0,0.02922838494,0.1126020604,0.1476575579,1119.744345,0.02218297248,0.0594824924,0.06655875838,1427.711504
40,1.358760338,1.165658757,0.4978982256,1,1,0.9893493816,0.9989917621,1,30,0.22042,0,0.02218297248,0.0594824924,0.06655875838,1427.711504,0.02766420176,0.1057951776,0.1444539032,1136.081874
41,2.056748946,1.434137004,0.4992386923,1,1,0.9873624833,0.998989739,1,30,0.237535,0,0.02766420176,0.1057951776,0.1444539032,1136.081874,0.022863492,0.06249501544,0.07224226536,1401.611187
42,1.421795037,1.192390472,0.4975683521,1,1,0.9888795459,0.9989897391,1,30,0.224896,0,0.022863492,0.06249501544,0.07224226536,1401.611187,0.02776167637,0.1099219024,0.1457069614,1200.541695
43,2.053558985,1.433024419,0.4993113548,1,1,0.9927930075,0.9989904326,1,30,0.242924,0,0.02776167637,0.1099219024,0.1457069614,1200.541695,0.02243769926,0.06148251923,0.07019609146,1376.042478
44,1.37821928,1.173975843,0.4971585057,1,1,0.9899621282,0.9989904327,1,30,0.213277,0,0.02243769926,0.06148251923,0.07019609146,1376.042478,0.03134226809,0.1360550773,0.1763305102,1264.087319
45,2.452015898,1.565891407,0.4989458457,1,1,0.9888326619,0.9989979965,1,30,0.254949,0,0.03134226809,0.1360550773,0.1763305102,1264.087319,0.0219622027,0.06218406147,0.07232264825,1361.375878
46,1.310824,1.144912224,0.4977068986,1,1,0.9870822229,0.9989995244,1,30,0.222812,0,0.0219622027,0.06218406147,0.07232264825,1361.375878,0.028029542,0.1117775082,0.1437484509,1339.157405
47,2.077068725,1.441203915,0.4991202285,1,1,0.9885639619,0.9989900515,1,30,0.231901,0,0.028029542,0.1117775082,0.1437484509,1339.157405,0.02221111252,0.06285924662,0.07243606112,1358.694494
48,1.34357527,1.159126943,0.498347551,1,1,0.9883298912,0.9989900516,1,30,0.225837,0,0.02221111252,0.06285924662,0.07243606112,1358.694494,0.02703470584,0.1078212604,0.1381373894,1385.447026
49,1.944775746,1.394552167,0.4991206421,1,1,0.9894938314,0.9989909607,1,30,0.23694,0,0.02703470584,0.1078212604,0.1381373894,1385.447026,0.02198562475,0.06197860339,0.07092747515,1355.498068
50,1.327291159,1.152081229,0.4968298216,1,1,0.9881788135,0.9989909608,1,30,0.214384,0,0.02198562475,0.06197860339,0.07092747515,1355.498068,0.02900197165,0.1198277973,0.1527365196,1433.560728
51,2.183007293,1.477500353,0.4987657023,1,1,0.9874627211,0.9989979981,1,30,0.238849,0,0.02900197165,0.1198277973,0.1527365196,1433.560728,0.02207147291,0.06585172465,0.07760798466,1356.484065
52,1.311940816,1.14539985,0.498398907,1,1,0.9866726764,0.9989999338,1,30,0.255954,0,0.02207147291,0.06585172465,0.07760798466,1356.484065,0.02675622962,0.1075907438,0.1370609989,1524.500796
53,1.903608874,1.37971333,0.4987924123,1,1,0.9882784145,0.9989910464,1,30,0.228579,0,0.02675622962,0.1075907438,0.1370609989,1524.500796,0.02177743955,0.06305286309,0.07324016429,1356.043401
54,1.301408158,1.140792776,0.4983237209,1,1,0.988517756,0.9989910464,1,30,0.21878,0,0.02177743955,0.06305286309,0.07324016429,1356.043401,0.02623053728,0.106333387,0.1354380256,1574.495692
55,1.828167807,1.352097558,0.4990910806,1,1,0.989611435,0.9989907975,1,30,0.237626,0,0.02623053728,0.106333387,0.1354380256,1574.495692,0.02181078273,0.0635570055,0.07362449809,1354.094282
56,1.306016167,1.142810644,0.4976303409,1,1,0.9891835081,0.9989907977,1,30,0.240058,0,0.02181078273,0.0635570055,0.07362449809,1354.094282,0.02657424017,0.1087698393,0.1383029134,1596.497116
57,1.861695961,1.364439797,0.4993461146,1,1,0.9904856919,0.9989907905,1,30,0.28333,0,0.02657424017,0.1087698393,0.1383029134,1596.497116,0.02180334334,0.06343065298,0.07306003689,1348.109992
58,1.306263586,1.142918889,0.4966688732,1,1,0.9881069487,0.9989907905,1,30,0.217548,0,0.02180334334,0.06343065298,0.07306003689,1348.109992,0.0283300299,0.1202957,0.1526082356,1629.837939
59,2.066395621,1.437496303,0.4987165373,1,1,0.9862616681,0.9989953729,1,30,0.251283,0,0.0283300299,0.1202957,0.1526082356,1629.837939,0.02161231654,0.06577072125,0.07849525939,1355.597389
60,1.267170219,1.125686555,0.4983660186,1,1,0.9858261699,0.9989999306,1,30,0.242431,0,0.02161231654,0.06577072125,0.07849525939,1355.597389,0.02588388212,0.1048001622,0.1328431266,1715.104088
61,1.789952342,1.337891005,0.4992553879,1,1,0.9860275193,0.9989906059,1,30,0.230788,0,0.02588388212,0.1048001622,0.1328431266,1715.104088,0.02166896504,0.06558415208,0.07713896108,1354.247449
62,1.285877122,1.133965221,0.4974984678,1,1,0.9864339786,0.998990606,1,30,0.225826,0,0.02166896504,0.06558415208,0.07713896108,1354.247449,0.02646280232,0.1133069408,0.1433771949,1835.586106
63,1.810454679,1.345531374,0.4991820902,1,1,0.9894743919,0.9989911577,1,30,0.257784,0,0.02646280232,0.1133069408,0.1433771949,1835.586106,0.02156158178,0.06496018951,0.07576892192,1348.524469
64,1.279651755,1.131216936,0.4960491775,1,1,0.987951202,0.9989911578,1,30,0.227123,0,0.02156158178,0.06496018951,0.07576892192,1348.524469,0.02656403588,0.1144024713,0.145327323,1832.14502
65,1.827973355,1.352025649,0.4990538542,1,1,0.9890235164,0.9989893686,1,30,0.373096,0,0.02656403588,0.1144024713,0.145327323,1832.14502,0.02189720483,0.06734038819,0.07912561285,1349.127128
