outer,omega1,omega2,gap12,volume,volErr,Mnd,gray,mid,move,stage,moveChanged,descent,beta,betaStallRel,betaStallFires,prodStageShadow,prodMoveShadow,prodTol,prodStopRaw,prodSettled,prodStopAdmit,exA,exB,exE,exNA,exNB,exDecl,exAmp,exCos,exNet,exMedcos,exMednet,exTol,exStageStart,cosT,net_ratio,cosT_unsat,net_ratio_unsat,boundFrac,revFrac,maxAbs,ratio,l2,rms,stepNorm,path_W,net_W,nInner,cumInner,innerConv,multN,multJ,degen,tOuter
29,153.17654822019037,154.65718460200065,0.0096662080391175763,0.49999054815651695,-9.4518434830548337e-06,48.894873210751967,0.52055555555555555,0.2713888888888889,0.040000000000000001,1,0,0,23540.532079099863,0.2164134241453462,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,0.54205780826506778,0.94797487801064306,0.8757344567372195,0.95103483151373613,0.88645867105403442,0.075000000000000011,1,0.94797487801064306,0.8757344567372195,0.95323952386949895,0.91384851167389203,0.0022222222222222222,0.40916666666666668,0.039898259407715193,0.99745648519287977,0.54205780826506778,0.00638821253365578,0.00638821253365578,0.075369789482767832,0.066003921647090291,23,546,1,2,0,1,1.6635280416666667
30,153.44916349222441,154.57249558519234,0.0073205488215310442,0.4999723029671248,-2.769703287519576e-05,48.366707304234922,0.5130555555555556,0.27083333333333331,0.040000000000000001,1,0,0,23620.943620387516,0.17213075437841269,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,0.60605879628194448,0.91539110825950232,0.87501106961038122,0.94949130296775741,0.88261654154781577,0.075000000000000011,1,0.91539110825950232,0.87501106961038122,0.91874596959403765,0.91671761172617083,0.0061111111111111114,0.22527777777777777,0.039730485242899294,0.99326213107248229,0.60605879628194448,0.0071424714108119878,0.0071424714108119869,0.07269308042251553,0.063607250053778777,26,572,1,2,0,1,2.130756125
31,153.66552200795053,155.05612928950083,0.0090495724960238857,0.4999779915934231,-2.2008406576901063e-05,47.977823828426644,0.50972222222222219,0.26694444444444443,0.040000000000000001,1,0,0,23678.435637973202,0.13638339287841608,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,0.44747562549115438,0.87483352552967109,0.87001248116424146,0.9419713014669695,0.88105161869389859,0.075000000000000011,1,0.87483352552967109,0.87001248116424146,0.86530727497971638,0.91608629478849479,0.00027777777777777778,0.48416666666666669,0.039857550598839088,0.99643876497097716,0.44747562549115438,0.0052735508200081197,0.0052735508200081179,0.068674693767561537,0.059747840717910679,19,591,1,2,0,1,1.2748420416666666
32,153.93289247872525,154.71719746003973,0.0050951097500027461,0.49997213634148668,-2.7863658513316292e-05,47.614346981865843,0.50472222222222218,0.2663888888888889,0.040000000000000001,1,0,0,23744.341870384847,0.10893089699660774,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,0.43918764145335421,0.89594144448082236,0.87310379342064126,0.93479759435235166,0.87773681836772588,0.075000000000000011,1,0.89594144448082236,0.87310379342064126,0.9000840399621689,0.91865323943575505,0.00055555555555555556,0.21583333333333332,0.039878480132820533,0.99696200332051332,0.43918764145335421,0.0051758759914165469,0.0051758759914165477,0.065255389949197246,0.056974728505787303,21,612,1,2,0,1,1.3750905833333333
33,154.08214727972927,155.35797238304485,0.0082801617568281898,0.49998618188108074,-1.3818118919262101e-05,47.291584661340529,0.50138888888888888,0.26777777777777778,0.040000000000000001,1,0,0,23790.654164272397,0.091534930200506889,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,0.39601907316776275,0.92625605832819369,0.88541712986445054,0.92994176105480064,0.87773681836772588,0.075000000000000011,1,0.92625605832819369,0.88541712986445054,0.93292761334421759,0.91866729714701534,0,0.45805555555555555,0.033844974549689703,0.84612436374224254,0.39601907316776275,0.0046671295352689428,0.0046671295352689428,0.061477840748970142,0.054433533306216905,19,631,1,2,0,1,1.269277625
34,154.24208568195149,155.70741240818361,0.0095001744806124909,0.4999908733017383,-9.126698261696653e-06,46.946119842562183,0.49972222222222223,0.26750000000000002,0.040000000000000001,1,0,0,23840.474500698398,0.077581145152469111,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,0.42857346654186884,0.93127818531034179,0.89302929644533002,0.93245282454587475,0.87773681836772588,0.075000000000000011,1,0.93127818531034179,0.89302929644533002,0.93127818531034179,0.92443007193211357,0,0.41722222222222222,0.028197883712809735,0.70494709282024337,0.42857346654186884,0.005050786740473023,0.0050507867404730213,0.059218887630194963,0.052884201556668065,21,652,1,2,0,1,1.4079768333333333
35,154.41188757818529,155.5568926325916,0.0074152649278802912,0.49997789702473749,-2.2102975262505709e-05,46.568331216061701,0.49666666666666665,0.26416666666666666,0.040000000000000001,1,0,0,23896.575886987175,0.066300323024210794,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,0.48346402125826221,0.93234833054034016,0.90076340942910393,0.93181325792534098,0.87773681836772588,0.075000000000000011,1,0.93234833054034016,0.90076340942910393,0.93234833054034016,0.92403352328050481,0,0.23749999999999999,0.033073805431652663,0.82684513579131658,0.48346402125826221,0.0056976781315239058,0.0056976781315239049,0.058034811698181137,0.052275634850829686,25,677,1,2,0,1,1.7396242916666667
36,154.63880963264279,155.29567168822555,0.0042477180026359064,0.49998176408523348,-1.8235914766517869e-05,46.221118088047945,0.49361111111111111,0.26222222222222225,0.040000000000000001,1,0,0,23961.068556815375,0.057554905082167623,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,0.51121567501615528,0.86169346276379488,0.90831659286805078,0.93181325792534098,0.87773681836772588,0.075000000000000011,1,0.86169346276379488,0.90831659286805078,0.85967114419519064,0.92019941801187954,0.0011111111111111111,0.47916666666666669,0.039108573363803557,0.9777143340950889,0.51121567501615528,0.0060247345075463612,0.0060247345075463612,0.057574033025685187,0.052295449515563003,30,707,1,2,0,1,2.2094277916666667
37,154.79861487646588,156.16833385575021,0.0088483929935510557,0.499984224100811,-1.5775899188996689e-05,45.841401482325487,0.48916666666666669,0.26222222222222225,0.040000000000000001,1,0,0,24013.608465260349,0.050045354457864392,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,0.54268266902572537,0.93492414387322464,0.90835289105227335,0.93298789716087382,0.88130410285214933,0.075000000000000011,1,0.93492414387322464,0.90835289105227335,0.93560420564880342,0.92165668341943185,0.0025000000000000001,0.44527777777777777,0.039526976969010516,0.98817442422526292,0.54268266902572537,0.006395576588341753,0.0063955765883417512,0.058115824569094296,0.05278967726322354,31,738,1,2,0,1,2.3578567499999998
38,154.98980066725269,156.9154671230217,0.012424472110285592,0.49999243006721622,-7.5699327837797092e-06,45.50804328606047,0.48416666666666669,0.26083333333333331,0.040000000000000001,1,0,0,24075.047117218957,0.043567361480714911,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,0.47186510427765549,0.91420841327424462,0.9073468372997946,0.93181325792534098,0.88414307778525858,0.075000000000000011,1,0.91420841327424462,0.9073468372997946,0.91054356389214608,0.91789450612073431,0.0019444444444444444,0.23555555555555555,0.039848489277261673,0.99621223193154185,0.47186510427765549,0.0055609835840004593,0.0055609835840004593,0.057376999843046873,0.052060839341339392,25,763,1,2,0,1,1.7439577083333333
