outer,omega1,omega2,gap12,volume,volErr,Mnd,gray,mid,move,stage,moveChanged,descent,beta,betaStallRel,betaStallFires,prodStageShadow,prodMoveShadow,prodTol,prodStopRaw,prodSettled,prodStopAdmit,exA,exB,exE,exNA,exNB,exDecl,exAmp,exCos,exNet,exMedcos,exMednet,exTol,exStageStart,cosT,net_ratio,cosT_unsat,net_ratio_unsat,boundFrac,revFrac,maxAbs,ratio,l2,rms,stepNorm,path_W,net_W,nInner,cumInner,innerConv,multN,multJ,degen,tOuter
87,155.2113677319519,157.36275264630765,0.013861000942090623,0.49998330205623109,-1.669794376890632e-05,46.560514970235737,0.49965277777777778,0.26993055555555556,0.040000000000000001,1,0,0,24049.398671420615,0.012603672544652477,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.21774286713463276,0.91066156521112274,0.92903351100791076,0.93852090609875871,0.93228719381356839,0.15000000000000002,1,0.91066156521112274,0.92903351100791076,0.91066156521112274,0.92930433468684426,0,0.37375000000000003,0.013693417866603564,0.34233544666508908,0.21774286713463276,0.0012830621492158354,0.0012830621492158356,0.024402309291260391,0.022670563077560605,14,1907,1,2,0,1,3.9343330416666666
88,155.24878967221028,157.37528535667599,0.013697341466916148,0.49998875386393593,-1.1246136064069212e-05,46.440278678743276,0.49868055555555557,0.26993055555555556,0.040000000000000001,1,0,0,24124.009978860628,0.012131156921100974,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.30144640648161303,0.90735941273178733,0.9268984727031403,0.93852090609875871,0.93087799901982149,0.15000000000000002,1,0.90735941273178733,0.9268984727031403,0.90735941273178733,0.92748353018378404,0,0.21611111111111111,0.022471599396780111,0.56178998491950272,0.30144640648161303,0.0017762899848955415,0.001776289984895542,0.023227105851134858,0.021529168938731073,20,1927,1,2,0,1,5.4754006666666664
89,155.3102493226834,157.50590856374217,0.014137246257952419,0.49996896942238683,-3.1030577613166965e-05,46.253890142997108,0.49770833333333331,0.26930555555555558,0.040000000000000001,1,0,0,24157.39154685527,0.011575237542686963,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.46027124614210774,0.93309139976742694,0.92672185477478453,0.93519685449280066,0.92949767482769219,0.15000000000000002,1,0.93309139976742694,0.92672185477478453,0.93309139976742694,0.92763486620237634,0,0.32458333333333333,0.031198852336753687,0.7799713084188421,0.46027124614210774,0.0027121743277688909,0.0027121743277688918,0.023259659060698483,0.021555234386159621,31,1958,1,2,0,1,9.0845330000000004
90,155.40547895388775,157.51320490562662,0.013562751879322607,0.49999376417187025,-6.2358281297525409e-06,46.131490230058361,0.49625000000000002,0.26861111111111113,0.040000000000000001,1,0,0,24179.533967233965,0.01118201008032919,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.33952119191485092,0.94445037019792577,0.92647312051888686,0.93519685449280066,0.92945044644996999,0.15000000000000002,1,0.94445037019792577,0.92647312051888686,0.94445037019792577,0.9275781220872007,0,0.24486111111111111,0.030729287707030095,0.76823219267575238,0.33952119191485092,0.0020006478096627526,0.002000647809662753,0.02214034081702948,0.020512430646104984,24,1982,1,2,0,1,6.6457920833333333
91,155.46788361307154,157.5885322642969,0.013640429148075601,0.49998590650935004,-1.4093490649957907e-05,46.027711879929328,0.49465277777777777,0.26763888888888887,0.040000000000000001,1,0,0,24165.700158169646,0.010758355546209972,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.28998646872210943,0.88222891222248112,0.92551458060003211,0.93159757646354513,0.92923557720894712,0.15000000000000002,1,0.88222891222248112,0.92551458060003211,0.88222891222248112,0.92660429072689288,0,0.40743055555555557,0.020074465282963506,0.50186163207408763,0.28998646872210943,0.0017087616540478686,0.0017087616540478686,0.020876420441755583,0.019321431509581356,20,2002,1,2,0,1,5.8802691666666664
92,155.52126990228334,157.58977109088485,0.013300439161159054,0.49999155566679843,-8.4443332015737838e-06,45.899041142531679,0.49368055555555557,0.26701388888888888,0.040000000000000001,1,0,0,24210.044685417768,0.010106575466486922,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.32699574558170574,0.89220581689270606,0.92938621458189186,0.93159757646354513,0.92920986279490125,0.15000000000000002,1,0.89220581689270606,0.92938621458189186,0.89220581689270606,0.92938621458189163,0,0.43638888888888888,0.022251320300646433,0.55628300751616078,0.32699574558170574,0.0019268409093331264,0.0019268409093331264,0.019770226598655367,0.018374176059950544,26,2028,1,2,0,1,7.2293364166666665
93,155.5797637538173,157.77705138705309,0.014123222585121555,0.49999585753333553,-4.1424666644696018e-06,45.739016328451171,0.49187500000000001,0.26631944444444444,0.040000000000000001,1,0,0,24230.838197729554,0.0096110220512069834,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.39531720752692318,0.95156382466280243,0.93157099324694725,0.93159757646354513,0.92920986279490125,0.15000000000000002,1,0.95156382466280243,0.93157099324694725,0.95156382466280243,0.93157099324694725,0,0.23076388888888888,0.028022495289675164,0.70056238224187906,0.39531720752692318,0.0023294289846834755,0.0023294289846834747,0.019891344624022839,0.01853019966841828,29,2057,1,2,0,1,8.6956045
94,155.65670198185342,157.78378690549823,0.013665231863211344,0.49998411084355732,-1.5889156442683294e-05,45.626261041979696,0.49083333333333334,0.26590277777777777,0.040000000000000001,1,0,0,24229.57083558329,0.0093392349319659507,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.3418598770919426,0.90384585501486325,0.93932539603747611,0.92038265918539308,0.92920986279490125,0.15000000000000002,1,0.90384585501486325,0.93932539603747611,0.90384585501486325,0.939325396037476,0,0.43972222222222224,0.01866525379690635,0.46663134492265873,0.3418598770919426,0.0020144286442276022,0.0020144286442276022,0.020556203111629832,0.019308963628858491,24,2081,1,2,0,1,7.019549333333333
95,155.71278720729754,157.86980241994661,0.013852524582823612,0.49999679912045863,-3.2008795413651647e-06,45.438777256983478,0.48972222222222223,0.26652777777777775,0.040000000000000001,1,0,0,24282.116577660156,0.0094088731672566303,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.49889137385473775,0.88811309291472063,0.94472060896292454,0.90901048897145498,0.92920986279490125,0.15000000000000002,1,0.88811309291472063,0.94472060896292454,0.88811309291472063,0.94472060896292454,0,0.45152777777777775,0.030839663921142849,0.7709915980285712,0.49889137385473775,0.0029397456127346509,0.0029397456127346505,0.021456212598161644,0.020270126231773242,35,2116,1,2,0,1,10.318004708333333
96,155.8113338794858,158.09924373774172,0.014683847453777189,0.49999447400032876,-5.5259996712408999e-06,45.290877848159653,0.48749999999999999,0.26541666666666669,0.040000000000000001,1,0,0,24293.387660222288,0.0091365405262411985,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.40190704472342537,0.8983452958629945,0.94531808529311967,0.90560263387332529,0.92920986279490125,0.15000000000000002,1,0.8983452958629945,0.94531808529311967,0.8983452958629945,0.94531808529311967,0,0.27944444444444444,0.031239976072173263,0.78099940180433158,0.40190704472342537,0.0023682599727548256,0.0023682599727548252,0.021059640049324573,0.019908058608389807,27,2143,1,2,0,1,8.2695064583333338
97,155.88543080531704,158.11499550640278,0.014302585492227331,0.49998140043094358,-1.8599569056421128e-05,45.125482285775909,0.48541666666666666,0.26458333333333334,0.040000000000000001,1,0,0,24323.069582960667,0.0087522855704794851,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.4306159494923007,0.89211544392573716,0.94542590434164953,0.90560263387332529,0.92920986279490125,0.15000000000000002,1,0.89211544392573716,0.94542590434164953,0.89211544392573716,0.94542590434164953,0,0.40819444444444447,0.029987157251256027,0.74967893128140062,0.4306159494923007,0.0025374288164424137,0.0025374288164424132,0.022314006716551149,0.021096239979481013,31,2174,1,2,0,1,9.0695506666666663
98,155.96687745937518,158.28159229980193,0.014841066758098436,0.49999524269046508,-4.757309534919596e-06,44.990311812782288,0.48430555555555554,0.26368055555555553,0.040000000000000001,1,0,0,24341.365735128802,0.0090587950031299196,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.36833470856352807,0.9532635723372711,0.94568849041099401,0.90560263387332529,0.92941192899593772,0.15000000000000002,1,0.9532635723372711,0.94568849041099401,0.9532635723372711,0.9456884904109939,0,0.41416666666666668,0.026363264644480754,0.65908161611201888,0.36833470856352807,0.0021704330847636781,0.002170433084763679,0.022708149816419287,0.021474835919916245,26,2200,1,2,0,1,7.9532935
99,156.0363102122802,158.30133602245917,0.014516017503217718,0.49999059292471482,-9.407075285183808e-06,44.813915232532295,0.48201388888888891,0.26374999999999998,0.040000000000000001,1,0,0,24371.947749039195,0.0090323331464677668,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.433502287320082,0.95323038573216923,0.9497671595803503,0.90560263387332529,0.92945044644996999,0.15000000000000002,1,0.95323038573216923,0.9497671595803503,0.95323038573216923,0.9497671595803503,0,0.22006944444444446,0.029460247640717328,0.73650619101793324,0.433502287320082,0.0025544367251992424,0.002554436725199242,0.022550412213849635,0.021417640955714006,34,2234,1,2,0,1,10.401646625
100,156.11839740817086,158.35524595021988,0.014327898435959387,0.49998301947041934,-1.6980529580656878e-05,44.716864968529386,0.48104166666666665,0.26395833333333335,0.040000000000000001,1,0,0,24367.745545463924,0.0089075626211816833,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.30880957653357122,0.91843900055810956,0.95037539328526155,0.90560263387332529,0.92949767482769219,0.15000000000000002,1,0.91843900055810956,0.95037539328526155,0.91843900055810956,0.95037539328526144,0,0.45444444444444443,0.019880234273893592,0.49700585684733978,0.30880957653357122,0.0018196778805186194,0.0018196778805186194,0.022369442284705499,0.021259367508898949,22,2256,1,2,0,1,6.577080416666667
101,156.16245680009442,158.48637007849294,0.014881382670441671,0.49997923251142939,-2.0767488570605508e-05,44.55352740689176,0.47986111111111113,0.26361111111111113,0.040000000000000001,1,0,0,24414.058518496717,0.0087581461880324729,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.42548725789698649,0.90380453329160759,0.95037449169746591,0.90382519415323537,0.93055154670618756,0.15000000000000002,1,0.90380453329160759,0.95037449169746591,0.90380453329160759,0.95037449169746591,0,0.42152777777777778,0.027358978984010466,0.68397447460026162,0.42548725789698649,0.0025072077113952379,0.0025072077113952379,0.02316788834205287,0.022018170106782142,32,2288,1,2,0,1,9.047352458333334
102,156.23561537970809,158.7830942640241,0.016305365957209741,0.49997451919539138,-2.5480804608624119e-05,44.457583765968863,0.47930555555555554,0.26326388888888891,0.040000000000000001,1,0,0,24416.241063538164,0.0090518310943625089,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,0.27398580140842405,0.90973281925793203,0.94876731787313662,0.90382519415323537,0.93189744556058118,0.15000000000000002,1,0.90973281925793203,0.94876731787313662,0.90973281925793203,0.94876731787313673,0,0.49979166666666669,0.016162125516915832,0.40405313792289582,0.27398580140842405,0.0016144768177060614,0.001614476817706061,0.022855524250425807,0.021684574441660925,20,2308,1,2,0,1,5.8669487499999997
