outer,omega1,omega2,omega3,lambda1,lambda2,gap12,dOff,volume,Mnd,beta,box_max,box_mean,N,multJ,max_abs_drho,l2_drho,rms_drho,pred_gain,real_gain,gain_ratio,stop_metric,stop_eps,stop_raw,nInner,innerConv,spike
21,153.92137652860356,155.92393306790092,399.0377751178185,23691.79015246015,24312.272903363246,0.013010256174035836,620.4827509030947,0.49996814059174793,0.4683960391936194,23736.772598452077,0.1,0.05985010797856301,2,0,0.08588232060920782,1.3703743537661408,0.008075008319268091,44.98244599192549,95.34650170819441,2.1196379966822936,1.3703743537661408,0.15000000000000002,False,17,1,False
22,154.23079022740026,155.6169683577006,395.99889945036585,23787.136654168346,24216.640840841595,0.008987687401825204,429.50418667324993,0.49998159575331097,0.46291023625414446,23870.291680300517,0.1,0.058126654747512656,2,0,0.099046917919288,1.4623360639501224,0.008616897893273136,83.15502613217177,78.76226156645862,0.9471737936955126,1.4623360639501224,0.15000000000000002,False,20,1,False
23,154.4859181794082,156.6107097404372,396.34299929844013,23865.898915734804,24526.914405403466,0.013753949784351308,661.0154896686618,0.49996371823986685,0.4562594285596179,23968.778474608338,0.1,0.055976105654006035,2,0,0.09855799792221344,1.7381424119103852,0.01024210238441479,102.87955887353382,110.40063992908472,1.0731056891952298,1.7381424119103852,0.15000000000000002,False,27,1,False
24,154.8428220992626,156.94295266186126,394.33346260531624,23976.29955566389,24631.090390223224,0.013562982992213571,654.790834559335,0.49998218736749417,0.45114839278194735,24049.08424455771,0.1,0.05562620427801653,2,0,0.09922866090244899,1.423858852803345,0.008390168752247861,72.78468889382202,82.8642341156301,1.1384844171898856,1.423858852803345,0.15000000000000002,False,21,1,False
25,155.1101666228862,157.25111676816303,392.9737079785376,24059.16378977952,24727.913724834445,0.01380277122957419,668.749935054926,0.49997407382819875,0.44731864187502784,24085.05080463797,0.1,0.055164136036035795,2,0,0.07955685356717983,1.0636330172024677,0.0062675176596481055,25.88701485845013,56.60575181018794,2.1866465530965034,1.0636330172024677,0.15000000000000002,False,18,1,False
26,155.29252893036968,157.44822299719036,391.81277955982574,24115.769541589707,24789.942924972984,0.013881505322044473,674.1733833832768,0.49997247303593867,0.4423788426676051,24187.71869819008,0.1,0.05493942478152408,2,0,0.08168263499142786,1.4753375491525582,0.008693509879540961,71.94915660037441,69.3816219578548,0.9643145970872126,1.4753375491525582,0.15000000000000002,False,24,1,False
27,155.51575856982328,158.89780045656482,393.581657815886,24185.15116354756,25248.510989934293,0.021747261614153926,1063.3598263867316,0.4999589566043934,0.43554319102012384,24287.722087755617,0.1,0.053952287542804366,2,0,0.09863154875465567,1.8409010212383754,0.010847613296757465,102.57092420805566,100.25187837215708,0.977390806860679,1.8409010212383754,0.15000000000000002,False,32,1,False
28,155.83774588308097,159.348701388031,390.7258161983096,24285.40304191972,25392.008634051872,0.022529557810622897,1106.605592132153,0.49998811168927737,0.42912140579597563,24361.792082007873,0.1,0.053447961416982936,2,0,0.09899636046892359,1.7694870736261328,0.010426802574858151,76.3890400881537,96.02453946334936,1.2570460284948743,1.7694870736261328,0.15000000000000002,False,26,1,False
29,156.14553333791866,159.47391034736003,387.3894330870194,24381.427581383068,25431.928081477825,0.02131586436250046,1050.5005000947567,0.4999877121785235,0.4221126437331706,24461.72059821282,0.1,0.052699909556223404,2,0,0.0993192002087214,1.8972070728800918,0.011179399887904945,80.29301682975347,105.99211346433367,1.3200663974187243,1.8972070728800918,0.15000000000000002,False,30,1,False
30,156.48456695421245,160.3054923680152,386.8915055787754,24487.419694847402,25697.850883351777,0.024417266751428256,1210.4311885043753,0.4999785142531267,0.4173708022554593,24501.464252353493,0.1,0.05108607666557629,2,0,0.06239057300614751,1.2373877919420826,0.007291377488664128,14.044557506091223,60.843026403465046,4.332142637963282,1.2373877919420826,0.15000000000000002,False,20,1,False
