element,rho,delta,scheme,raw_analytic,FE_FD,filtered_analytic,raw_subspace_FD,filtered_subspace_FD,abs_error,relative_error,error_over_raw_interior_RMS
4.879000000000000000e+03,1.997122443554089338e-03,2.999999999999999737e-04,0.000000000000000000e+00,2.913568705865340699e-05,-1.793523551896214485e-05,3.665285904932252917e-05,2.913568705865341037e-05,3.665285904932252917e-05,4.707092257761554845e-05,1.615576199828632875e+00,8.122631333173144553e-06
4.879000000000000000e+03,1.997122443554089338e-03,1.000000000000000048e-04,0.000000000000000000e+00,2.913568705865340699e-05,2.572051016613841057e-05,3.665285904932252917e-05,2.913568705865340699e-05,3.665285904932252917e-05,3.415176892514996417e-06,1.172162813816561844e-01,5.893282161557418147e-07
9.985000000000000000e+03,1.997119129385597179e-03,1.000000000000000021e-03,1.000000000000000000e+00,2.418435669566157444e-05,1.007174432743340731e-04,2.463994248936840221e-05,2.418435669566157444e-05,2.463994248936840221e-05,7.653308657867250201e-05,3.164569872243149451e+00,1.320666800280652093e-05
9.985000000000000000e+03,1.997119129385597179e-03,2.999999999999999737e-04,0.000000000000000000e+00,2.418435669566157444e-05,6.716921537493666917e-05,2.463994248936840221e-05,2.418435669566157444e-05,2.463994248936840221e-05,4.298485867927509811e-05,1.777382761104666420e+00,7.417533815798565805e-06
9.985000000000000000e+03,1.997119129385597179e-03,1.000000000000000048e-04,0.000000000000000000e+00,2.418435669566157444e-05,5.649781087413430214e-05,2.463994248936840221e-05,2.418435669566157444e-05,2.463994248936840221e-05,3.231345417847273109e-05,1.336130399708727046e+00,5.576059720527643359e-06
1.000200000000000000e+04,9.999027676462336478e-01,1.000000000000000021e-03,-1.000000000000000000e+00,2.691146265547496341e+01,2.691149228667200077e+01,2.601249159296714808e+01,2.691146265547485683e+01,2.601249159296706637e+01,2.963119703736083466e-05,1.101062302584752345e-06,5.113205272283120001e-06
1.000200000000000000e+04,9.999027676462336478e-01,2.999999999999999737e-04,-1.000000000000000000e+00,2.691146265547496341e+01,2.691139881183820393e+01,2.601249159296714808e+01,2.691146265547495275e+01,2.601249159296714453e+01,6.384363675948634409e-05,2.372358484442976317e-06,1.101695688057189378e-05
1.000200000000000000e+04,9.999027676462336478e-01,1.000000000000000048e-04,-1.000000000000000000e+00,2.691146265547496341e+01,2.691191715712193400e+01,2.601249159296714808e+01,2.691146265547496341e+01,2.601249159296715519e+01,4.545016469705842610e-04,1.688877534414201726e-05,7.842950842050562424e-05
1.009200000000000000e+04,7.469668473767687722e-01,1.000000000000000021e-03,0.000000000000000000e+00,-1.451248572904056289e+00,-1.451249989258940332e+00,2.031110956883947161e+00,-1.451248572904037193e+00,2.031110956883927177e+00,1.416354884042902995e-06,9.759560908360939567e-07,2.444083933356056207e-07
1.009200000000000000e+04,7.469668473767687722e-01,2.999999999999999737e-04,0.000000000000000000e+00,-1.451248572904056289e+00,-1.451273061926864782e+00,2.031110956883947161e+00,-1.451248572904054734e+00,2.031110956883945384e+00,2.448902280849374336e-05,1.687445091469711955e-05,4.225863719902034033e-06
1.009200000000000000e+04,7.469668473767687722e-01,1.000000000000000048e-04,0.000000000000000000e+00,-1.451248572904056289e+00,-1.451364787499187514e+00,2.031110956883947161e+00,-1.451248572904056067e+00,2.031110956883947161e+00,1.162145951312254510e-04,8.007904179962183218e-05,2.005417060242249333e-05
1.139100000000000000e+04,4.966427238098469199e-01,1.000000000000000021e-03,0.000000000000000000e+00,-3.761408041175565486e+00,-3.761401812880649231e+00,2.060744351952525033e+00,-3.761408041142098924e+00,2.060744352180333028e+00,6.228294916255094904e-06,1.655841336030255499e-06,1.074764221066587995e-06
1.139100000000000000e+04,4.966427238098469199e-01,2.999999999999999737e-04,0.000000000000000000e+00,-3.761408041175565486e+00,-3.761409267705555060e+00,2.060744351952525033e+00,-3.761408041172553673e+00,2.060744351973027744e+00,1.226529989573066359e-06,3.260826733357369941e-07,2.116519154251807918e-07
1.139100000000000000e+04,4.966427238098469199e-01,1.000000000000000048e-04,0.000000000000000000e+00,-3.761408041175565486e+00,-3.761365496757207438e+00,2.060744351952525033e+00,-3.761408041175229755e+00,2.060744351954803211e+00,4.254441835804811944e-05,1.131076923649888545e-05,7.341530751535440218e-06
1.503000000000000000e+04,1.997122976611453646e-03,1.000000000000000021e-03,1.000000000000000000e+00,3.806719439435538976e-05,3.314016794320195913e-05,3.868728473947839866e-05,3.806719439435538976e-05,3.868728473947839866e-05,4.927026451153430626e-06,1.294297236647419247e-01,8.502153185020287076e-07
