outer,rho_sha256,omega1,omega2,omega3,lambda1,lambda2,gap12,dOff,volume,Mnd,gray,mid,broad_core,void_lt_0p1,at_rhomin,beta,box_max,box_mean,box_at_floor,N,multJ,max_abs_drho,l2_drho,rms_drho,sign_reversal,on_bound,at_move_box,step_over_box_rms,pred_gain,real_gain,gain_ratio,stop_metric,stop_eps,stop_raw,nInner,innerConv,spike,stage,exA,exB,exE,exDecl
31,55ec0b02433124736de1acd68edbad3cfd16a4af5c55f32748fdc44d1f4c0ec2,148.43578461519908,149.19737799683878,407.9091103236199,22033.182154329774,22259.857601131593,0.005130793653390474,226.6754468018189,0.4999761831287461,0.5889867150398689,0.64375,0.29388888888888887,0.5354861111111111,0.16,0.0,22149.380929701954,0.04,0.04,nan,2,0,0.03976568521807783,0.8463887613130506,0.004987393605371169,0.26263888888888887,0.0,0.0008333333333333334,0.12468484013427922,116.19877537218053,90.23306483865235,0.7765405835787775,0.8463887613130506,0.15000000000000002,False,23,1,False,1.0,0.0,0.0,0.0,0.0
32,c5f403f73974220949b00c4bbc1a17b0f5fa91be233127c375452b0c1565e896,148.7394205285486,149.7364946617046,409.3298134925545,22123.415219168426,22421.01783357469,0.006703496151947259,297.60261440626346,0.4999863732976015,0.5854697036747835,0.6395138888888889,0.29354166666666665,0.5309027777777777,0.16291666666666665,0.0,22213.62097864912,0.04,0.04,nan,2,0,0.03976094542486926,0.6576111877309692,0.0038750110852392335,0.223125,0.0,0.0002777777777777778,0.09687527713098085,90.20575948069381,74.15082841873664,0.8220187806811458,0.6576111877309692,0.15000000000000002,False,20,1,False,1.0,0.0,0.0,0.0,0.0
33,d2e248bd277378a0cef02e64e068f7d8e6b3867b01e7c07ab4989cc216088a9b,148.98847622412669,149.70930827616286,408.96843870391865,22197.566047587163,22412.876984527164,0.004838173195031599,215.31093694000083,0.4999878062679969,0.58247459386154,0.6361805555555555,0.2923611111111111,0.5280555555555555,0.1651388888888889,0.0,22258.35424366803,0.04,0.04,nan,2,0,0.03687354607118927,0.5468844646507893,0.0032225476123345655,0.25604166666666667,0.0,0.0,0.08056369030836412,60.78819608086633,57.030995089116914,0.9381919314277525,0.5468844646507893,0.15000000000000002,False,17,1,False,1.0,0.0,0.0,0.0,0.0
34,db7e360624abdda240765026fc46b4dfcf3a3d2bfae484c58d7ac4d7ddc53d41,149.17974742798125,149.6804372804062,408.5948391443351,22254.59704267628,22404.233304453617,0.003356285695996841,149.6362617773375,0.49997991660870655,0.5789049241727746,0.6318055555555555,0.2911111111111111,0.5236805555555556,0.16784722222222223,0.0,22334.57343023387,0.04,0.04,nan,2,0,0.039795760533527645,0.6995559649246114,0.004122173055147427,0.22652777777777777,0.0,0.0001388888888888889,0.10305432637868574,79.9763875575918,66.24859763812856,0.8283519631393987,0.6995559649246114,0.15000000000000002,False,20,1,False,1.0,0.0,0.0,0.0,0.0
35,b38b6743901828a571904361b0c0dd2c85a29b7a5fb4b066136a89a8f14ed979,149.40162529341643,150.2593400304332,410.1917576911786,22320.84564031441,22577.86926638135,0.005741000041547568,257.0236260669408,0.4999902065933327,0.5758679575269379,0.6286805555555556,0.29118055555555555,0.5211111111111111,0.16972222222222222,0.0,22382.78161581748,0.04,0.04,nan,2,0,0.03924738187348179,0.5605373332876082,0.003302997912299097,0.33284722222222224,0.0,0.0,0.08257494780747744,61.93597550307095,55.274886427258025,0.892452019658871,0.5605373332876082,0.15000000000000002,False,16,1,False,1.0,0.0,0.0,0.0,0.0
36,2b253ac844d2376c80edc920ce817d6379dffd4d13aa5e64e4245cd4aa15b1be,149.5864984774417,150.09542843466608,409.32620192490344,22376.120526741666,22528.637636985964,0.0034022452721635876,152.51711024429824,0.49998507470399955,0.5722513851799909,0.6249305555555555,0.289375,0.5170833333333333,0.17208333333333334,0.0,22450.607750183004,0.04,0.04,nan,2,0,0.039123734707790514,0.6696308803487434,0.0039458378032209505,0.35256944444444444,0.0,0.0,0.09864594508052378,74.48722344133785,67.64386179358917,0.9081270406979508,0.6696308803487434,0.15000000000000002,False,24,1,False,1.0,0.0,0.0,0.0,0.0
37,3d43421031da19b58fad1e3726dc16e398a8121dfe7b91b41c94e449f80874eb,149.8124306876277,150.51822150210893,410.6848708403063,22443.764388535255,22655.735004157927,0.004711163227521858,211.97061562267118,0.49995672791311824,0.568980461239682,0.620625,0.28833333333333333,0.5124305555555555,0.17451388888888889,0.0,22497.208216474606,0.04,0.04,nan,2,0,0.03951863788372254,0.6491585767699527,0.0038252035974953463,0.3217361111111111,0.0,0.0,0.09563008993738369,53.44382793935074,56.02720590940953,1.048338191137627,0.6491585767699527,0.15000000000000002,False,22,1,False,1.0,0.0,0.0,0.0,0.0
38,8fe578daa66939784c96c84fe61fe245c2714e695b6ae6a63bfa7770e3ebdd54,149.99930531320692,150.94337083236493,411.86328607560097,22499.791594444665,22783.901198236836,0.006293799275848343,284.1096037921707,0.49997959419455346,0.5661572603175457,0.6168055555555556,0.28791666666666665,0.5093055555555556,0.17625,0.0,22551.437988916055,0.04,0.04,nan,2,0,0.02436037197259345,0.5128292014644815,0.003021875049550142,0.18854166666666666,0.0,0.0,0.07554687623875357,51.64639447139052,50.854177233031805,0.984660744540501,0.5128292014644815,0.15000000000000002,False,20,1,False,1.0,0.0,0.0,0.0,0.0
39,87bc6d71c893688991660ed125da4aaba2d6231523cc7ef97b0e9de314b97d8f,150.1687243459093,150.96271062722857,411.6753130551255,22550.645771677697,22789.73999992035,0.005287294573338313,239.09422824265494,0.499974588150699,0.5633662721027866,0.611875,0.28756944444444443,0.5051388888888889,0.17798611111111112,0.0,22589.581609855577,0.04,0.04,nan,2,0,0.029389441020716552,0.523875749895554,0.00308696746041945,0.294375,0.0,0.0,0.07717418651048628,38.935838177880214,47.59928347522873,1.222505683780818,0.523875749895554,0.15000000000000002,False,21,1,False,1.0,0.0,0.0,0.0,0.0
40,5ed16c4e78c8bade33c41d3be571f5dc794474fb573d9e1f5fc7e9ec362a4b68,150.32712681067554,151.06569647466833,411.774425900726,22598.245055152925,22820.844651376618,0.004913083085283459,222.59959622369206,0.4999543277472717,0.5602672904324733,0.6085416666666666,0.2861111111111111,0.5025,0.17965277777777777,0.0,22665.461079484503,0.04,0.04,nan,2,0,0.03333331540765615,0.6178388340771253,0.003640650243802712,0.24993055555555554,0.0,0.0,0.09101625609506785,67.2160243315775,44.668558120734815,0.6645522189825487,0.6178388340771253,0.15000000000000002,False,24,1,False,1.0,0.0,0.0,0.0,0.0
41,cdd475556f197bb8de7523b4d077a549d443882f969652fb831855d4a38817f6,150.47562464822553,151.72522295490353,413.4903229594159,22642.91361327366,23020.543280715185,0.008304323770705353,377.62966744152436,0.49998212368514905,0.5578264029966108,0.6065277777777778,0.2861111111111111,0.5002777777777778,0.18090277777777777,0.0,22689.860191641754,0.04,0.04,nan,2,0,0.030455599311410442,0.4702329580721157,0.0027708742782516873,0.42270833333333335,0.0,0.0,0.06927185695629216,46.94657836809347,45.82379912056422,0.9760838960674431,0.4702329580721157,0.15000000000000002,False,18,1,False,1.0,0.0,0.0,0.0,0.0
42,900d9df1ae5f3b5dac12668e845a6080a082ef39f6ba07541fece43e0a7255a2,150.6278108862843,151.5342214185728,412.49263414190403,22688.737412394225,22962.620260933047,0.006017550988461183,273.88284853882215,0.49998706349729605,0.5547696176777969,0.6040972222222222,0.28555555555555556,0.4971527777777778,0.181875,0.0,22742.157199014466,0.04,0.04,nan,2,0,0.029898764355592952,0.582011016612899,0.00342953280476881,0.33305555555555555,0.0,0.0,0.08573832011922027,53.41978662024121,50.297402605730895,0.9415500470507829,0.582011016612899,0.15000000000000002,False,27,1,False,1.0,0.0,0.0,0.0,0.0
43,eb4b5386458d184eca1ede6437d6a1cef87f1ce2b55435efd5f1a241436f6fc6,150.7946776746446,151.55361604411655,412.2476013911471,22739.034814999955,22968.4985360475,0.00503292543991143,229.46372104754482,0.49998423351130494,0.5527222640506466,0.6010416666666667,0.2852777777777778,0.4938888888888889,0.18375,0.0,22758.442818251904,0.04,0.04,nan,2,0,0.024056276049662772,0.4168821482836029,0.0024565016167245957,0.38875,0.0,0.0,0.061412540418114885,19.408003251948685,22.94646168961117,1.182319550946448,0.4168821482836029,0.15000000000000002,False,19,1,False,1.0,0.0,0.0,0.0,0.0
