outer,rho_sha256,omega1,omega2,omega3,lambda1,lambda2,gap12,dOff,volume,Mnd,gray,mid,broad_core,void_lt_0p1,at_rhomin,beta,box_max,box_mean,box_at_floor,N,multJ,max_abs_drho,l2_drho,rms_drho,sign_reversal,on_bound,at_move_box,step_over_box_rms,pred_gain,real_gain,gain_ratio,stop_metric,stop_eps,stop_raw,nInner,innerConv,spike,stage
14,9bc7b7583109affff0f7cd19cccba9c90868096e0cfd29360065611d7d2b7b2c,151.56735594539532,154.0627702904503,403.9781748596595,22972.66338827816,23735.33718956805,0.016464061997320735,762.6738012898895,0.49992250003509825,0.511538503587534,0.5497916666666667,0.2822222222222222,0.4076388888888889,0.20590277777777777,0.0,23115.52945418471,0.1,0.07450695456366734,0.0,2,0,0.09846543799626624,2.031841498531945,0.011972740849234791,0.31416666666666665,0.0,0.0,0.12151017813443808,142.86606590654992,152.27921572736523,1.0658879332967182,2.031841498531945,0.15000000000000002,False,20,1,False,1.0
15,d08b71765d6259bf3f83850e660980d8f6ec9eb3dc1d4d9bb8d4abb9d2e2cffb,152.06887454047106,154.71477609960417,404.4822951664809,23124.942604005526,23936.661943550647,0.017399363065772788,811.7193395451213,0.49995924835517963,0.503729704720641,0.5399305555555556,0.27125,0.40041666666666664,0.20965277777777777,0.0,23284.139368283704,0.1,0.07216112432016446,0.0,2,0,0.09059858158734753,1.8287576873094755,0.010776058015362983,0.24319444444444444,0.0,0.0,0.11043013287520788,159.1967642781783,135.9958072167392,0.8542623829910383,1.8287576873094755,0.15000000000000002,False,19,1,False,1.0
16,bee00b6a86d08f10193a4472536d8af8020284bba4ff25f97fd02f11b1b06dce,152.5153710654184,155.4792689492763,404.8320030673276,23260.938411222265,24173.803073001396,0.019433437188351277,912.864661779131,0.4999409471611921,0.4966948185979116,0.530625,0.26666666666666666,0.3938888888888889,0.21430555555555555,0.0,23320.185518220696,0.1,0.07028857759720772,0.0,2,0,0.08429598825575217,1.644742615033799,0.009691738803307454,0.24368055555555557,0.0,0.0,0.10023358165584324,59.24710699843126,109.24751873748392,1.8439300123190243,1.644742615033799,0.15000000000000002,False,19,1,False,1.0
17,65aff3d45b1925eac9f688153bb14ce3c29e7f28821b4d66eed3e9d20fc129e1,152.87310401100564,155.43033030640515,401.90841684578965,23370.18592995975,24158.587579158208,0.016727771127191978,788.4016491984585,0.49990463944988306,0.4891286768400138,0.5209722222222222,0.2620138888888889,0.38763888888888887,0.21888888888888888,0.0,23522.523236406876,0.1,0.06847934490477897,0.0,2,0,0.09888588438511857,1.7815246016398056,0.010497734388918076,0.35131944444444446,0.0,6.944444444444444e-05,0.10729705140109841,152.33730644712705,126.0444983443158,0.8274040107704221,1.7815246016398056,0.15000000000000002,False,22,1,False,1.0
18,895034a9487fb6c9df12fdc3fd2c738e911bad02da08d5315a2e1e03f1a8c066,153.2848016872647,155.9456432047408,401.03475202612725,23496.230428304065,24319.04363454032,0.01735880849364849,822.8132062362565,0.49996896462554374,0.4826835190341774,0.514375,0.2627083333333333,0.38381944444444444,0.22180555555555556,0.0,23604.844860660985,0.1,0.06547898380700046,0.0,2,0,0.08332314579981327,1.612396327763598,0.009501136477682727,0.3803472222222222,0.0,0.0,0.09775226861473263,108.61443235692059,97.30462740452276,0.895871987663367,1.612396327763598,0.15000000000000002,False,20,1,False,1.0
19,5b917e9365f0498dbb458ea9058432d5920ec48e3c569768a58c3a95a33caa69,153.60187191472826,157.0288395745227,402.7947907390684,23593.535055708588,24658.056458121184,0.022310715468994425,1064.5214024125962,0.49996964417577894,0.47534270597762507,0.5080555555555556,0.25666666666666665,0.3796527777777778,0.22506944444444443,0.0,23699.180774371187,0.1,0.06273112245990903,0.0,2,0,0.08777538834202854,1.828174664945081,0.010772622523134259,0.2679861111111111,0.0,0.0,0.10950184435507405,105.64571866259939,-20926.004755941954,-198.07716792360807,1.828174664945081,0.15000000000000002,False,27,1,False,1.0
20,68ad00f1f22eb10622420ffb8fde9f5889db6e3af93448857a6d43f05f8eb5fc,51.648139364033575,51.70360256150993,81.69888698185171,2667.5302997666345,2673.2625178385765,0.0010738663223748147,5.732218071942043,0.4974315196103505,0.47852043610620415,0.5092361111111111,0.25201388888888887,0.3801388888888889,0.22506944444444443,0.0,13337.65123208017,0.1,0.061362962144906594,0.0,2,1,0.05265508290365537,0.8272109371025614,0.004874387192474165,0.6896527777777778,0.0,0.0,0.059451407305754475,10670.120932313535,20901.172833285887,1.9588506040253488,0.8272109371025614,0.15000000000000002,False,5,1,True,1.0
21,8c4c066a85d4850f01c05964888b7aeb19470855b7d6d0649eed87a5023d81aa,153.52101853835038,156.1650175186229,397.57836280884663,23568.70313305252,24387.5126965918,0.01722239081948276,818.8095635392783,0.49995903370639266,0.47214551769464663,0.5030555555555556,0.25958333333333333,0.3761805555555556,0.22708333333333333,0.0,23831.995432254855,0.1,0.05124500881615327,0.0,2,0,0.08583165387209336,1.4731350302686048,0.00868053141255317,0.9339583333333333,0.0,0.0,0.11383060628969745,263.2922992023341,-11298.470426762233,-42.912270738612136,1.4731350302686048,0.15000000000000002,False,25,1,False,1.0
22,5bf0dbe4ab854807574f710cb40c77e302d9c3d7043a419648d7d1ab4ac8f311,110.77108244614335,110.95036295586895,154.1533758603927,12270.232706290288,12309.983040039058,0.0016184775463647428,39.75033374877057,0.4999690528657873,0.4662347857489635,0.49666666666666665,0.2598611111111111,0.36659722222222224,0.23076388888888888,0.0,23963.039006522813,0.1,0.037845593561983075,0.0077777777777777776,2,1,0.09974304778696934,2.216113367008343,0.013058573247414594,0.09576388888888888,0.0,0.007569444444444445,0.1690468239981258,11692.806300232525,-8119.223213300324,-0.6943776373973511,2.216113367008343,0.15000000000000002,False,16,1,False,1.0
23,7b00054b4d0e0e7222ed655f065dfa80b1ca85c56a962c91515e3a2ab40e1af8,64.42832834235236,76.23383124991683,98.82394051710723,4151.009492989964,5811.597027040796,0.18323466107693584,1660.587534050832,0.4966646545388905,0.4694346030973149,0.49666666666666665,0.2526388888888889,0.36618055555555556,0.23201388888888888,0.0,20755.046643823287,0.1,0.04166024226106759,0.0,2,0,0.037231700303209006,1.0449749512381858,0.006157573951588359,0.8668055555555556,0.0,0.0,0.10092306309139265,16604.037150833323,19345.58158383714,1.1651131232783485,1.0449749512381858,0.15000000000000002,False,5,1,True,1.0
24,8af144a7040e6cf60408406825cd790e03788d6769f170ee28fec95706a987a6,153.28597808288632,156.71046328025642,388.79893953919577,23496.591076827106,24558.169301512597,0.022340498721405436,1061.5782246854906,0.49998499701720167,0.46615139927722743,0.4936111111111111,0.2619444444444444,0.36243055555555553,0.23326388888888888,0.0,24007.233961545167,0.1,0.0321307629806131,0.0077777777777777776,2,0,0.09396624317394718,1.2936600015186566,0.007622964663530345,0.9647916666666667,0.0,0.0,0.14270867854001504,510.6428847180614,392.6731635258948,0.7689780378369502,1.2936600015186566,0.15000000000000002,False,18,1,False,1.0
25,006b0aafa978c42605aa2197f70f5ad49a580d4408dc45979c759e2cf04b1991,154.56152250917108,157.2840773177336,286.7774746881032,23889.264240353,24738.2809776908,0.017614699728394308,849.016737337799,0.4999544269586846,0.4625847023703963,0.48986111111111114,0.26305555555555554,0.35854166666666665,0.23645833333333333,0.0,24020.306687269225,0.1,0.023412465556129587,0.017361111111111112,2,1,0.09800478878862141,1.0447197524579537,0.006156070178354586,0.0973611111111111,0.0,0.0,0.09452216441088002,131.04244691622443,101.45065550008076,0.7741816326502073,1.0447197524579537,0.15000000000000002,False,31,1,False,1.0
26,09ce20a5b396b72c4acf6c8aeaf73730218c7642e0562e21830c607a1a497058,154.88936340450587,157.39142069168244,392.22886215025676,23990.71489585308,24772.059307346164,0.016153835435699017,781.3444114930826,0.49999324920417254,0.45966211027782156,0.48694444444444446,0.2625,0.35631944444444447,0.23840277777777777,0.0,24050.91369380956,0.1,0.025804958720154383,0.0002777777777777778,2,0,0.09717674901954725,0.7484414760264152,0.004410233691829558,0.09520833333333334,0.0,0.0,0.0701937192578188,60.19879795648012,61.97541536888821,1.029512506440618,0.7484414760264152,0.15000000000000002,False,27,1,False,1.0
