k,ratio_E1_double,ratio_E1_single,ratio_E2_double,ratio_E2_single,ratio_E3_double,ratio_E3_single,binding_evaluator_double,binding_evaluator_single,Q_double,Q_single,delta_Q_single_minus_double,H0_double,H0_single,pass_q0_980_double,pass_q0_980_single,pass_q0_990_double,pass_q0_990_single,pass_q0_995_double,pass_q0_995_single
104,0.908931563542258,0.908931562972208,0.90962307676814,0.909623076007346,0.909623063942424,0.909623063177378,1,1,0.908931563542258,0.908931562972208,-5.70050229242725e-10,1,1,0,0,0,0,0,0
105,0.910999976802685,0.910999976944919,0.912397310666319,0.912397310866072,0.912397302184492,0.912397302381145,1,1,0.910999976802685,0.910999976944919,1.42233669286895e-10,1,1,0,0,0,0,0,0
106,0.913303117873496,0.913303117224131,0.915186260298509,0.915186259396623,0.915186257321585,0.915186256420059,1,1,0.913303117873496,0.913303117224131,-6.49365117233458e-10,1,1,0,0,0,0,0,0
107,0.9150083600274,0.915008359368787,0.917948793276583,0.917948792656699,0.917948790374936,0.917948789752803,1,1,0.9150083600274,0.915008359368787,-6.58613164006283e-10,1,1,0,0,0,0,0,0
108,0.917112841078462,0.917112840806561,0.92071362439895,0.920713623890509,0.920713621623437,0.920713621114635,1,1,0.917112841078462,0.917112840806561,-2.71900724158058e-10,1,1,0,0,0,0,0,0
109,0.918649825242183,0.918649825309628,0.922630107443476,0.922630107382519,0.922630104376936,0.922630104314061,1,1,0.918649825242183,0.918649825309628,6.74453826121635e-11,1,1,0,0,0,0,0,0
110,0.920859669504055,0.920859668785395,0.924956985514059,0.92495698484608,0.924956982928659,0.924956982260543,1,1,0.920859669504055,0.920859668785395,-7.18660242426949e-10,1,1,0,0,0,0,0,0
111,0.92230764759549,0.922307647235296,0.926387988361581,0.926387987949596,0.926387985460411,0.926387985047042,1,1,0.92230764759549,0.922307647235296,-3.6019465188275e-10,1,1,0,0,0,0,0,0
112,0.924452690157194,0.924452690739868,0.928345885665799,0.928345886245714,0.928345883224191,0.928345883803382,1,1,0.924452690157194,0.924452690739868,5.82674575255737e-10,1,1,0,0,0,0,0,0
113,0.926044816271679,0.926044816615595,0.929816472315424,0.929816472778296,0.929816467940656,0.929816468403009,1,1,0.926044816271679,0.926044816615595,3.43916228828789e-10,1,1,0,0,0,0,0,0
114,0.927690481555162,0.927690482468465,0.931080353270193,0.931080354011562,0.931080337870881,0.931080338611544,1,1,0.927690481555162,0.927690482468465,9.133030998143e-10,1,1,0,0,0,0,0,0
115,0.929140554768295,0.92914055519084,0.932516597691286,0.932516598158203,0.932516594518958,0.932516594983554,1,1,0.929140554768295,0.92914055519084,4.22544998990304e-10,1,1,0,0,0,0,0,0
