k,volume_pass_double,volume_pass_single,required_connected_double,required_connected_single,topology_pass_double,topology_pass_single,hard_gate_pass_double,hard_gate_pass_single,binary_differing_elements,binary_difference_explained,max_detached_area_double,max_detached_area_single,n_islands_significant_double,n_islands_significant_single,aggregate_detached_area_double,aggregate_detached_area_single,n_islands_all_double,n_islands_all_single,cutoff_gap_double,cutoff_gap_single,single_cutoff_tie_group_size,single_tie_straddles_cutoff,n_solid_double,n_solid_single
45,1,1,1,1,1,0,1,0,2,1,0,0.0277777777777778,0,1,0,0.0277777777777778,0,1,0,0,24,1,576,576
46,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,12,1,576,576
47,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00999999999965895,0.00999999046325684,8,0,576,576
48,1,1,1,1,1,0,1,0,2,1,0,0.0694444444444444,0,1,0,0.0694444444444444,0,1,0,0,20,1,576,576
49,1,1,1,1,0,0,0,0,4,1,0.0833333333333333,0.0833333333333333,2,2,0.166666666666667,0.166666666666667,2,2,0,0,24,1,576,576
50,1,1,1,1,0,0,0,0,0,1,0.0555555555555556,0.0555555555555556,1,1,0.0555555555555556,0.0555555555555556,1,1,0,0,28,1,576,576
51,1,1,1,1,0,0,0,0,0,1,0.0555555555555556,0.0555555555555556,1,1,0.0555555555555556,0.0555555555555556,1,1,0,0,20,1,576,576
52,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,20,1,576,576
53,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,28,1,576,576
54,1,1,1,1,0,0,0,0,2,1,0.0763888888888889,0.0694444444444444,1,1,0.0763888888888889,0.0694444444444444,1,1,0,0,16,1,576,576
55,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00999999999886314,0.00999999046325684,20,0,576,576
56,1,1,1,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,16,1,576,576
57,1,1,1,1,1,1,1,1,2,1,0.00694444444444444,0,0,0,0.00694444444444444,0,1,0,0,0,24,1,576,576
58,1,1,1,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,16,1,576,576
59,1,1,1,1,0,0,0,0,2,1,0.0138888888888889,0.0138888888888889,1,2,0.0208333333333333,0.0277777777777778,2,2,0,0,24,1,576,576
60,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,16,1,576,576
61,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00999999999965895,0.00999999046325684,16,0,576,576
62,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00999999999965895,0.00999999046325684,8,0,576,576
63,1,1,1,1,0,0,0,0,0,1,0.0138888888888889,0.0138888888888889,1,1,0.0277777777777778,0.0277777777777778,3,3,0,0,40,1,576,576
64,1,1,1,1,0,0,0,0,2,1,0.0138888888888889,0.0138888888888889,1,1,0.0277777777777778,0.0277777777777778,3,3,0,0,20,1,576,576
65,1,1,1,1,0,0,0,0,0,1,0.0138888888888889,0.0138888888888889,1,1,0.0277777777777778,0.0277777777777778,3,3,0,0,16,1,576,576
66,1,1,1,1,0,0,0,0,2,1,0.0138888888888889,0.0138888888888889,1,1,0.0277777777777778,0.0277777777777778,3,3,0,0,32,1,576,576
67,1,1,1,1,0,0,0,0,4,1,0.0208333333333333,0.0277777777777778,6,6,0.0902777777777778,0.0972222222222222,6,6,0,0,28,1,576,576
68,1,1,1,1,0,0,0,0,2,1,0.0277777777777778,0.0277777777777778,6,6,0.111111111111111,0.111111111111111,6,6,0,0,16,1,576,576
69,1,1,1,1,0,0,0,0,0,1,0.0277777777777778,0.0277777777777778,6,6,0.111111111111111,0.111111111111111,6,6,0.00999999999852202,0.0100000202655792,20,0,576,576
70,1,1,1,1,0,0,0,0,6,1,0.0277777777777778,0.0277777777777778,3,3,0.0763888888888889,0.0833333333333333,4,5,0,0,32,1,576,576
71,1,1,1,1,0,0,0,0,4,1,0.0277777777777778,0.0277777777777778,6,5,0.118055555555556,0.111111111111111,7,7,0,0,28,1,576,576
72,1,1,1,1,0,0,0,0,0,1,0.0277777777777778,0.0277777777777778,2,2,0.0694444444444444,0.0694444444444444,6,6,0,0,24,1,576,576
73,1,1,1,1,0,0,0,0,0,1,0.0277777777777778,0.0277777777777778,2,2,0.0555555555555556,0.0555555555555556,4,4,0,0,28,1,576,576
74,1,1,1,1,0,0,0,0,0,1,0.0277777777777778,0.0277777777777778,2,2,0.0833333333333333,0.0833333333333333,6,6,0.01,0.00999999046325684,28,0,576,576
75,1,1,1,1,0,0,0,0,2,1,0.0277777777777778,0.0277777777777778,2,2,0.0694444444444444,0.0694444444444444,4,4,0,0,16,1,576,576
76,1,1,1,1,0,0,0,0,0,1,0.0277777777777778,0.0277777777777778,2,2,0.0833333333333333,0.0833333333333333,6,6,0.00999999999977264,0.00999999046325684,16,0,576,576
77,1,1,1,1,0,0,0,0,2,1,0.0277777777777778,0.0277777777777778,4,4,0.0902777777777778,0.0833333333333333,5,4,0,0,16,1,576,576
78,1,1,1,1,0,0,0,0,2,1,0.0277777777777778,0.0277777777777778,4,4,0.0902777777777778,0.0833333333333333,5,4,0,0,16,1,576,576
79,1,1,1,1,0,0,0,0,0,1,0.0277777777777778,0.0277777777777778,2,2,0.0833333333333333,0.0833333333333333,6,6,0.01,0.00999999046325684,16,0,576,576
80,1,1,1,1,0,0,0,0,0,1,0.0277777777777778,0.0277777777777778,2,2,0.0833333333333333,0.0833333333333333,6,6,0.01,0.00999999046325684,24,0,576,576
81,1,1,1,1,0,0,0,0,4,1,0.0277777777777778,0.0277777777777778,2,3,0.0763888888888889,0.0972222222222222,5,5,0,0,28,1,576,576
82,1,1,1,1,0,0,0,0,2,1,0.0277777777777778,0.0277777777777778,2,2,0.0763888888888889,0.0694444444444444,5,4,0,0,20,1,576,576
83,1,1,1,1,0,0,0,0,0,1,0.0277777777777778,0.0277777777777778,4,4,0.138888888888889,0.138888888888889,8,8,0.00999999999977258,0.0100000202655792,28,0,576,576
84,1,1,1,1,0,0,0,0,2,1,0.0277777777777778,0.0277777777777778,3,4,0.0902777777777778,0.111111111111111,5,6,0,0,16,1,576,576
85,1,1,1,1,0,0,0,0,2,1,0.0277777777777778,0.0277777777777778,3,4,0.0902777777777778,0.111111111111111,5,6,0,0,16,1,576,576
86,1,1,1,1,0,0,0,0,2,1,0.0277777777777778,0.0277777777777778,2,3,0.0694444444444444,0.0833333333333333,4,5,0,0,20,1,576,576
87,1,1,1,1,0,0,0,0,2,1,0.0277777777777778,0.0277777777777778,2,2,0.0694444444444444,0.0694444444444444,4,4,0,0,24,1,576,576
88,1,1,1,1,0,0,0,0,0,1,0.0277777777777778,0.0277777777777778,2,2,0.0555555555555556,0.0555555555555556,2,2,0.00999999999693046,0.00999999046325684,40,0,576,576
89,1,1,1,1,0,0,0,0,2,1,0.0277777777777778,0.0277777777777778,2,2,0.0555555555555556,0.0555555555555556,2,2,0,0,24,1,576,576
90,1,1,1,1,0,0,0,0,4,1,0.0277777777777778,0.0277777777777778,2,2,0.0972222222222222,0.0833333333333333,8,6,0,0,32,1,576,576
91,1,1,1,1,0,0,0,0,4,1,0.0277777777777778,0.0277777777777778,2,2,0.0972222222222222,0.0972222222222222,8,8,0,0,40,1,576,576
92,1,1,1,1,0,0,0,0,2,1,0.0277777777777778,0.0277777777777778,2,2,0.111111111111111,0.111111111111111,10,10,0,0,32,1,576,576
93,1,1,1,1,0,0,0,0,2,1,0.0277777777777778,0.0277777777777778,2,2,0.111111111111111,0.111111111111111,10,10,0,0,32,1,576,576
94,1,1,1,1,0,0,0,0,0,1,0.0277777777777778,0.0277777777777778,2,2,0.0972222222222222,0.0972222222222222,8,8,0,0,32,1,576,576
95,1,1,1,1,0,0,0,0,4,1,0.0277777777777778,0.0277777777777778,2,2,0.0833333333333333,0.0972222222222222,6,8,0,0,36,1,576,576
96,1,1,1,1,0,0,0,0,4,1,0.0277777777777778,0.0277777777777778,2,2,0.0833333333333333,0.0833333333333333,6,6,0,0,40,1,576,576
97,1,1,1,1,0,0,0,0,2,1,0.0277777777777778,0.0277777777777778,2,2,0.0833333333333333,0.0833333333333333,6,6,0,0,32,1,576,576
98,1,1,1,1,0,0,0,0,0,1,0.0277777777777778,0.0277777777777778,2,2,0.0833333333333333,0.0833333333333333,6,6,0.00788933011973098,0.00788933038711548,1,0,576,576
99,1,1,1,1,1,0,1,0,2,1,0.00694444444444444,0.0277777777777778,0,1,0.0277777777777778,0.0555555555555556,4,5,0,0,18,1,576,576
100,1,1,1,1,1,1,1,1,2,1,0.00694444444444444,0.00694444444444444,0,0,0.0277777777777778,0.0277777777777778,4,4,0,0,12,1,576,576
101,1,1,1,1,1,1,1,1,0,1,0.00694444444444444,0.00694444444444444,0,0,0.0277777777777778,0.0277777777777778,4,4,0.00788933011973098,0.00788933038711548,1,0,576,576
102,1,1,1,1,1,1,1,1,2,1,0.00694444444444444,0.00694444444444444,0,0,0.0277777777777778,0.0277777777777778,4,4,0,0,7,1,576,576
103,1,1,1,1,1,1,1,1,2,1,0.00694444444444444,0.00694444444444444,0,0,0.0277777777777778,0.0277777777777778,4,4,0,0,15,1,576,576
104,1,1,1,1,1,1,1,1,2,1,0.00694444444444444,0.00694444444444444,0,0,0.0277777777777778,0.0277777777777778,4,4,0,0,14,1,576,576
105,1,1,1,1,1,1,1,1,4,1,0.00694444444444444,0.00694444444444444,0,0,0.0138888888888889,0.0138888888888889,2,2,0,0,20,1,576,576
106,1,1,1,1,1,1,1,1,2,1,0.00694444444444444,0,0,0,0.00694444444444444,0,1,0,0,0,17,1,576,576
107,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,18,1,576,576
108,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,11,1,576,576
109,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,1,576,576
110,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,11,1,576,576
111,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,13,1,576,576
112,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,11,1,576,576
113,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00350719699172236,0.00350719690322876,1,0,576,576
114,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,8,1,576,576
115,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00649280300827765,0.00649282336235046,13,0,576,576
116,1,1,1,1,0,0,0,0,0,1,0.0277777777777778,0.0277777777777778,1,1,0.0277777777777778,0.0277777777777778,1,1,0,0,11,1,576,576
117,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.0694444444444444,0.0694444444444444,2,2,0,0,14,1,576,576
118,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.0763888888888889,0.0763888888888889,2,2,0,0,4,1,576,576
119,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.0694444444444444,0.0694444444444444,2,2,0,0,6,1,576,576
120,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,2,2,0.0625,0.0625,2,2,0.0029587488594181,0.002958744764328,1,0,576,576
121,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,2,2,0.0625,0.0625,2,2,0.0029587488594181,0.002958744764328,1,0,576,576
122,1,1,1,1,0,0,0,0,0,1,0.0277777777777778,0.0277777777777778,2,2,0.0555555555555556,0.0555555555555556,2,2,0.00197276045257494,0.00197276473045349,1,0,576,576
123,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.0833333333333333,0.0833333333333333,3,3,0,0,14,1,576,576
124,1,1,1,1,0,0,0,0,2,1,0.0347222222222222,0.0347222222222222,2,2,0.0902777777777778,0.0833333333333333,6,5,1.36424205265939e-12,0,12,1,576,576
125,1,1,1,1,0,0,0,0,2,1,0.0416666666666667,0.0416666666666667,2,2,0.104166666666667,0.0972222222222222,6,5,0,0,8,1,576,576
126,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,2,2,0.0902777777777778,0.0902777777777778,6,6,0.000926459663069368,0.000926464796066284,1,0,576,576
127,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.104166666666667,0.104166666666667,6,6,0,0,10,1,576,576
128,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.0972222222222222,0.0972222222222222,6,6,0.00528602336868839,0.00528603792190552,1,0,576,576
129,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.111111111111111,0.111111111111111,6,6,0,0,8,1,576,576
130,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.111111111111111,0.111111111111111,6,6,0,0,7,1,576,576
131,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.111111111111111,0.111111111111111,6,6,0,0,6,1,576,576
132,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.118055555555556,0.118055555555556,7,7,0,0,6,1,576,576
133,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.118055555555556,0.118055555555556,7,7,0,0,7,1,576,576
134,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.118055555555556,0.118055555555556,7,7,0.000436234582408546,0.000436216592788696,4,0,576,576
135,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.125,0.125,8,8,0,0,4,1,576,576
136,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.125,0.125,8,8,0,0,4,1,576,576
137,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.131944444444444,0.131944444444444,9,9,0.00117857548073763,0.0011785626411438,1,0,576,576
138,1,1,1,1,0,0,0,0,2,1,0.0416666666666667,0.0416666666666667,2,2,0.125,0.125,8,8,0,0,5,1,576,576
139,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.118055555555556,0.118055555555556,7,7,0.00698097530103015,0.00698098540306091,1,0,576,576
140,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.111111111111111,0.111111111111111,6,6,0,0,2,1,576,576
141,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.111111111111111,0.111111111111111,6,6,0,0,3,1,576,576
142,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.111111111111111,0.111111111111111,6,6,0.00656423655796085,0.00656425952911377,1,0,576,576
143,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.118055555555556,0.118055555555556,7,7,0,0,12,1,576,576
144,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,2,2,0.104166666666667,0.104166666666667,5,5,0,0,9,1,576,576
145,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,1,1,0.0625,0.0625,4,4,0.00219652972715578,0.0021965503692627,1,0,576,576
146,1,1,1,1,0,0,0,0,4,1,0.0555555555555556,0.0416666666666667,1,1,0.0763888888888889,0.0694444444444444,4,5,0,0,8,1,576,576
147,1,1,1,1,0,0,0,0,2,1,0.0555555555555556,0.0416666666666667,1,1,0.0763888888888889,0.0694444444444444,4,5,0,0,8,1,576,576
148,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,1,1,0.0694444444444444,0.0694444444444444,5,5,0.000436234582408546,0.000436216592788696,7,0,576,576
149,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,1,1,0.0694444444444444,0.0694444444444444,5,5,0.00120278577731808,0.001202791929245,1,0,576,576
150,1,1,1,1,0,0,0,0,0,1,0.0416666666666667,0.0416666666666667,1,1,0.0694444444444444,0.0694444444444444,5,5,0,0,5,1,576,576
151,1,1,1,1,0,0,0,0,0,1,0.0138888888888889,0.0138888888888889,1,1,0.0416666666666667,0.0416666666666667,5,5,0.005813672732564,0.00581368803977966,1,0,576,576
152,1,1,1,1,0,0,0,0,0,1,0.0138888888888889,0.0138888888888889,1,1,0.0416666666666667,0.0416666666666667,5,5,0.000497131750711033,0.000497132539749146,1,0,576,576
153,1,1,1,1,0,0,0,0,0,1,0.0138888888888889,0.0138888888888889,1,1,0.0416666666666667,0.0416666666666667,5,5,0,0,4,1,576,576
154,1,1,1,1,0,0,0,0,0,1,0.0138888888888889,0.0138888888888889,1,1,0.0347222222222222,0.0347222222222222,4,4,0.000402461656537345,0.000402450561523438,1,0,576,576
155,1,1,1,1,0,0,0,0,0,1,0.0555555555555556,0.0555555555555556,2,2,0.0902777777777778,0.0902777777777778,5,5,2.38742359215394e-12,0,5,1,576,576
156,1,1,1,1,0,0,0,0,0,1,0.0138888888888889,0.0138888888888889,1,1,0.0347222222222222,0.0347222222222222,4,4,0.000402461656537345,0.000402450561523438,1,0,576,576
157,1,1,1,1,0,0,0,0,0,1,0.0555555555555556,0.0555555555555556,2,2,0.0902777777777778,0.0902777777777778,5,5,0.000497131750711033,0.000497132539749146,1,0,576,576
158,1,1,1,1,0,0,0,0,2,1,0.0277777777777778,0.0277777777777778,2,2,0.0625,0.0625,5,5,0,0,7,1,576,576
159,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,4,4,0.118055555555556,0.118055555555556,8,8,0.00149395890651788,0.00149396061897278,1,0,576,576
160,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,3,3,0.111111111111111,0.111111111111111,8,8,2.38742359215394e-12,0,2,1,576,576
161,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,4,4,0.118055555555556,0.118055555555556,8,8,0.000960522765560801,0.00096052885055542,1,0,576,576
162,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,3,3,0.0972222222222222,0.0972222222222222,8,8,0.00573609275417425,0.0057360827922821,1,0,576,576
163,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,3,3,0.0902777777777778,0.0902777777777778,7,7,0.00372269591778224,0.00372269749641418,7,0,576,576
164,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,2,2,0.0694444444444444,0.0694444444444444,5,5,0,0,6,1,576,576
165,1,1,1,1,0,0,0,0,2,1,0.0138888888888889,0.0347222222222222,1,2,0.0347222222222222,0.0694444444444444,4,5,0,0,9,1,576,576
166,1,1,1,1,0,0,0,0,2,1,0.0347222222222222,0.0347222222222222,1,2,0.0555555555555556,0.0694444444444444,4,5,1.13686837721616e-12,0,4,1,576,576
167,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,3,3,0.0902777777777778,0.0902777777777778,7,7,0.00149395890651788,0.00149396061897278,1,0,576,576
168,1,1,1,1,0,0,0,0,2,1,0.0347222222222222,0.0347222222222222,4,4,0.125,0.125,8,8,0,0,5,1,576,576
169,1,1,1,1,0,0,0,0,2,1,0.0347222222222222,0.0347222222222222,4,4,0.138888888888889,0.138888888888889,8,8,2.27373675443232e-13,0,6,1,576,576
170,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,4,4,0.159722222222222,0.159722222222222,8,8,0.00641456922787126,0.00641459226608276,1,0,576,576
171,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,4,4,0.159722222222222,0.159722222222222,8,8,0.00945878867195649,0.00945881009101868,1,0,576,576
172,1,1,1,1,0,0,0,0,2,1,0.0347222222222222,0.0347222222222222,4,4,0.166666666666667,0.166666666666667,9,9,2.27373675443232e-13,0,5,1,576,576
173,1,1,1,1,0,0,0,0,2,1,0.0347222222222222,0.0347222222222222,4,4,0.166666666666667,0.166666666666667,9,9,2.27373675443232e-13,0,4,1,576,576
174,1,1,1,1,0,0,0,0,2,1,0.0347222222222222,0.0347222222222222,4,4,0.159722222222222,0.159722222222222,9,9,0,0,4,1,576,576
175,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,4,4,0.152777777777778,0.152777777777778,9,9,0.00431605819870912,0.0043160617351532,1,0,576,576
176,1,1,1,1,0,0,0,0,2,1,0.0347222222222222,0.0347222222222222,4,4,0.152777777777778,0.152777777777778,9,9,0,0,4,1,576,576
177,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,4,4,0.152777777777778,0.152777777777778,9,9,0.00304421944408523,0.00304421782493591,5,0,576,576
178,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,3,3,0.138888888888889,0.138888888888889,9,9,0,0,8,1,576,576
179,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,3,3,0.138888888888889,0.138888888888889,9,9,0,0,6,1,576,576
180,1,1,1,1,0,0,0,0,2,1,0.0347222222222222,0.0347222222222222,4,4,0.159722222222222,0.159722222222222,10,10,0,0,9,1,576,576
181,1,1,1,1,0,0,0,0,0,1,0.0347222222222222,0.0347222222222222,4,4,0.152777777777778,0.152777777777778,10,10,0.00351902667924175,0.00351905822753906,1,0,576,576
